DLiP-ID,C001LR
Chi4v,0.2999999999999999
MolMR,29.985199999999985
MolWt,184.077
fr_SH,0
Kappa1,11.230078124999999
Kappa2,4.295691609977324
Kappa3,9.639669421487604
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,50.88058452123625
MolLogP,-3.3110999999999975
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,0
SMR_VSA1,26.571009104661613
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,34.29465431845706
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,61.47576050685818
NHOHCount,1
PEOE_VSA1,26.571009104661613
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,0.0
PEOE_VSA8,0.0
PEOE_VSA9,27.749897912544487
RingCount,0
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,183.025876168
NumHDonors,1
PEOE_VSA10,6.544756405912575
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,16.981450852126283
SlogP_VSA2,43.88421257099239
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,23.588332816639202
EState_VSA3,0.0
EState_VSA4,11.027787263607198
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,21.143015948031568
EState_VSA9,5.106527394840706
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.84375
VSA_EState9,15.65625
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,1.0
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,0.39999999999999997
NumHAcceptors,1
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,8
HeavyAtomMolWt,169.96499999999997
MaxEStateIndex,8.38625
MinEStateIndex,0.0
NumHeteroatoms,3
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.25
FpDensityMorgan2,1.625
FpDensityMorgan3,1.625
MaxPartialCharge,0.10149348584948223
MinPartialCharge,-1.0
NumAromaticRings,0
fr_unbrch_alkane,0
MaxAbsEStateIndex,8.38625
MinAbsEStateIndex,0.0
NumAliphaticRings,0
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,1.0
MinAbsPartialCharge,0.10149348584948223
NumRadicalElectrons,0
NumValenceElectrons,52
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,183.025876168
MZ,0.712121212121212
Mi,1.1571048567251154
Mm,0.6966227927430161
Mp,0.6161432226456178
Mv,0.5251957515311882
SZ,15.666666666666664
Si,25.45630684795254
Sm,15.325701440346354
Sp,13.555150898203593
Sv,11.554306533686141
nB,0
nC,5
nF,0
nH,14
nI,0
nN,1
nO,1
nP,0
nS,0
nX,1
ABC,4.719396554912959
AMW,8.319358007636364
IC0,1.5088584648535124
IC1,2.0566768987283126
IC2,2.7646946861307384
IC3,2.7646946861307384
IC4,2.7646946861307384
IC5,2.7646946861307384
Mpe,0.9445632798573977
Mse,0.9945871681122956
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,29.985199999999985
SdO,0
SdS,0
Spe,20.78039215686275
SsF,0
SsI,0
Sse,21.880917698470505
StN,0
fMF,0.0
nBr,1
nCl,0
BIC0,0.34911697550878296
BIC1,0.4758702258747119
BIC2,0.6396901164092115
BIC3,0.6396901164092115
BIC4,0.6396901164092115
BIC5,0.6396901164092115
CIC0,2.950573153783785
CIC1,2.4027547199089847
CIC2,1.6947369325065589
CIC3,1.6947369325065589
CIC4,1.6947369325065589
CIC5,1.6947369325065589
GGI1,3.0
GGI2,0.6666666666666667
GGI3,0.375
GGI4,0.0
GGI5,0.0
GGI6,0.0
GGI7,0.0
GGI8,0.0
GGI9,0.0
JGI1,0.5
JGI2,0.08333333333333334
JGI3,0.09375
JGI4,0.0
JGI5,0.0
JGI6,0.0
JGI7,0.0
JGI8,0.0
JGI9,0.0
MIC0,28.532091348425467
MIC1,32.512603554949614
MIC2,33.22628548465126
MIC3,33.22628548465126
MIC4,33.22628548465126
MIC5,33.22628548465126
MPC2,8
MPC3,4
MPC4,3
MPC5,0
MPC6,0
MPC7,0
MPC8,0
MPC9,0
Mare,0.9565454545454544
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.5815543550893724
RPCG,0.12232632362282156
SIC0,0.33835219236181174
SIC1,0.46119709295077993
SIC2,0.6199657092119663
SIC3,0.6199657092119663
SIC4,0.6199657092119663
SIC5,0.6199657092119663
SaaN,0
SaaO,0
SaaS,0
Sare,21.043999999999997
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,8.38625
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,33.19488622677727
TIC1,45.24689177202288
TIC2,60.823283094876246
TIC3,60.823283094876246
TIC4,60.823283094876246
TIC5,60.823283094876246
Vabc,142.6634508704901
WPol,4
apol,22.637101999999985
bpol,16.324897999999997
nRot,2
ABCGG,5.004087722255558
ATS0Z,1532.0
ATS0d,42.0
ATS0i,3759.076127841986
ATS0m,7572.358767000002
ATS0p,31.32478466788599
ATS0v,3715.8703436950914
ATS1Z,338.0
ATS1d,44.0
ATS1i,3110.5483863888503
ATS1m,1182.8995540000003
ATS1p,26.487084016000004
ATS1v,3583.8775717955787
ATS2Z,440.0
ATS2d,86.0
ATS2i,6421.895689877839
ATS2m,1485.2625360000002
ATS2p,39.505934775339
ATS2v,5201.100749454477
ATS3Z,404.0
ATS3d,70.0
ATS3i,7659.632517363994
ATS3m,1135.119828
ATS3p,52.313564541093996
ATS3v,5925.515672425092
ATS4Z,288.0
ATS4d,78.0
ATS4i,11645.638976484504
ATS4m,819.972351
ATS4p,42.351463477902996
ATS4v,4177.139914939589
ATS5Z,108.0
ATS5d,30.0
ATS5i,5454.543869840532
ATS5m,199.753344
ATS5p,16.156577091282
ATS5v,1641.8399244975017
ATS6Z,9.0
ATS6d,9.0
ATS6i,1664.2588682182409
ATS6m,9.144576
ATS6p,4.001516143641
ATS6v,279.75369987837234
ATS7Z,0.0
ATS7d,0.0
ATS7i,0.0
ATS7m,0.0
ATS7p,0.0
ATS7v,0.0
ATS8Z,0.0
ATS8d,0.0
ATS8i,0.0
ATS8m,0.0
ATS8p,0.0
ATS8v,0.0
C1SP1,0
C1SP2,0
C1SP3,2
C2SP1,0
C2SP2,0
C2SP3,0
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,1.0
GGI10,0.0
JGI10,0.0
JGT10,0.6770833333333334
Kier1,10.88888888888889
Kier2,3.9375
Kier3,11.25
MPC10,0
MWC01,6.0
MWC02,3.367295829986474
MWC03,3.970291913552122
MWC04,4.812184355372417
MWC05,5.43372200355424
MWC06,6.285998094508865
MWC07,6.912742820493176
MWC08,7.767687277186908
MWC09,8.395929103923198
MWC10,9.251578279992428
NaaCH,0
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,0
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,-3.3110999999999975
SRW02,2.5649493574615367
SRW03,0.0
SRW04,3.8066624897703196
SRW05,0.0
SRW06,5.198497031265826
SRW07,0.0
SRW08,6.650279048587422
SRW09,0.0
SRW10,8.12355783506165
SaaCH,0
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,6.155416666666667
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
WPath,700000046
Xc-3d,1.5606601717798212
Xc-4d,0.3535533905932738
Xc-5d,0.0
Xc-6d,0.0
Xp-1d,3.0606601717798214
Xp-2d,3.3106601717798214
Xp-3d,1.0
Xp-4d,0.75
Xp-5d,0.0
Xp-6d,0.0
Xp-7d,0.0
ZMIC0,30.51837009199886
ZMIC1,25.656143432976364
ZMIC2,25.831409694705158
ZMIC3,25.831409694705158
ZMIC4,25.831409694705158
ZMIC5,25.831409694705158
nAcid,1
nAtom,22
nBase,1
nRing,0
piPC1,1.9459101490553132
piPC2,2.1972245773362196
piPC3,1.6094379124341003
piPC4,1.3862943611198906
piPC5,0.0
piPC6,0.0
piPC7,0.0
piPC8,0.0
piPC9,0.0
AATS0Z,69.63636363636364
AATS0d,1.9090909090909092
AATS0i,170.86709672009027
AATS0m,344.1981257727274
AATS0p,1.4238538485402723
AATS0v,168.90319744068597
AATS1Z,16.9
AATS1d,2.2
AATS1i,155.52741931944252
AATS1m,59.14497770000001
AATS1p,1.3243542008000002
AATS1v,179.19387858977893
AATS2Z,11.891891891891891
AATS2d,2.324324324324324
AATS2i,173.56474837507673
AATS2m,40.142230702702705
AATS2p,1.067727966901054
AATS2v,140.57029052579668
AATS3Z,8.416666666666666
AATS3d,1.4583333333333333
AATS3i,159.57567744508322
AATS3m,23.648329750000002
AATS3p,1.0898659279394582
AATS3v,123.44824317552275
AATS4Z,4.363636363636363
AATS4d,1.1818181818181819
AATS4i,176.44907540128037
AATS4m,12.4238235
AATS4p,0.6416888405742878
AATS4v,63.2899987112059
AATS5Z,3.6
AATS5d,1.0
AATS5i,181.8181289946844
AATS5m,6.6584448
AATS5p,0.5385525697094
AATS5v,54.72799748325006
AATS6Z,1.0
AATS6d,1.0
AATS6i,184.91765202424898
AATS6m,1.016064
AATS6p,0.444612904849
AATS6v,31.08374443093026
ATS0dv,52.0877914951989
ATS0pe,130.10930000000002
ATS0se,165.67638900000006
ATS1dv,34.0
ATS1pe,126.78050000000003
ATS1se,154.65768000000003
ATS2dv,27.0
ATS2pe,225.53300000000002
ATS2se,283.548632
ATS3dv,26.0
ATS3pe,278.2570999999999
ATS3se,352.10272800000007
ATS4dv,15.0
ATS4pe,344.63400000000007
ATS4se,460.912788
ATS5dv,0.0
ATS5pe,172.062
ATS5se,227.52576000000002
ATS6dv,0.0
ATS6pe,43.56
ATS6se,60.466176
ATS7dv,0.0
ATS7pe,0.0
ATS7se,0.0
ATS8dv,0.0
ATS8pe,0.0
ATS8se,0.0
ATSC0Z,1130.363636363636
ATSC0c,1.4340656000457928
ATSC0d,11.272727272727277
ATSC0i,24.270227364481244
ATSC0m,6032.161406590909
ATSC0p,8.032130715231268
ATSC0v,1145.854289389135
ATSC1Z,-57.4214876033058
ATSC1c,-0.12424076126032568
ATSC1d,1.0247933884297513
ATSC1i,-21.312634475223177
ATSC1m,-281.4770986280991
ATSC1p,-2.488322543514062
ATSC1v,-364.3159656838211
ATSC2Z,-3.97520661157025
ATSC2c,-0.2760541081600163
ATSC2d,-4.140495867768598
ATSC2i,23.692414392549665
ATSC2m,20.796507142562252
ATSC2p,2.529020676283767
ATSC2v,386.7806606531834
ATSC3Z,-151.06611570247935
ATSC3c,0.33091705061376697
ATSC3d,-2.413223140495868
ATSC3i,-19.629317070141155
ATSC3m,-699.2531159256192
ATSC3p,-5.77695298521841
ATSC3v,-1360.0634560485541
ATSC4Z,428.99999999999994
ATSC4c,0.353804504056402
ATSC4d,5.828670879282072e-16
ATSC4i,-2.147470239880962
ATSC4m,2185.0622815909105
ATSC4p,2.2200756695280788
ATSC4v,609.3808685075606
ATSC5Z,66.04958677685948
ATSC5c,-0.16925463375796454
ATSC5d,0.9917355371900833
ATSC5i,5.824626275023564
ATSC5m,388.90158928512454
ATSC5p,2.404240724787166
ATSC5v,155.74839737950217
ATSC6Z,96.39669421487602
ATSC6c,0.16779514848524116
ATSC6d,0.29752066115702497
ATSC6i,2.9148239337180333
ATSC6m,487.4119921673556
ATSC6p,1.18047908927484
ATSC6v,246.4586015811437
ATSC7Z,0.0
ATSC7c,0.0
ATSC7d,0.0
ATSC7i,0.0
ATSC7m,0.0
ATSC7p,0.0
ATSC7v,0.0
ATSC8Z,0.0
ATSC8c,0.0
ATSC8d,0.0
ATSC8i,0.0
ATSC8m,0.0
ATSC8p,0.0
ATSC8v,0.0
AXp-1d,0.5101100286299702
AXp-2d,0.4138325214724777
AXp-3d,0.25
AXp-4d,0.25
GATS1Z,0.17742078172752138
GATS1c,0.4603607053869329
GATS1d,1.6766129032258057
GATS1i,2.584963736284453
GATS1m,0.15930855432681426
GATS1p,0.9905566923547091
GATS1v,1.440402706008931
GATS2Z,0.15665850827504363
GATS2c,0.5500237517132104
GATS2d,2.8195292066259796
GATS2i,0.6225421022696376
GATS2m,0.13800180934180473
GATS2p,0.290116098506391
GATS2v,0.6084820203377679
GATS3Z,0.1975857527746502
GATS3c,0.13070541739488342
GATS3d,0.7762096774193545
GATS3i,1.6986617127148755
GATS3m,0.17796970595639533
GATS3p,0.945553496864205
GATS3v,1.5316254676928973
GATS4Z,0.05953434132218114
GATS4c,0.1052267048943164
GATS4d,0.254032258064516
GATS4i,0.6525884633403944
GATS4m,0.053609368399455404
GATS4p,0.34749675566444904
GATS4v,0.49714911366664244
GATS5Z,0.15977159401640667
GATS5c,0.5222155576722669
GATS5d,0.0
GATS5i,0.236564297695384
GATS5m,0.13842783843410336
GATS5p,0.1387341014573759
GATS5v,0.4356947110893556
GATS6Z,0.0
GATS6c,0.10845783355791475
GATS6d,0.0
GATS6i,0.0
GATS6m,0.0
GATS6p,0.0
GATS6v,0.0
MATS1Z,-0.05587904133826607
MATS1c,-0.09529887432066864
MATS1d,0.0999999999999999
MATS1i,-0.9659529583581462
MATS1m,-0.05132899927919771
MATS1p,-0.34077567894593924
MATS1v,-0.34973693074522183
MATS2Z,-0.0020910406948689095
MATS2c,-0.1144580000540672
MATS2d,-0.2183958151700088
MATS2i,0.5804387952014686
MATS2m,0.002049927032772119
MATS2p,0.18721583064936423
MATS2v,0.2007041316228019
MATS3Z,-0.061253418047289704
MATS3c,0.10576246641701749
MATS3d,-0.09811827956989244
MATS3i,-0.3706916374826057
MATS3m,-0.053130377299873195
MATS3p,-0.3296472893804079
MATS3v,-0.5440154329639131
MATS4Z,0.12650796203956893
MATS4c,0.08223810311167176
MATS4d,1.7235317116156658e-17
MATS4i,-0.02949388988177508
MATS4m,0.1207451267911725
MATS4p,0.09213311503667664
MATS4v,0.17727119237601816
MATS5Z,0.042850249316390546
MATS5c,-0.08655117642587427
MATS5d,0.06451612903225808
MATS5i,0.17599310206442495
MATS5m,0.047278989998092526
MATS5p,0.21950711801795628
MATS5v,0.09967715133529256
MATS6Z,0.20846067235000806
MATS6c,0.2860161477315828
MATS6d,0.06451612903225808
MATS6i,0.2935747186999227
MATS6m,0.1975165212103373
MATS6p,0.3592590377157021
MATS6v,0.525768734296703
MAXsOH,8.38625
MINsOH,8.38625
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,1
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.1145833333333335
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0.84375
TMPC10,29
TMWC10,70.19742967856983
TSRW10,34.34394576214675
Xc-3dv,1.5606601717798212
Xc-4dv,0.3535533905932738
Xc-5dv,0.0
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.0
Xch-7d,0.0
Xp-0dv,7.198544464960438
Xp-1dv,2.669781156610112
Xp-2dv,3.0342669695298006
Xp-3dv,0.8618033988749895
Xp-4dv,0.33541019662496846
Xp-5dv,0.0
Xp-6dv,0.0
Xp-7dv,0.0
Xpc-4d,0.75
Xpc-5d,1.0
Xpc-6d,0.25
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,0
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,20
nFRing,0
nHBAcc,1
nHBDon,1
nHRing,0
nSpiro,0
naRing,0
piPC10,0.0
AATS0dv,2.3676268861454046
AATS0pe,5.914059090909092
AATS0se,7.530744954545457
AATS1dv,1.7
AATS1pe,6.339025000000001
AATS1se,7.732884000000001
AATS2dv,0.7297297297297297
AATS2pe,6.095486486486487
AATS2se,7.6634765405405405
AATS3dv,0.5416666666666666
AATS3pe,5.797022916666665
AATS3se,7.335473500000002
AATS4dv,0.22727272727272727
AATS4pe,5.221727272727274
AATS4se,6.9835270909090905
AATS5dv,0.0
AATS5pe,5.7354
AATS5se,7.584192000000001
AATS6dv,0.0
AATS6pe,4.84
AATS6se,6.718464
AATSC0Z,51.38016528925618
AATSC0c,0.06518480000208149
AATSC0d,0.5123966942148762
AATSC0i,1.1031921529309656
AATSC0m,274.1891548450413
AATSC0p,0.3650968506923304
AATSC0v,52.08428588132431
AATSC1Z,-2.87107438016529
AATSC1c,-0.0062120380630162845
AATSC1d,0.05123966942148757
AATSC1i,-1.0656317237611588
AATSC1m,-14.073854931404956
AATSC1p,-0.12441612717570309
AATSC1v,-18.215798284191056
AATSC2Z,-0.10743801652892568
AATSC2c,-0.007460921842162602
AATSC2d,-0.11190529372347562
AATSC2i,0.6403355241229639
AATSC2m,0.5620677606097906
AATSC2p,0.06835191016983154
AATSC2v,10.453531369004958
AATSC3Z,-3.147210743801653
AATSC3c,0.006894105221120145
AATSC3d,-0.05027548209366392
AATSC3i,-0.40894410562794076
AATSC3m,-14.5677732484504
AATSC3p,-0.1203531871920502
AATSC3v,-28.334655334344877
AATSC4Z,6.499999999999999
AATSC4c,0.005360674303884879
AATSC4d,8.831319514063745e-18
AATSC4i,-0.03253742787698427
AATSC4m,33.107004266528946
AATSC4p,0.03363751014436483
AATSC4v,9.233043462235768
AATSC5Z,2.2016528925619827
AATSC5c,-0.005641821125265485
AATSC5d,0.03305785123966944
AATSC5i,0.19415420916745213
AATSC5m,12.963386309504152
AATSC5p,0.08014135749290553
AATSC5v,5.1916132459834055
AATSC6Z,10.71074380165289
AATSC6c,0.018643905387249016
AATSC6d,0.03305785123966944
AATSC6i,0.32386932596867035
AATSC6m,54.15688801859507
AATSC6p,0.13116434325276
AATSC6v,27.384289064571522
ATS0are,128.19250000000002
ATS1are,124.89999999999999
ATS2are,224.35900000000004
ATS3are,274.443
ATS4are,342.984
ATS5are,172.92
ATS6are,43.56
ATS7are,0.0
ATS8are,0.0
ATSC0dv,40.01646090534978
ATSC0pe,2.47565909090909
ATSC0se,1.57606059090909
ATSC1dv,4.973936899862827
ATSC1pe,-0.0758082644628138
ATSC1se,-0.11383144628099132
ATSC2dv,-20.846364883401925
ATSC2pe,-1.1930357438016568
ATSC2se,-0.7406902210743793
ATSC3dv,-6.921810699588477
ATSC3pe,-0.7243016528925601
ATSC3se,0.08805180165289235
ATSC4dv,17.139917695473255
ATSC4pe,1.9091318181818309
ATSC4se,0.855598681818179
ATSC5dv,-19.094650205761315
ATSC5pe,-1.2415760330578505
ATSC5se,-0.8133785330578506
ATSC6dv,4.938271604938272
ATSC6pe,0.39176219008264745
ATSC6se,0.17423034917355312
ATSC7dv,0.0
ATSC7pe,0.0
ATSC7se,0.0
ATSC8dv,0.0
ATSC8pe,0.0
ATSC8se,0.0
AXp-0dv,0.8998180581200548
AXp-1dv,0.4449635261016853
AXp-2dv,0.37928337119122507
AXp-3dv,0.21545084971874737
AXp-4dv,0.11180339887498948
BertzCT,50.88058452123625
ECIndex,1200000000
GATS1dv,1.1807640888523245
GATS1pe,1.0354272966794884
GATS1se,1.020456833497951
GATS2dv,1.8580191668426966
GATS2pe,1.430749213534331
GATS2se,1.3298936507028447
GATS3dv,0.8199750617030032
GATS3pe,0.7785780187094341
GATS3se,0.5549651803015304
GATS4dv,0.42141748625705855
GATS4pe,0.31613069063334825
GATS4se,0.32216043378350745
GATS5dv,1.9941793500617035
GATS5pe,2.0083803211266056
GATS5se,2.2699700891171903
GATS6dv,0.0
GATS6pe,0.0
GATS6se,0.0
MATS1dv,0.13672699849170447
MATS1pe,-0.03368359206455755
MATS1se,-0.07944782810467028
MATS2dv,-0.3097509273979864
MATS2pe,-0.28653888858425863
MATS2se,-0.27943748118583905
MATS3dv,-0.07927978883861238
MATS3pe,-0.13409422651451833
MATS3se,0.02560629711215432
MATS4dv,0.14277389277389285
MATS4pe,0.25705367716586214
MATS4se,0.18095723111860393
MATS5dv,-0.34992458521870295
MATS5pe,-0.3677764415353119
MATS5se,-0.3784610784316581
MATS6dv,0.30165912518853705
MATS6pe,0.38682260922252404
MATS6se,0.2702284490504554
MAXsCH3,2.0518055555555557
MDEC-11,1.5000000000000004
MDEC-12,2.449489742783178
MDEC-22,1.0
MINsCH3,2.0518055555555557
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SddssSe,0
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,20.23
TpiPC10,3.4011973816621555
VAdjMat,3.584962500721156
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.0
Xch-7dv,0.0
Xpc-4dv,0.75
Xpc-5dv,0.5854101966249684
Xpc-6dv,0.11180339887498948
Zagreb1,28.0
Zagreb2,26.0
fragCpx,20.03
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,0
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,0
nBondsD,0
nBondsM,0
nBondsO,6
nBondsS,20
nBondsT,0
nFARing,0
nFHRing,0
nFaRing,0
nHetero,3
naHRing,0
AATS0are,5.826931818181819
AATS1are,6.244999999999999
AATS2are,6.063756756756757
AATS3are,5.7175625
AATS4are,5.196727272727273
AATS5are,5.763999999999999
AATS6are,4.84
AATSC0dv,1.8189300411522629
AATSC0pe,0.1125299586776859
AATSC0se,0.071639117768595
AATSC1dv,0.24869684499314135
AATSC1pe,-0.0037904132231406902
AATSC1se,-0.005691572314049566
AATSC2dv,-0.5634152671189709
AATSC2pe,-0.03224420929193667
AATSC2se,-0.020018654623631872
AATSC3dv,-0.14420438957475992
AATSC3pe,-0.015089617768595001
AATSC3se,0.0018344125344352572
AATSC4dv,0.2596957226586857
AATSC4pe,0.02892623966942168
AATSC4se,0.01296361639118453
AATSC5dv,-0.6364883401920438
AATSC5pe,-0.041385867768595014
AATSC5se,-0.02711261776859502
