DLiP-ID,C001BF
NsSH,0
NssO,2
NssS,1
NtCH,0
NtsC,0
RNCG,0.16316186003040345
RPCG,0.14918860125049052
SIC0,0.2989728415815245
SIC1,0.6178521615522171
SIC2,0.7851688704528973
SIC3,0.8834350887117043
SIC4,0.9074970677396218
SIC5,0.9074970677396218
SaaN,0
SaaO,0
SaaS,0
Sare,56.272
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,10.368114092369186
SssS,1.6228728781840251
StCH,0
StsC,0
TIC0,99.40091502353788
TIC1,205.42023109083758
TIC2,261.0488088421697
TIC3,293.71984330522685
TIC4,301.71984330522673
TIC5,301.71984330522673
Vabc,407.17836755078486
WPol,48
apol,65.66461799999999
bpol,38.251382000000014
nRot,5
ABCGG,17.421244709456726
ATS0Z,1766.0
ATS0d,182.0
ATS0i,9248.349353267475
ATS0m,7097.234577
ATS0p,92.280951526074
ATS0v,12821.803016391654
ATS1Z,1596.0
ATS1d,230.0
ATS1i,8667.06612798199
ATS1m,6061.9466950000015
ATS1p,108.74148448000003
ATS1v,15555.52897523782
ATS2Z,2366.0
ATS2d,365.0
ATS2i,15917.501768568185
ATS2m,8853.049137000002
ATS2p,161.56348561449
ATS2v,22418.12399035797
ATS3Z,2632.0
ATS3d,424.0
ATS3i,20902.640006907986
ATS3m,9645.378067
ATS3p,191.73413391267798
ATS3v,25794.39451972969
ATS4Z,2529.0
ATS4d,411.0
ATS4i,20853.552593768054
ATS4m,9182.742527999999
ATS4p,193.51509133582894
ATS4v,25814.023765106227
ATS5Z,2539.0
ATS5d,404.0
ATS5i,22154.231917983096
ATS5m,9258.115127999996
ATS5p,185.68218953662097
ATS5v,25456.409737343725
ATS6Z,2359.0
ATS6d,384.0
ATS6i,20519.100158835176
ATS6m,8453.204817
ATS6p,179.67693964843303
ATS6v,24172.759364556037
ATS7Z,2332.0
ATS7d,369.0
ATS7i,20361.081605181742
ATS7m,8376.881629000001
ATS7p,171.565935004131
ATS7v,23016.06785396606
ATS8Z,2209.0
ATS8d,358.0
ATS8i,19967.052817777727
ATS8m,8029.466593
ATS8p,172.064805441225
ATS8v,22733.651596123345
C1SP1,0
C1SP2,1
C1SP3,7
C2SP1,0
C2SP2,12
C2SP3,1
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.36363636363636365
GGI10,0.12764003673094582
JGI10,0.005318334863789409
JGT10,0.3619887945252079
Kier1,25.619834710743802
Kier2,12.459259259259259
Kier3,6.533333333333333
MAXdO,13.34893340941366
MINdO,11.837075447937883
MPC10,202
MWC01,33.0
MWC02,5.056245805348308
MWC03,5.905361848054571
MWC04,6.785587645007929
MWC05,7.660585461703256
MWC06,8.553910774351401
MWC07,9.44311737225863
MWC08,10.344351978996153
MWC09,11.242650997173481
MWC10,12.149274754929205
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,4.528400000000005
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.5093883366279774
SRW05,0.0
SRW06,7.023758954738443
SRW07,0.0
SRW08,8.643120748014027
SRW09,0.0
SRW10,10.324399409633317
SaaCH,13.491300943191273
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.256531809540468
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.4765896729789785
SdssS,0
SsCH3,1.7588068897050455
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.7296106212610542
SssPH,0
SssSe,0
SsssB,0
SsssN,4.031341381632236
SsssP,0
WPath,3000002500
Xc-3d,1.6492356568745452
Xc-4d,0.0
Xc-5d,0.3053720259450958
Xc-6d,0.0
Xp-1d,14.652198343190413
Xp-2d,12.81267515379349
Xp-3d,10.648093155394479
Xp-4d,9.26978429502539
Xp-5d,7.805725553798464
Xp-6d,5.383779667996898
Xp-7d,4.224946177395613
ZMIC0,100.08375976054657
ZMIC1,53.7008864718581
ZMIC2,35.87479776254245
ZMIC3,29.893437229027306
ZMIC4,28.683050908764756
ZMIC5,28.683050908764756
nAcid,0
nAtom,57
nBase,1
nRing,4
piPC1,3.7376696182833684
piPC2,4.248495242049359
piPC3,4.74493212836325
piPC4,5.319344733740112
piPC5,5.8888779583328805
piPC6,6.150336208402051
piPC7,6.594498955410926
piPC8,7.037686448574168
piPC9,7.343163419713018
AATS0Z,30.982456140350877
AATS0d,3.192982456140351
AATS0i,162.25174303978025
AATS0m,124.51288731578947
AATS0p,1.6189640618609475
AATS0v,224.94391256827464
AATS1Z,27.050847457627118
AATS1d,3.8983050847457625
AATS1i,146.89942589799983
AATS1m,102.74485923728815
AATS1p,1.8430760081355937
AATS1v,263.6530334786071
AATS2Z,23.19607843137255
AATS2d,3.5784313725490198
AATS2i,156.05393890753123
AATS2m,86.79459938235296
AATS2p,1.5839557413185292
AATS2v,219.785529317235
AATS3Z,20.091603053435115
AATS3d,3.236641221374046
AATS3i,159.56213745731287
AATS3m,73.62884020610687
AATS3p,1.46361934284487
AATS3v,196.9037749597686
AATS4Z,19.015037593984964
AATS4d,3.0902255639097747
AATS4i,156.79362852457183
AATS4m,69.04317690225562
AATS4p,1.455000686735556
AATS4v,194.09040424891901
AATS5Z,18.26618705035971
AATS5d,2.906474820143885
AATS5i,159.3829634387273
AATS5m,66.60514480575536
AATS5p,1.3358430901915177
AATS5v,183.1396383981563
AATS6Z,18.146153846153847
AATS6d,2.953846153846154
AATS6i,157.8392319910398
AATS6m,65.02465243846154
AATS6p,1.3821303049879463
AATS6v,185.9443028042772
AATS7Z,18.21875
AATS7d,2.8828125
AATS7i,159.07095004048236
AATS7m,65.44438772656251
AATS7p,1.3403588672197735
AATS7v,179.81303010910983
AATS8Z,17.53174603174603
AATS8d,2.8412698412698414
AATS8i,158.46867315696608
AATS8m,63.72592534126984
AATS8p,1.365593693977976
AATS8v,180.42580631843924
ATS0dv,414.8888888888889
ATS0pe,360.5962
ATS0se,445.4026619999999
ATS1dv,397.33333333333337
ATS1pe,386.62850000000003
ATS1se,462.90692799999977
ATS2dv,550.3333333333333
ATS2pe,661.9739
ATS2se,804.9205319999998
ATS3dv,566.3333333333333
ATS3pe,825.8803000000003
ATS3se,1019.228046
ATS4dv,580.3333333333333
ATS4pe,825.9833
ATS4se,1020.074926
ATS5dv,553.0
ATS5pe,864.9804
ATS5se,1072.840042
ATS6dv,528.0
ATS6pe,819.7857999999999
ATS6se,1010.940152
ATS7dv,476.3333333333333
ATS7pe,799.4058
ATS7se,989.0905139999999
ATS8dv,459.0
ATS8pe,769.7968000000001
ATS8se,955.09825
ATSC0Z,721.5087719298244
ATSC0c,1.1408509591819287
ATSC0d,33.50877192982456
ATSC0i,85.57184009072719
ATSC0m,3320.4862168421055
ATSC0p,16.634599647373577
ATSC0v,2947.5475475267353
ATSC1Z,-19.70206217297629
ATSC1c,-0.7246213291662873
ATSC1d,14.087411511234231
ATSC1i,-17.603265731948383
ATSC1m,-95.04523173130211
ATSC1p,-1.4368074785017437
ATSC1v,-123.4783740117002
ATSC2Z,48.56325023084023
ATSC2c,0.2974076222762797
ATSC2d,9.317636195752542
ATSC2i,12.116428364152236
ATSC2m,218.93884480886408
ATSC2p,3.7034109992704334
ATSC2v,264.7821588588994
ATSC3Z,-1.607879347491565
ATSC3c,-0.3227171306454614
ATSC3d,5.058787319175137
ATSC3i,30.59971807894748
ATSC3m,13.631541152354373
ATSC3p,6.069333459414578
ATSC3v,801.0550656135981
ATSC4Z,-76.52046783625731
ATSC4c,0.3372947845692212
ATSC4d,-1.116959064327482
ATSC4i,11.384012167341927
ATSC4m,-333.5641211052632
ATSC4p,-1.81918621313174
ATSC4v,-146.4424210841778
ATSC5Z,107.63650353955066
ATSC5c,-0.22903302318925284
ATSC5d,-0.5564789165897185
ATSC5i,-0.5239513901691539
ATSC5m,498.6663546481994
ATSC5p,1.6848081210491506
ATSC5v,623.0626738639158
ATSC6Z,-173.0726377346876
ATSC6c,0.1270007515764718
ATSC6d,-5.265620190827944
ATSC6i,-20.468390513909448
ATSC6m,-796.0858533240997
ATSC6p,-3.38571926898176
ATSC6v,-775.396336452429
ATSC7Z,-48.37057556171128
ATSC7c,-0.17928720493866562
ATSC7d,-4.4933825792551545
ATSC7i,-22.806095587021716
ATSC7m,-264.0529380138503
ATSC7p,-5.018276529838546
ATSC7v,-714.9773573026965
ATSC8Z,125.87534626038781
ATSC8c,0.2259783324725582
ATSC8d,-14.247460757156043
ATSC8i,6.819113981698935
ATSC8m,559.0410345069254
ATSC8p,0.3522246322081405
ATSC8v,-17.629868067076558
AXp-1d,0.4440060103997095
AXp-2d,0.28472611452874425
AXp-3d,0.17746821925657466
AXp-4d,0.11304614993933403
AXp-5d,0.07096114139816785
AXp-6d,0.044494046842949574
AXp-7d,0.02854693363105144
GATS1Z,0.739317038913896
GATS1c,1.6650790003658946
GATS1d,0.6656491259206673
GATS1i,1.4042118161578991
GATS1m,0.7420644836086293
GATS1p,1.0492336655854697
GATS1v,1.0019584953357945
GATS2Z,0.6901659462598444
GATS2c,1.0556891060614435
GATS2d,0.974869109947644
GATS2i,1.0643004511586414
GATS2m,0.6880544118839448
GATS2p,0.8092953926848997
GATS2v,0.8782752756141012
GATS3Z,0.8401393891719101
GATS3c,1.2535170306825874
GATS3d,1.0397186363454698
GATS3i,0.9481896874334912
GATS3m,0.8275152195101997
GATS3p,0.8414118975661806
GATS3v,0.8344297982570476
GATS4Z,0.8619364878665565
GATS4c,0.8154375894794755
GATS4d,1.0931937172774868
GATS4i,1.029766493332786
GATS4m,0.8511553957564261
GATS4p,1.0668879758448464
GATS4v,1.0056234967791913
GATS5Z,0.6703379017352185
GATS5c,1.019736189704729
GATS5d,1.0640400768390523
GATS5i,1.004646820771297
GATS5m,0.6725819403902037
GATS5p,0.8636572993388321
GATS5v,0.8711291415682139
GATS6Z,0.8651102241142606
GATS6c,0.9170451557289196
GATS6d,1.0862827225130889
GATS6i,1.1546983055198696
GATS6m,0.8626482274221315
GATS6p,1.0324434787623993
GATS6v,1.0660717420958368
GATS7Z,0.7973742279822985
GATS7c,0.9918313596895324
GATS7d,1.0575589005235602
GATS7i,1.1776971221161774
GATS7m,0.8006842944648561
GATS7p,1.073293135590042
GATS7v,1.062684756496928
GATS8Z,0.6036732642772619
GATS8c,0.7927003294325532
GATS8d,1.206980802792321
GATS8i,0.9918451316631104
GATS8m,0.6133810463936257
GATS8p,0.8802104709798134
GATS8v,0.9823686344031333
MATS1Z,-0.026381100825326378
MATS1c,-0.6136278263562892
MATS1d,0.4061584878871241
MATS1i,-0.1987399691492882
MATS1m,-0.027653588502635374
MATS1p,-0.08344668159576739
MATS1v,-0.04047183785658718
MATS2Z,0.03761324595003589
MATS2c,0.14567930702671947
MATS2d,0.15538959039113032
MATS2i,0.079125857935759
MATS2m,0.03684646464148895
MATS2p,0.12441256473529942
MATS2v,0.05019986892593277
MATS3Z,-0.0009696508922681656
MATS3c,-0.1230826016701338
MATS3d,0.06568882139003245
MATS3i,0.1555930214278259
MATS3m,0.0017862689008255328
MATS3p,0.15875675235194503
MATS3v,0.11825107883225032
MATS4Z,-0.04545265073884439
MATS4c,0.1267079687395622
MATS4d,-0.014285714285714242
MATS4i,0.057014811791583075
MATS4m,-0.043052746666183035
MATS4p,-0.04686925148345338
MATS4v,-0.021292629413278533
MATS5Z,0.061175569586639715
MATS5c,-0.08232452797414827
MATS5d,-0.006810049342724755
MATS5i,-0.002510846606619275
MATS5m,0.06158407755041086
MATS5p,0.041533463593551395
MATS5v,0.08668240861844281
MATS6Z,-0.10517639973215523
MATS6c,0.048810008418559384
MATS6d,-0.06890052356020938
MATS6i,-0.10487798304962252
MATS6m,-0.10512105914654651
MATS6p,-0.0892421645814004
MATS6v,-0.11534384606743615
MATS7Z,-0.029854137285415548
MATS7c,-0.06998182611556873
MATS7d,-0.05971449607329841
MATS7i,-0.11868202705852675
MATS7m,-0.03541230599388575
MATS7p,-0.13434055009232293
MATS7v,-0.1080180554478296
MATS8Z,0.07892296149116654
MATS8c,0.08960705378614954
MATS8d,-0.1923460483669907
MATS8i,0.03604967795672673
MATS8m,0.07616339869972168
MATS8p,0.00957881271254444
MATS8v,-0.002705780442193967
MAXssO,5.3934818498866
MAXssS,1.6228728781840251
MINssO,4.974632242482587
MINssS,1.6228728781840251
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,7
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.532002199744145
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1208
TMWC10,141.14108663782292
TSRW10,66.70536006840473
Xc-3dv,0.8862181403495583
Xc-4dv,0.0
Xc-5dv,0.1396993847451204
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.2987977088559277
Xch-7d,0.469204825974771
Xp-0dv,18.968109448271765
Xp-1dv,10.948690714854306
Xp-2dv,8.114699748603785
Xp-3dv,6.173017522709023
Xp-4dv,4.614960647479445
Xp-5dv,3.5229134573654934
Xp-6dv,2.164650256622101
Xp-7dv,1.4506396080637387
Xpc-4d,3.8280559916875223
Xpc-5d,6.70147605091485
Xpc-6d,11.099968089927474
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,59
nFRing,1
nHBAcc,6
nHBDon,1
nHRing,2
nSpiro,0
naRing,2
piPC10,7.5595594960077
AATS0dv,7.278752436647174
AATS0pe,6.326249122807018
AATS0se,7.814081789473683
AATS1dv,6.734463276836159
AATS1pe,6.553025423728814
AATS1se,7.845880135593216
AATS2dv,5.395424836601307
AATS2pe,6.489940196078431
AATS2se,7.89137776470588
AATS3dv,4.323155216284987
AATS3pe,6.3044297709923685
AATS3se,7.780366763358778
AATS4dv,4.363408521303257
AATS4pe,6.210400751879699
AATS4se,7.6697362857142855
AATS5dv,3.9784172661870505
AATS5pe,6.222880575539569
AATS5se,7.718273683453238
AATS6dv,4.061538461538461
AATS6pe,6.306044615384614
AATS6se,7.776462707692308
AATS7dv,3.7213541666666665
AATS7pe,6.2453578125
AATS7se,7.727269640624999
AATS8dv,3.642857142857143
AATS8pe,6.1094984126984135
AATS8se,7.580144841269841
AATSC0Z,12.658048630347798
AATSC0c,0.020014929108454888
AATSC0d,0.5878731917513081
AATSC0i,1.501260352468898
AATSC0m,58.254144155124656
AATSC0p,0.29183508153286974
AATSC0v,51.71136048292518
AATSC1Z,-0.33393325716908967
AATSC1c,-0.012281717443496395
AATSC1d,0.23876968663108866
AATSC1i,-0.29836043613471835
AATSC1m,-1.610936131039019
AATSC1p,-0.0243526691271482
AATSC1v,-2.0928537968084777
AATSC2Z,0.4761102963807866
AATSC2c,0.0029157610027086243
AATSC2d,0.09134937446816217
AATSC2i,0.11878851337404153
AATSC2m,2.1464592628320007
AATSC2p,0.03630795097323954
AATSC2v,2.5959035182245036
AATSC3Z,-0.012273888148790572
AATSC3c,-0.002463489546911919
AATSC3d,0.038616697092939974
AATSC3i,0.23358563419043876
AATSC3m,0.10405756604850666
AATSC3p,0.046330789766523495
AATSC3v,6.114924164989299
AATSC4Z,-0.5753418634305061
AATSC4c,0.0025360510117986555
AATSC4d,-0.00839818845359009
AATSC4i,0.0855940764461799
AATSC4m,-2.508000910565889
AATSC4p,-0.013678091828058195
AATSC4v,-1.1010708352193819
AATSC5Z,0.7743633348169112
AATSC5c,-0.0016477195912895889
AATSC5d,-0.0040034454430915
AATSC5i,-0.0037694344616485895
AATSC5m,3.58752773128201
AATSC5p,0.01212092173416655
AATSC5v,4.482465279596517
AATSC6Z,-1.33132798257452
AATSC6c,0.0009769288582805525
AATSC6d,-0.040504770698676494
AATSC6i,-0.15744915779930344
AATSC6m,-6.123737333262306
AATSC6p,-0.02604399437678277
AATSC6v,-5.964587203480223
AATSC7Z,-0.37789512157586935
AATSC7c,-0.0014006812885833252
AATSC7d,-0.035104551400430895
AATSC7i,-0.17817262177360715
AATSC7m,-2.0629135782332053
AATSC7p,-0.03920528538936364
AATSC7v,-5.585760603927317
AATSC8Z,0.9990106846062525
AATSC8c,0.0017934788291472873
AATSC8d,-0.11307508537425431
AATSC8i,0.054119952235705836
AATSC8m,4.43683360719782
AATSC8p,0.0027954335889534957
AATSC8v,-0.13991958783394093
ATS0are,354.5772
ATS1are,377.33
ATS2are,652.009
ATS3are,813.9248000000002
ATS4are,812.2888000000002
ATS5are,853.0577999999997
ATS6are,808.36
ATS7are,788.0977999999999
ATS8are,758.2109000000002
ATSC0dv,227.55945419103315
ATSC0pe,7.2402982456140315
ATSC0se,5.028410140350876
ATSC1dv,70.94333299134776
ATSC1pe,-0.09192449984610188
ATSC1se,-0.3371669172052938
ATSC2dv,17.796142402790593
ATSC2pe,0.7564329639889269
ATSC2se,0.7192032576177283
ATSC3dv,-12.299408364967
ATSC3pe,-2.4419608802708486
ATSC3se,-1.6615968839642963
ATSC4dv,40.905133203378824
ATSC4pe,0.37407426900584795
ATSC4se,0.005492374269006088
ATSC5dv,-24.721008173455083
ATSC5pe,-1.265383441058787
ATSC5se,-1.1684883071714376
ATSC6dv,-56.94066550391573
ATSC6pe,-0.8673644198214785
ATSC6se,-0.520010249923053
ATSC7dv,-48.10427139974693
ATSC7pe,-0.43155746383502336
ATSC7se,0.35287898307171395
ATSC8dv,2.921206525084639
ATSC8pe,2.5521196675900244
ATSC8se,1.9246348476454296
AXp-0dv,0.6118744983313472
AXp-1dv,0.33177850651073654
AXp-2dv,0.1803266610800841
AXp-3dv,0.10288362537848372
AXp-4dv,0.05628000789609079
AXp-5dv,0.03202648597604994
AXp-6dv,0.017889671542331412
AXp-7dv,0.00980161897340364
BertzCT,936.7220743448909
ECIndex,6600000000
GATS1dv,0.545707017104215
