DLiP-ID,C003ET
MIC3,38.14201183914356
MIC4,38.14201183914356
MIC5,38.14201183914356
MPC2,36
MPC3,40
MPC4,47
MPC5,55
MPC6,50
MPC7,49
MPC8,44
MPC9,34
Mare,0.9754461538461539
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,3
NsSH,0
NssO,1
NssS,1
NtCH,0
NtsC,0
RNCG,0.15342683697959067
RPCG,0.09915773480947057
SIC0,0.25114510206369234
SIC1,0.5672504241972128
SIC2,0.7948576807790722
SIC3,0.8626289419191191
SIC4,0.8626289419191191
SIC5,0.8626289419191191
SaaN,0
SaaO,0
SaaS,0
Sare,63.404
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,26.08772935563114
SsSH,0
SssO,5.553710553665911
SssS,1.7672871525153269
StCH,0
StsC,0
TIC0,98.31173163942825
TIC1,222.05239527978205
TIC2,311.15014532305145
TIC3,337.6794703360322
TIC4,337.6794703360322
TIC5,337.6794703360322
Vabc,440.79652696712895
WPol,37
apol,68.88975499999997
bpol,41.61424500000003
nRot,12
ABCGG,19.682047922499695
ATS0Z,1516.0
ATS0d,165.0
ATS0i,10692.871239653816
ATS0m,5969.220557000001
ATS0p,90.396475669715
ATS0s,327.39231824417004
ATS0v,12543.738965342282
ATS1Z,1477.0
ATS1d,195.0
ATS1i,9416.324941785651
ATS1m,5486.343335
ATS1p,109.79322986799998
ATS1s,203.7746913580247
ATS1v,15279.749184683935
ATS2Z,2009.0
ATS2d,306.0
ATS2i,17162.01745384539
ATS2m,7283.157001
ATS2p,156.75020059498
ATS2s,354.14506172839504
ATS2v,20624.56811020257
ATS3Z,2218.0
ATS3d,345.0
ATS3i,21919.959134968813
ATS3m,7871.627197000001
ATS3p,182.89562681801698
ATS3s,352.92283950617286
ATS3v,23268.949723417074
ATS4Z,2279.0
ATS4d,349.0
ATS4i,24418.0459253733
ATS4m,8033.135088999999
ATS4p,189.690280835658
ATS4s,365.0432098765432
ATS4v,23829.309049985037
ATS5Z,2235.0
ATS5d,340.0
ATS5i,25398.265752073745
ATS5m,7697.445033
ATS5p,186.36627993996
ATS5s,524.604938271605
ATS5v,23211.899719120815
ATS6Z,1749.0
ATS6d,298.0
ATS6i,24498.71108120119
ATS6m,5645.817034000001
ATS6p,169.017095573715
ATS6s,373.09567901234567
ATS6v,20353.82771983372
ATS7Z,1451.0
ATS7d,259.0
ATS7i,23033.68545849864
ATS7m,4711.284115999999
ATS7p,144.32890419929902
ATS7s,282.1574074074074
ATS7v,16708.126935156128
ATS8Z,1091.0
ATS8d,198.0
ATS8i,17691.32079047533
ATS8m,3351.181493
ATS8p,122.178021917168
ATS8s,204.16666666666666
ATS8v,13725.324788156697
C1SP1,0
C1SP2,2
C1SP3,5
C2SP1,0
C2SP2,7
C2SP3,3
C3SP2,1
C3SP3,2
C4SP3,0
FCSP3,0.5454545454545454
GGI10,0.049586776859504134
JGI10,0.0070838252656434475
JGT10,0.4981592481082097
Kier1,30.0
Kier2,17.54320987654321
Kier3,13.23
MAXdO,9.553611111111111
MINdO,9.553611111111111
MPC10,23
MWC01,29.0
MWC02,4.875197323201151
MWC03,5.645446897643238
MWC04,6.47543271670409
MWC05,7.289610521451167
MWC06,8.133587417660966
MWC07,8.97094039814245
MWC08,9.82460666968268
MWC09,10.676069563742107
MWC10,11.536964205296131
NaaCH,2
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,2
NdssC,2
NdssS,0
NsCH3,5
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.353900000000003
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.313205979041787
SRW05,0.0
SRW06,6.732210706467206
SRW07,0.0
SRW08,8.258163361537619
SRW09,0.0
SRW10,9.854769885738698
SaaCH,3.8842391817838244
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.258998225833544
SaasN,0
SdCH2,0
SddsN,0
SdsCH,1.1157407407407405
SdssC,-2.514074074074074
SdssS,0
SsCH3,10.220918036138544
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.218118750048591
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
WPath,17600001211
Xc-3d,1.9910310349658173
Xc-4d,0.0
Xc-5d,0.37119669724178084
Xc-6d,0.0
Xp-0d,23.104083527755577
Xp-1d,14.170340175395127
Xp-2d,11.95187657351118
Xp-3d,7.949487278807967
Xp-4d,5.94455969082363
Xp-5d,4.842797459729665
Xp-6d,2.622341873686775
Xp-7d,1.6859345321937431
ZMIC0,104.01973497474383
ZMIC1,47.64225839677529
ZMIC2,32.204154010712564
ZMIC3,29.482749502292904
ZMIC4,29.482749502292904
ZMIC5,29.482749502292904
nAcid,2
nAtom,65
nBase,1
nRing,1
piPC1,3.58351893845611
piPC2,3.9982007016691985
piPC3,4.37260741275739
piPC4,4.769624740953621
piPC5,5.2473529654375834
piPC6,5.285105472575806
piPC7,5.363344049765109
piPC8,5.341137363730965
piPC9,5.090870290973346
AATS0Z,23.323076923076922
AATS0d,2.5384615384615383
AATS0i,164.50571137928947
AATS0m,91.83416241538463
AATS0p,1.3907150103033077
AATS0s,5.0368048960641545
AATS0v,192.98059946680434
AATS1Z,23.078125
AATS1d,3.046875
AATS1i,147.1300772154008
AATS1m,85.724114609375
AATS1p,1.7155192166874997
AATS1s,3.183979552469136
AATS1v,238.74608101068648
AATS2Z,18.263636363636362
AATS2d,2.7818181818181817
AATS2i,156.01834048950354
AATS2m,66.21051819090908
AATS2p,1.4250018235907271
AATS2s,3.2195005611672274
AATS2v,187.49607372911427
AATS3Z,15.956834532374101
AATS3d,2.4820143884892087
AATS3i,157.69754773358858
AATS3m,56.63041148920864
AATS3p,1.3157958763886113
AATS3s,2.5390132338573586
AATS3v,167.40251599580628
AATS4Z,14.895424836601308
AATS4d,2.281045751633987
AATS4i,159.59507140766863
AATS4m,52.504150908496726
AATS4p,1.2398057570958039
AATS4s,2.3859033325264263
AATS4v,155.7471179737584
AATS5Z,14.235668789808917
AATS5d,2.1656050955414012
AATS5i,161.77239332531047
AATS5m,49.02831231210191
AATS5p,1.1870463690443314
AATS5s,3.3414327278446176
AATS5v,147.84649502624723
AATS6Z,11.582781456953642
AATS6d,1.9735099337748345
AATS6i,162.24311974305422
AATS6m,37.389516781456955
AATS6p,1.119318513733212
AATS6s,2.4708323113400374
AATS6v,134.79356105850147
AATS7Z,10.43884892086331
AATS7d,1.8633093525179856
AATS7i,165.70996732732834
AATS7m,33.89413033093524
AATS7p,1.0383374402827268
AATS7s,2.029909405808686
AATS7v,120.20235205148293
AATS8Z,10.009174311926605
AATS8d,1.81651376146789
AATS8i,162.30569532546173
AATS8m,30.74478433944954
AATS8p,1.120899283643743
AATS8s,1.8730886850152904
AATS8v,125.92041090052015
ATS0dv,374.44444444444446
ATS0pe,399.35460000000006
ATS0se,500.0933729999999
ATS1dv,314.0
ATS1pe,410.413
ATS1se,497.08671200000003
ATS2dv,403.0
ATS2pe,675.5232
ATS2se,838.678266
ATS3dv,359.0
ATS3pe,829.8692
ATS3se,1043.35856
ATS4dv,344.0
ATS4pe,904.2897
ATS4se,1142.013144
ATS5dv,359.66666666666663
ATS5pe,947.7770999999999
ATS5se,1193.59944
ATS6dv,155.33333333333331
ATS6pe,900.1766
ATS6se,1141.64762
ATS7dv,89.0
ATS7pe,800.5132
ATS7se,1030.45219
ATS8dv,62.66666666666666
ATS8pe,622.6120000000001
ATS8se,799.5520220000001
ATSC0Z,644.5538461538462
ATSC0c,1.8107562254975742
ATSC0d,31.938461538461546
ATSC0i,87.39785106173454
ATSC0m,2969.2890817846155
ATSC0p,17.384193454945382
ATSC0s,135.04535190461115
ATSC0v,3275.3547874412607
ATSC1Z,6.3008284023668955
ATSC1c,-1.0794893912497883
ATSC1d,12.675976331360946
ATSC1i,-0.9125589819686561
ATSC1m,27.83679018130134
ATSC1p,0.7483336471573899
ATSC1s,-11.887489468429639
ATSC1v,8.699850468321742
ATSC2Z,56.55502958579885
ATSC2c,0.3261123173670034
ATSC2d,3.227218934911241
ATSC2i,13.922403302531935
ATSC2m,266.16744587218915
ATSC2p,1.7738155694022713
ATSC2s,61.10595084455484
ATSC2v,266.2041567631226
ATSC3Z,46.53869822485206
ATSC3c,-0.08221640463346809
ATSC3d,2.870059171597632
ATSC3i,-5.182477532915128
ATSC3m,212.13406332213003
ATSC3p,-0.22920096426836128
ATSC3s,-1.8891168902849809
ATSC3v,78.39149716636825
ATSC4Z,93.85017751479292
ATSC4c,-0.6109744905002814
ATSC4d,-10.255147928994084
ATSC4i,-20.71897807828125
ATSC4m,427.1698627069822
ATSC4p,-1.6042843293145976
ATSC4s,-6.254509135477795
ATSC4v,-5.966062136908618
ATSC5Z,-90.58390532544375
ATSC5c,1.1242074175848362
ATSC5d,-13.92828402366864
ATSC5i,-6.154597202487922
ATSC5m,-417.16036766437867
ATSC5p,-4.02509015368616
ATSC5s,109.55510896827138
ATSC5v,-700.4283839614206
ATSC6Z,-320.16355029585804
ATSC6c,-0.6276483017473232
ATSC6d,-10.980118343195267
ATSC6i,-21.1239993473342
ATSC6m,-1494.0415015150295
ATSC6p,-5.1322475332945094
ATSC6s,-29.38227376401166
ATSC6v,-1519.809910732821
ATSC7Z,-35.753609467455675
ATSC7c,0.001802402816050458
ATSC7d,-8.729940828402366
ATSC7i,3.446703795253954
ATSC7m,-161.63686089325427
ATSC7p,2.0201455396945622
ATSC7s,-8.464562706471538
ATSC7v,94.26380277141332
ATSC8Z,-285.3441420118344
ATSC8c,-0.01145208683411425
ATSC8d,-6.6660355029585805
ATSC8i,-19.018318092758157
ATSC8m,-1300.9584355618933
ATSC8p,-5.933490409076876
ATSC8s,6.0302267027053365
ATSC8v,-1048.988470376121
AXp-0d,0.7701361175918525
AXp-1d,0.4886324198412113
AXp-2d,0.3319965714864217
AXp-3d,0.19873718197019918
AXp-4d,0.12647999342177937
AXp-5d,0.08805086290417573
AXp-6d,0.0524468374737355
AXp-7d,0.03440682718762741
GATS1Z,0.9215676914263892
GATS1c,1.5837879072643095
GATS1d,0.9862716763005778
GATS1i,1.329096598659574
GATS1m,0.9294198397285532
GATS1p,1.16172291911031
GATS1s,0.8247711913380644
GATS1v,1.1678362011861152
GATS2Z,0.9974482267779957
GATS2c,0.6914787687774344
GATS2d,1.3207216675424764
GATS2i,1.0768517450846016
GATS2m,0.9906525483917803
GATS2p,1.1068156437588805
GATS2s,0.3862629265562542
GATS2v,1.0404143734139426
GATS3Z,1.0465105097514502
GATS3c,0.692783748009886
GATS3d,1.225378079039658
GATS3i,1.1286323615882385
GATS3m,1.0370105170544548
GATS3p,1.1790439202440606
GATS3s,0.7108921774675103
GATS3v,1.065925585528916
GATS4Z,0.985471650311197
GATS4c,0.8429360072163264
GATS4d,1.3097082121223567
GATS4i,1.1684546794522213
GATS4m,0.9791384409784567
GATS4p,1.1604700096622145
GATS4s,0.6496863931453234
GATS4v,1.05468374810953
GATS5Z,1.1693863725646398
GATS5c,0.6459579990659388
GATS5d,1.2763398500300673
GATS5i,1.0977729055945293
GATS5m,1.156982206500032
GATS5p,1.2080533952689898
GATS5s,0.36174294509427224
GATS5v,1.1080779545144561
GATS6Z,1.250703413182058
GATS6c,1.147801503033972
GATS6d,1.1412675930533756
GATS6i,1.1069677340789734
GATS6m,1.247807820094096
GATS6p,1.1710356718671515
GATS6s,0.7871926393766207
GATS6v,1.2004563251953848
GATS7Z,1.0811560795282047
GATS7c,0.91112912091299
GATS7d,1.0379673140100634
GATS7i,0.9108404848635137
GATS7m,1.0720281736634758
GATS7p,0.9725289255665911
GATS7s,0.5417445199862091
GATS7v,0.9665915079390739
GATS8Z,1.4962344503558835
GATS8c,0.6661995819232124
GATS8d,0.9283908716480174
GATS8i,1.1762401473249517
GATS8m,1.4668977536104568
GATS8p,1.4395298850321492
GATS8s,0.31256084369208587
GATS8v,1.240347853131069
MATS1Z,0.009928230021959186
MATS1c,-0.6054688077556108
MATS1d,0.4030888728323698
MATS1i,-0.010604582433122381
MATS1m,0.009521383485804677
MATS1p,0.043719391547498855
MATS1s,-0.08940131090110928
MATS1v,0.0026976575685078294
MATS2Z,0.05184808269828323
MATS2c,0.10642113514569887
MATS2d,0.059708355228586404
MATS2i,0.09413131534501594
MATS2m,0.05296916505529342
MATS2p,0.06029406818742633
MATS2s,0.2673773021688026
MATS2v,0.04802608159343987
MATS3Z,0.0337639760255954
MATS3c,-0.021232300411821888
MATS3d,0.04202187383041541
MATS3i,-0.02772906527322936
MATS3m,0.03340846222673353
MATS3p,-0.006165388535841293
MATS3s,-0.006541506036354552
MATS3v,0.011192037729448892
MATS4Z,0.06185827714065706
MATS4c,-0.1433458145136053
MATS4d,-0.13641114763182086
MATS4i,-0.10071392056445007
MATS4m,0.06111812883648928
MATS4p,-0.0392056556297992
MATS4s,-0.01967594120409283
MATS4v,-0.0007738403091934419
MATS5Z,-0.058184263368559544
MATS5c,0.25703967515882803
MATS5d,-0.18054993066038313
MATS5i,-0.029154969068315707
MATS5m,-0.0581653391100812
MATS5p,-0.09585941406938346
MATS5s,0.33586650765578324
MATS5v,-0.0885358357899118
MATS6Z,-0.21382037767439274
MATS6c,-0.1492082306473895
MATS6d,-0.1479890007528487
MATS6i,-0.10404274465981515
MATS6m,-0.2165940836200076
MATS6p,-0.12708358501880213
MATS6s,-0.09365741554045744
MATS6v,-0.19974105149290874
MATS7Z,-0.025939359263019258
MATS7c,0.0004654686400373037
MATS7d,-0.12781913197765482
MATS7i,0.018441734461765096
MATS7m,-0.025455784314091956
MATS7p,0.054340880244206954
MATS7s,-0.029310514518311386
MATS7v,0.013458143743574371
MATS8Z,-0.26399555561784277
MATS8c,-0.0037714773516027895
MATS8d,-0.12446306411412206
MATS8i,-0.12976519130479483
MATS8m,-0.2612749653443319
MATS8p,-0.20353661950931648
MATS8s,0.026628141573208117
MATS8v,-0.19098498448178683
MAXsOH,10.463284911186697
MAXssO,5.553710553665911
MAXssS,1.7672871525153269
MINsOH,7.812222222222222
MINssO,5.553710553665911
MINssS,1.7672871525153269
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,5
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,5.574040611119609
SssNH2,0
SsssAs,0
SsssCH,0.726069244374619
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,437
TMWC10,132.42785571352397
TSRW10,64.23588737669104
Xc-3dv,0.9401790350356767
Xc-4dv,0.0
Xc-5dv,0.21505506188200993
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.05555555555555555
Xch-7d,0.16619799064237337
Xp-0dv,19.290766050353543
Xp-1dv,10.980840568343122
Xp-2dv,8.172197570045148
Xp-3dv,5.437968098626061
Xp-4dv,3.7835535728709453
Xp-5dv,2.6602004382821534
Xp-6dv,1.5054354077652596
Xp-7dv,1.0581977092812571
Xpc-4d,3.421557950662053
Xpc-5d,4.756702109099496
Xpc-6d,7.792370276848976
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,64
nFRing,0
nHBAcc,6
nHBDon,4
nHRing,0
nSpiro,0
naRing,1
piPC10,4.66785151486124
AATS0dv,5.760683760683761
AATS0pe,6.143916923076924
AATS0se,7.693744199999998
AATS1dv,4.90625
AATS1pe,6.412703125
AATS1se,7.7669798750000005
AATS2dv,3.6636363636363636
AATS2pe,6.14112
AATS2se,7.624347872727273
AATS3dv,2.58273381294964
AATS3pe,5.970282014388489
AATS3se,7.506176690647481
AATS4dv,2.2483660130718954
AATS4pe,5.910390196078431
AATS4se,7.464138196078432
AATS5dv,2.2908704883227173
AATS5pe,6.036796815286624
AATS5se,7.6025442038216555
AATS6dv,1.0286975717439293
AATS6pe,5.961434437086092
AATS6se,7.560580264900662
AATS7dv,0.6402877697841727
AATS7pe,5.7590877697841725
AATS7se,7.413325107913669
AATS8dv,0.5749235474006116
AATS8pe,5.712036697247707
AATS8se,7.335339651376147
AATSC0Z,9.91621301775148
AATSC0c,0.027857788084578065
AATSC0d,0.49136094674556224
AATSC0i,1.3445823240266852
AATSC0m,45.681370488994084
AATSC0p,0.2674491300760828
AATSC0s,2.0776207985324793
AATSC0v,50.39007365294247
AATSC1Z,0.09845044378698274
AATSC1c,-0.01686702173827794
AATSC1d,0.19806213017751478
AATSC1i,-0.014258734093260252
AATSC1m,0.4349498465828334
AATSC1p,0.011692713236834218
AATSC1s,-0.1857420229442131
AATSC1v,0.13593516356752722
AATSC2Z,0.5141366325981713
AATSC2c,0.002964657430609122
AATSC2d,0.029338353953738554
AATSC2i,0.12656730275029032
AATSC2m,2.419704053383538
AATSC2p,0.016125596085475192
AATSC2s,0.5555086440414077
AATSC2v,2.42003778875566
AATSC3Z,0.334810778596058
AATSC3c,-0.0005914849254206338
AATSC3d,0.020647907709335483
AATSC3i,-0.037284011028166385
AATSC3m,1.5261443404469786
AATSC3p,-0.0016489278004918077
AATSC3s,-0.013590768994855977
AATSC3v,0.5639676055134407
AATSC4Z,0.6133998530378623
AATSC4c,-0.003993297323531251
AATSC4d,-0.06702711064702016
AATSC4i,-0.13541815737438725
AATSC4m,2.79195988697374
AATSC4p,-0.010485518492252273
AATSC4s,-0.04087914467632545
AATSC4v,-0.038993870175873316
AATSC5Z,-0.5769675498435908
AATSC5c,0.007160556799903415
AATSC5d,-0.08871518486413146
AATSC5i,-0.039201256066802054
AATSC5m,-2.6570724055055965
AATSC5p,-0.02563751690245962
AATSC5s,0.6978032418361234
AATSC5v,-4.461327286378475
AATSC6Z,-2.120288412555351
AATSC6c,-0.004156611269849822
AATSC6d,-0.07271601551784945
AATSC6i,-0.13989403541280926
AATSC6m,-9.894314579569732
AATSC6p,-0.03398839426022854
AATSC6s,-0.1945845944636534
AATSC6v,-10.064966296243847
AATSC7Z,-0.25722021199608397
AATSC7c,1.2966926734175957e-05
AATSC7d,-0.06280532970073645
AATSC7i,0.024796430181683125
AATSC7m,-1.1628551143399588
AATSC7p,0.014533421148881743
AATSC7s,-0.06089613457893193
