DLiP-ID,C000RF
MIC1,29.521667824433504
MIC2,31.445868963238553
MIC3,31.62117331106464
MIC4,31.62117331106464
MIC5,31.62117331106464
MPC2,18
MPC3,11
MPC4,10
MPC5,9
MPC6,8
MPC7,7
MPC8,6
MPC9,9
Mare,0.9358260869565221
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.36176248617038514
RPCG,0.033423513486971826
SIC0,0.23558200218844802
SIC1,0.3044953747062217
SIC2,0.4782493061190538
SIC3,0.5097349751242782
SIC4,0.5097349751242782
SIC5,0.5097349751242782
SaaN,0
SaaO,0
SaaS,0
Sare,43.048000000000016
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,59.85758210171317
TIC1,77.36735710604012
TIC2,121.51542494833403
TIC3,129.51542494833404
TIC4,129.51542494833404
TIC5,129.51542494833404
Vabc,293.7819593379722
WPol,11
apol,48.343789999999956
bpol,34.65621
nRot,7
ABCGG,9.387725870287506
ATS0Z,3010.0
ATS0d,92.0
ATS0i,7770.67370030747
ATS0m,14923.341901999998
ATS0p,67.83018714546998
ATS0v,7908.160425821983
ATS1Z,696.0
ATS1d,102.0
ATS1i,6536.914821676995
ATS1m,2430.4378609999976
ATS1p,62.04682929999996
ATS1v,8127.766048918651
ATS2Z,958.0
ATS2d,202.0
ATS2i,14204.605821678579
ATS2m,3221.8486180000004
ATS2p,97.37438651637603
ATS2v,12372.28923181981
ATS3Z,948.0
ATS3d,192.0
ATS3i,18513.432331837976
ATS3m,2704.431963
ATS3p,131.91088071698002
ATS3v,14831.615008611712
ATS4Z,758.0
ATS4d,230.0
ATS4i,28164.654141317384
ATS4m,2163.265826
ATS4p,122.81691813399398
ATS4v,12491.835473101622
ATS5Z,640.0
ATS5d,160.0
ATS5i,16700.145776969355
ATS5m,1911.6416410000002
ATS5p,89.78629241275199
ATS5v,9806.514928876284
ATS6Z,576.0
ATS6d,144.0
ATS6i,15221.190621930762
ATS6m,1714.8849119999998
ATS6p,80.76476355335599
ATS6v,8799.716583921152
ATS7Z,513.0
ATS7d,132.0
ATS7i,13752.953233332164
ATS7m,1522.1121990000001
ATS7p,72.06813469396
ATS7v,7817.728551672926
ATS8Z,468.0
ATS8d,108.0
ATS8i,12232.661861639966
ATS8m,1409.2194060000004
ATS8p,60.43439387456399
ATS8v,6487.175577421378
C1SP1,0
C1SP2,0
C1SP3,2
C2SP1,0
C2SP2,0
C2SP3,4
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,1.0
GGI10,0.0
JGI10,0.0
JGT10,0.6884277957492244
Kier1,21.301775147928993
Kier2,9.074074074074074
Kier3,21.05785123966942
MPC10,0
MWC01,13.0
MWC02,4.143134726391533
MWC03,4.795790545596741
MWC04,5.645446897643238
MWC05,6.315358001522335
MWC06,7.161622002939187
MWC07,7.838737559599282
MWC08,8.681181041521688
MWC09,9.362975618399776
MWC10,10.201701469897316
NaaCH,0
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,0
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,6
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,-4.032799999999993
SRW02,3.295836866004329
SRW03,0.0
SRW04,4.59511985013459
SRW05,0.0
SRW06,6.003887067106539
SRW07,0.0
SRW08,7.456454555176209
SRW09,0.0
SRW10,8.93022956502072
SaaCH,0
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,13.619303193499624
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
WPath,2900000393
Xc-3d,3.121320343559643
Xc-4d,0.7071067811865476
Xc-5d,0.0
Xc-6d,0.0
Xp-1d,6.207106781186548
Xp-2d,7.035533905932739
Xp-3d,2.603553390593274
Xp-4d,1.6642135623730954
Xp-5d,1.051776695296637
Xp-6d,0.6553300858899107
Xp-7d,0.40625
ZMIC0,64.99809918329137
ZMIC1,52.09842500218717
ZMIC2,51.67077568665114
ZMIC3,50.61090649982887
ZMIC4,50.61090649982887
ZMIC5,50.61090649982887
nAcid,2
nAtom,46
nBase,2
nRing,0
piPC1,2.6390573296152584
piPC2,2.9444389791664403
piPC3,2.4849066497880004
piPC4,2.3978952727983707
piPC5,2.302585092994046
piPC6,2.1972245773362196
piPC7,2.0794415416798357
piPC8,1.9459101490553132
piPC9,2.302585092994046
AATS0Z,65.43478260869566
AATS0d,2.0
AATS0i,168.92768913711893
AATS0m,324.42047613043474
AATS0p,1.4745692857710864
AATS0v,171.91653099613006
AATS1Z,16.186046511627907
AATS1d,2.372093023255814
AATS1i,152.02127492272083
AATS1m,56.521810720930176
AATS1p,1.4429495186046504
AATS1v,189.0178150911314
AATS2Z,11.404761904761905
AATS2d,2.4047619047619047
AATS2i,169.1024502580783
AATS2m,38.3553406904762
AATS2p,1.1592188870997147
AATS2v,147.2891575216644
AATS3Z,8.102564102564102
AATS3d,1.641025641025641
AATS3i,158.23446437468354
AATS3m,23.114803102564103
AATS3p,1.127443424931453
AATS3v,126.76594024454455
AATS4Z,4.679012345679013
AATS4d,1.4197530864197532
AATS4i,173.8558897612184
AATS4m,13.35349275308642
AATS4p,0.7581291242839134
AATS4v,77.11009551297298
AATS5Z,6.4646464646464645
AATS5d,1.6161616161616161
AATS5i,168.68834118150863
AATS5m,19.30951152525253
AATS5p,0.9069322465934544
AATS5v,99.0557063522857
AATS6Z,6.4
AATS6d,1.6
AATS6i,169.12434024367514
AATS6m,19.054276799999997
AATS6p,0.8973862617039554
AATS6v,97.77462871023502
AATS7Z,6.333333333333333
AATS7d,1.6296296296296295
AATS7i,169.78954609052053
AATS7m,18.791508629629632
AATS7p,0.8897300579501235
AATS7v,96.51516730460402
AATS8Z,6.5
AATS8d,1.5
AATS8i,169.8980814116662
AATS8m,19.572491750000005
AATS8p,0.8393665815911665
AATS8v,90.09966079751914
ATS0dv,62.17558299039781
ATS0pe,259.2364
ATS0se,333.1673059999999
ATS1dv,60.0
ATS1pe,262.8285000000001
ATS1se,321.39733199999966
ATS2dv,50.0
ATS2pe,495.04000000000025
ATS2se,623.9201359999998
ATS3dv,40.0
ATS3pe,657.5984999999994
ATS3se,836.5365880000004
ATS4dv,36.0
ATS4pe,842.9359999999995
ATS4se,1122.0786959999996
ATS5dv,32.0
ATS5pe,533.2734999999999
ATS5se,696.3967400000002
ATS6dv,28.0
ATS6pe,484.97099999999983
ATS6se,633.5118400000002
ATS7dv,28.0
ATS7pe,436.9086
ATS7se,570.8276440000002
ATS8dv,24.0
ATS8pe,389.0519999999999
ATS8se,508.0180080000001
ATSC0Z,2257.91304347826
ATSC0c,2.4458824614502674
ATSC0d,23.826086956521735
ATSC0i,54.4759144414678
ATSC0m,12071.505083826089
ATSC0p,17.02318645929392
ATSC0v,2506.9460832090213
ATSC1Z,-113.22306238185257
ATSC1c,-0.052703228140301706
ATSC1d,2.597353497164457
ATSC1i,-39.930518174739376
ATSC1m,-563.5785884461246
ATSC1p,-4.975378349098434
ATSC1v,-691.8075238036564
ATSC2Z,-21.92816635160679
ATSC2c,-0.4367508435626799
ATSC2d,-9.508506616257096
ATSC2i,51.09653135509512
ATSC2m,-38.56083376937687
ATSC2p,4.563341963038853
ATSC2v,699.6471304338572
ATSC3Z,-292.9962192816635
ATSC3c,0.41319558587264954
ATSC3d,0.1814744801512273
ATSC3i,-56.85593871193685
ATSC3m,-1350.0892031228746
ATSC3p,-13.114750125772561
ATSC3v,-2802.6128030782124
ATSC4Z,737.9584120982986
ATSC4c,0.7330661992469472
ATSC4d,2.6124763705103984
ATSC4i,20.029787137122288
ATSC4m,3822.955129047254
ATSC4p,8.706260344195424
ATSC4v,1532.7740367871286
ATSC5Z,220.7088846880908
ATSC5c,0.035519658840890624
ATSC5d,-0.0604914933837435
ATSC5i,-2.7235613786532973
ATSC5m,1185.399194026463
ATSC5p,0.7147612409383571
ATSC5v,37.74083591295287
ATSC6Z,203.648393194707
ATSC6c,-0.011751635696649434
ATSC6d,-0.18147448015122952
ATSC6i,-2.8816110801184105
ATSC6m,1093.3476838185236
ATSC6p,0.6924797469783402
ATSC6v,37.13594229980329
ATSC7Z,187.58790170132332
ATSC7c,0.15958234476079367
ATSC7d,3.697542533081284
ATSC7i,7.67810565841648
ATSC7m,1005.2801896105846
ATSC7p,0.9950982530183232
ATSC7v,61.341361393557186
ATSC8Z,189.52741020793957
ATSC8c,0.1686202667702974
ATSC8d,-4.423440453686205
ATSC8i,-33.816160696648645
ATSC8m,997.0926154026454
ATSC8p,-1.639395200941692
ATSC8v,-263.01816151601616
AXp-1d,0.4774697523989652
AXp-2d,0.390862994774041
AXp-3d,0.2366866718721158
AXp-4d,0.16642135623730953
AXp-5d,0.11686407725518189
AXp-6d,0.08191626073623884
AXp-7d,0.05803571428571429
GATS1Z,0.17566128515106522
GATS1c,0.28688031908611533
GATS1d,1.6251485316584622
GATS1i,2.3989112549405514
GATS1m,0.15881466771608993
GATS1p,1.0079527298367046
GATS1v,1.4511017952065537
GATS2Z,0.1535077463936357
GATS2c,0.46351312669079187
GATS2d,2.6081856100104277
GATS2i,0.7377135152141898
GATS2m,0.13639076792493998
GATS2p,0.3919075178394386
GATS2v,0.7225365575507676
GATS3Z,0.18703452443728197
GATS3c,0.07257607282567984
GATS3d,0.6779898933183606
GATS3i,1.6705484018851409
GATS3m,0.16904521305966033
GATS3p,0.9481103089070043
GATS3v,1.4507331423543817
GATS4Z,0.0735684270884148
GATS4c,0.060331124430100455
GATS4d,0.46634225466342255
GATS4i,0.64898120698357
GATS4m,0.06637113569358684
GATS4p,0.3562974835616036
GATS4v,0.5488547249458238
GATS5Z,0.11031908859837694
GATS5c,0.12583173575213738
GATS5d,0.7249502322495024
GATS5i,0.9707377250749095
GATS5m,0.0994899736141328
GATS5p,0.5292860702673314
GATS5v,0.8164882244424195
GATS6Z,0.11027882615728264
GATS6c,0.1445795835005906
GATS6d,0.7554744525547447
GATS6i,0.9674568225943748
GATS6m,0.09940989770263588
GATS6p,0.5230938841772427
GATS6v,0.8083355888708401
GATS7Z,0.10998356825592445
GATS7c,0.11610085787156876
GATS7d,0.6995133819951338
GATS7i,0.8541450456566645
GATS7m,0.09912867451272767
GATS7p,0.5049224714587283
GATS7v,0.79287312985989
GATS8Z,0.10463201879380733
GATS8c,0.1375078841105069
GATS8d,0.9443430656934307
GATS8i,1.309718602445307
GATS8m,0.0946413770645486
GATS8p,0.5900431857735754
GATS8v,0.8604448463275168
MATS1Z,-0.053643494444434524
MATS1c,-0.023051065794882402
MATS1d,0.11661857070106926
MATS1i,-0.7841331112642596
MATS1m,-0.049943898516609235
MATS1p,-0.31266166187688804
MATS1v,-0.29520904735690534
MATS2Z,-0.0053183100244642255
MATS2c,-0.09778600761411674
MATS2d,-0.21854362182829357
MATS2i,0.5136478042489572
MATS2m,-0.0017492969532420233
MATS2p,0.14679819114564424
MATS2v,0.15283140622918753
MATS3Z,-0.05101839288853078
MATS3c,0.06641895837034736
MATS3d,0.0029945723376380083
MATS3i,-0.4103394529246043
MATS3m,-0.043971675312773684
MATS3p,-0.3028943234279421
MATS3v,-0.43953157355316025
MATS4Z,0.09280417031578808
MATS4c,0.08510408945111225
MATS4d,0.031134540866900987
MATS4i,0.10440339515113543
MATS4m,0.08992503098857593
MATS4p,0.1452224003350081
MATS4v,0.17361048840164853
MATS5Z,0.04541875661801722
MATS5c,0.006747701153260815
MATS5d,-0.0011796800117968118
MATS5i,-0.023230324425276568
MATS5m,0.04562741272727776
MATS5p,0.019509348879099494
MATS5v,0.00699502318666092
MATS6Z,0.04609874451205424
MATS6c,-0.002455715543553162
MATS6d,-0.003892944038929458
MATS6i,-0.02703623162731669
MATS6m,0.04629266571373762
MATS6p,0.020791295081351115
MATS6v,0.007571201015505857
MATS7Z,0.047181356817034274
MATS7c,0.03705288869488788
MATS7d,0.08813192754798592
MATS7i,0.0800428175876256
MATS7m,0.047293179831520794
MATS7p,0.03319692983195505
MATS7v,0.013895725599684713
MATS8Z,0.05362782099668801
MATS8c,0.044045295135378616
MATS8d,-0.11861313868613155
MATS8i,-0.3965930550313833
MATS8m,0.05277149690533899
MATS8p,-0.061527339836402024
MATS8v,-0.06702951535099101
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,6
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,2
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,8.167733843537416
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,2.212962962962963
TMPC10,107
TMWC10,93.14594786351108
TSRW10,46.281527903442395
Xc-3dv,3.121320343559643
Xc-4dv,0.7071067811865476
Xc-5dv,0.0
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.0
Xch-7d,0.0
Xp-0dv,14.916875301294056
Xp-1dv,6.207106781186548
Xp-2dv,7.035533905932739
Xp-3dv,2.603553390593274
Xp-4dv,1.6642135623730954
Xp-5dv,1.051776695296637
Xp-6dv,0.6553300858899107
Xp-7dv,0.40625
Xpc-4d,1.5
Xpc-5d,1.5606601717798214
Xpc-6d,1.1035533905932737
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,0
n7Ring,0
n8Ring,0
n9Ring,0
nARing,0
nBonds,43
nFRing,0
nHBAcc,0
nHBDon,0
nHRing,0
nSpiro,0
naRing,0
piPC10,0.0
AATS0dv,1.351643108486909
AATS0pe,5.635573913043478
AATS0se,7.242767521739128
AATS1dv,1.3953488372093024
AATS1pe,6.11229069767442
AATS1se,7.474356558139527
AATS2dv,0.5952380952380952
AATS2pe,5.893333333333336
AATS2se,7.427620666666665
AATS3dv,0.3418803418803419
AATS3pe,5.6204999999999945
AATS3se,7.149885367521371
AATS4dv,0.2222222222222222
AATS4pe,5.203308641975306
AATS4se,6.926411703703701
AATS5dv,0.32323232323232326
AATS5pe,5.386601010101009
AATS5se,7.034310505050508
AATS6dv,0.3111111111111111
AATS6pe,5.388566666666665
AATS6se,7.039020444444447
AATS7dv,0.345679012345679
AATS7pe,5.393933333333333
AATS7se,7.047254864197534
AATS8dv,0.3333333333333333
AATS8pe,5.403499999999998
AATS8se,7.055805666666668
AATSC0Z,49.08506616257087
AATSC0c,0.05317135785761451
AATSC0d,0.5179584120982986
AATSC0i,1.1842590095971262
AATSC0m,262.4240235614367
AATSC0p,0.37006927085421565
AATSC0v,54.49882789584829
AATSC1Z,-2.6330944739965716
AATSC1c,-0.0012256564683791095
AATSC1d,0.060403569701499
AATSC1i,-0.928616701738125
AATSC1m,-13.106478801072665
AATSC1p,-0.1157064732348473
AATSC1v,-16.08854706520131
AATSC2Z,-0.2610495994238904
AATSC2c,-0.005199414804317618
AATSC2d,-0.113196507336394
AATSC2i,0.6082920399416085
AATSC2m,-0.4590575448735342
AATSC2p,0.05432549955998635
AATSC2v,8.329132505164967
AATSC3Z,-2.5042411904415687
AATSC3c,0.0035315862040397397
AATSC3d,0.0015510639329164727
AATSC3i,-0.4859481941191184
AATSC3m,-11.539223958315167
AATSC3p,-0.1120918814168595
AATSC3v,-23.953955581865063
AATSC4Z,4.555298840112954
AATSC4c,0.0045250999953515255
AATSC4d,0.01612639734882962
AATSC4i,0.12364066134026104
AATSC4m,23.598488450908977
AATSC4p,0.05374234780367546
AATSC4v,9.461568128315609
AATSC5Z,2.2293826736170788
AATSC5c,0.0003587844327362689
AATSC5d,-0.0006110251856943788
AATSC5i,-0.027510720996497953
AATSC5m,11.973729232590536
AATSC5p,0.00721981051452886
AATSC5v,0.3812205647773017
AATSC6Z,2.2627599243856333
AATSC6c,-0.0001305737299627715
AATSC6d,-0.002016383112791439
AATSC6i,-0.03201790089020456
AATSC6m,12.148307597983596
AATSC6p,0.0076942194108704474
AATSC6v,0.41262158110892544
AATSC7Z,2.3159000210039915
AATSC7c,0.001970152404454243
AATSC7d,0.04564867324791708
AATSC7i,0.09479142788168493
AATSC7m,12.410866538402278
AATSC7p,0.012285163617510163
AATSC7v,0.7573007579451504
AATSC8Z,2.6323251417769384
AATSC8c,0.002341948149587464
AATSC8d,-0.06143667296786396
AATSC8i,-0.4696688985645645
AATSC8m,13.848508547258964
AATSC8p,-0.022769377790856835
AATSC8v,-3.65303002105578
ATS0are,254.06500000000003
ATS1are,257.65
ATS2are,490.098
ATS3are,646.416
ATS4are,836.4060000000003
ATS5are,527.4359999999999
ATS6are,479.82599999999974
ATS7are,432.5408999999998
ATS8are,385.2899999999998
ATSC0dv,46.80240949484105
ATSC0pe,2.845965217391301
ATSC0se,1.3925789565217381
ATSC1dv,14.248191971289357
ATSC1pe,0.2936455576559519
ATSC1se,0.09426032325141817
ATSC2dv,-29.453818447727308
ATSC2pe,-1.561727788279777
ATSC2se,-0.829978964083175
ATSC3dv,-21.488039394151563
ATSC3pe,-1.8354810964083157
ATSC3se,-0.38443721550094495
ATSC4dv,17.299726948120146
ATSC4pe,1.5713572778828029
ATSC4se,0.5916242835538731
ATSC5dv,-0.8176386846834247
ATSC5pe,0.15630529300567325
ATSC5se,0.1023596805292998
ATSC6dv,-0.8882354313986327
ATSC6pe,0.13872022684310212
ATSC6se,0.08627482419659668
ATSC7dv,3.041167821886156
ATSC7pe,0.3612351606805314
ATSC7se,0.2708939678638936
ATSC8dv,2.9705710751709464
ATSC8pe,0.7895500945179598
ATSC8se,0.33007311153119046
AXp-0dv,0.9323047063308785
AXp-1dv,0.4774697523989652
AXp-2dv,0.390862994774041
AXp-3dv,0.2366866718721158
AXp-4dv,0.16642135623730953
AXp-5dv,0.11686407725518189
AXp-6dv,0.08191626073623884
AXp-7dv,0.05803571428571429
BertzCT,130.0782000346155
ECIndex,2600000000
GATS1dv,1.4310533348380117
GATS1pe,1.0288371993544085
GATS1se,0.8706453015847139
GATS2dv,2.5525242611163868
GATS2pe,1.7368009172405805
GATS2se,1.7019968518840682
GATS3dv,1.076538920291469
GATS3pe,0.9019246398938775
GATS3se,0.5241708036379018
GATS4dv,0.6231872884638912
GATS4pe,0.41226005525578374
GATS4se,0.28395517406615867
GATS5dv,0.9420649399635964
GATS5pe,0.6354770056547706
GATS5se,0.4491718547073336
GATS6dv,0.9508057486849082
GATS6pe,0.6559813129800847
GATS6se,0.47705876703704825
GATS7dv,0.9140080230803737
GATS7pe,0.6341726604050687
GATS7se,0.43107390186609745
GATS8dv,0.9214269193716105
GATS8pe,0.5617162817841276
GATS8se,0.42989124400908224
