DLiP-ID,C003EZ
Kappa3,5.47323280486137
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,875.696184009559
MolLogP,3.7903000000000024
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.203329436638285e-06
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,23.17312509293888
SMR_VSA6,39.19456404930754
SMR_VSA7,54.09438803938988
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,187.47809259342057
NHOHCount,0
PEOE_VSA1,19.273545369301054
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,24.16891811057109
PEOE_VSA6,24.26546827384644
PEOE_VSA7,43.92426373089781
PEOE_VSA8,24.90873348703355
PEOE_VSA9,18.04712184594327
RingCount,3
SMR_VSA10,41.732789402558005
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,450.13800602399994
NumHDonors,0
PEOE_VSA10,5.749511833283905
PEOE_VSA11,6.103966387748303
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,9.636772684650527
SlogP_VSA2,57.17501545435919
SlogP_VSA3,14.325937321943691
SlogP_VSA4,0.0
SlogP_VSA5,17.737126721369794
SlogP_VSA6,53.42642002321065
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,12.073271675700152
EState_VSA2,23.564150920513654
EState_VSA3,13.08951281182515
EState_VSA4,21.89583307518224
EState_VSA5,6.923737199690624
EState_VSA6,23.771592221519125
EState_VSA7,67.52619024389773
EState_VSA8,0.0
EState_VSA9,9.473725907600098
SlogP_VSA10,5.687386274683562
SlogP_VSA11,5.749511833283905
SlogP_VSA12,24.16891811057109
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,64.95791265117158
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.36363636363636365
VSA_EState10,1.54208734882842
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.2199999999999998
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,423.77200000000016
MaxEStateIndex,13.555265810027715
MinEStateIndex,-0.9162433862433865
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1333333333333333
FpDensityMorgan2,1.8
FpDensityMorgan3,2.4
MaxPartialCharge,0.30296730597444044
MinPartialCharge,-0.4967682073380949
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.555265810027715
MinAbsEStateIndex,0.0
NumAliphaticRings,1
NumRotatableBonds,6
NumSaturatedRings,0
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4967682073380949
MinAbsPartialCharge,0.30296730597444044
NumRadicalElectrons,0
NumValenceElectrons,162
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,450.1380060240007
MZ,0.6959064327485379
Mi,1.1245105666219666
Mm,0.6587207340639502
Mp,0.6852758798193087
Mv,0.6310124481772315
SZ,39.666666666666664
Si,64.0971022974521
Sm,37.54708184164516
Sp,39.060725149700595
Sv,35.96770954610219
nB,0
nC,22
nF,0
nH,27
nI,0
nN,2
nO,4
nP,0
nS,1
nX,1
ABC,22.22461852836958
AMW,7.897158000421064
IC0,1.6839521515606333
IC1,3.5336154523057655
IC2,4.762371592960287
IC3,5.253599663135726
IC4,5.288687382433972
IC5,5.288687382433972
Mpe,0.97062263501892
Mse,1.0083694304953936
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,121.74300000000004
SdO,25.417568036103837
SdS,0
Spe,55.32549019607844
SsF,0
SsI,0
Sse,57.47705753823743
StN,0
fMF,0.2982456140350877
nBr,0
nCl,1
BIC0,0.27859734463168434
BIC1,0.5846103649973143
BIC2,0.787898919050924
BIC3,0.869168945537479
BIC4,0.8749739474293758
BIC5,0.8749739474293758
CIC0,4.148937862604108
CIC1,2.299274561858976
CIC2,1.0705184212044543
CIC3,0.579290351029015
CIC4,0.5442026317307693
CIC5,0.5442026317307693
GGI1,6.0
GGI2,3.333333333333335
GGI3,2.0
GGI4,2.2344444444444447
GGI5,1.525
GGI6,1.0908390022675734
GGI7,0.5885416666666666
GGI8,0.5366827286470142
GGI9,0.18031635802469143
JGI1,0.19354838709677413
JGI2,0.07751937984496125
JGI3,0.04000000000000001
JGI4,0.042970085470085476
JGI5,0.027232142857142854
JGI6,0.020200722264214325
JGI7,0.013078703703703705
JGI8,0.017312346085387554
JGI9,0.008196198092031428
MIC0,20.469811468022645
MIC1,37.375583903192265
MIC2,44.29901219823518
MIC3,45.18024026841063
MIC4,45.21560868946326
MIC5,45.21560868946326
MPC2,43
MPC3,56
MPC4,75
MPC5,102
MPC6,121
MPC7,141
MPC8,157
MPC9,169
Mare,0.9811228070175438
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,2
NssS,1
NtCH,0
NtsC,0
RNCG,0.1805132863905131
RPCG,0.1100908296112139
SIC0,0.2886994521534403
SIC1,0.6058086889560136
SIC2,0.8164686084248495
SIC3,0.9006855350225614
SIC4,0.9067010297795409
SIC5,0.9067010297795409
SaaN,0
SaaO,0
SaaS,0
Sare,55.924
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,10.828902890675838
SssS,1.54208734882842
StCH,0
StsC,0
TIC0,95.98527263895609
TIC1,201.41608078142863
TIC2,271.45518079873636
TIC3,299.4551807987364
TIC4,301.4551807987364
TIC5,301.4551807987364
Vabc,408.53806590080677
WPol,50
apol,65.23141099999998
bpol,38.68458900000002
nRot,6
ABCGG,18.05071861693202
ATS0Z,1718.0
ATS0d,175.0
ATS0i,9222.026942481725
ATS0m,6902.0545919999995
ATS0p,91.515564430923
ATS0v,12609.5725876009
ATS1Z,1517.0
ATS1d,215.0
ATS1i,8448.353440541488
ATS1m,5735.565661000002
ATS1p,106.56110080000002
ATS1v,15056.015270814123
ATS2Z,2244.0
ATS2d,351.0
ATS2i,15492.742833924318
ATS2m,8392.429246999998
ATS2p,156.878055681886
ATS2v,21635.85665942253
ATS3Z,2877.0
ATS3d,428.0
ATS3i,19203.152891025948
ATS3m,10631.214478999998
ATS3p,201.41820867848998
ATS3v,27048.698802612253
ATS4Z,2964.0
ATS4d,448.0
ATS4i,23148.402946084043
ATS4m,10850.879566000001
ATS4p,217.94301771692298
ATS4v,28744.064014251704
ATS5Z,3074.0
ATS5d,468.0
ATS5i,25459.06917155847
ATS5m,11212.424403999998
ATS5p,224.46986246801703
ATS5v,30168.649771857614
ATS6Z,2932.0
ATS6d,456.0
ATS6i,25390.372066307486
ATS6m,10523.620663999996
ATS6p,219.34192038522497
ATS6v,30005.96852588871
ATS7Z,2610.0
ATS7d,399.0
ATS7i,24292.455680489937
ATS7m,9174.991205999999
ATS7p,214.96043290903697
ATS7v,28456.754025332364
ATS8Z,2028.0
ATS8d,343.0
ATS8i,26964.854729093586
ATS8m,6609.036782999998
ATS8p,194.01744028111105
ATS8v,23609.914963573432
C1SP1,0
C1SP2,2
C1SP3,3
C2SP1,0
C2SP2,11
C2SP3,2
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.36363636363636365
GGI10,0.06601367207427813
JGI10,0.005501139339523177
JGT10,0.44555910475382393
Kier1,26.253902185223726
Kier2,12.296376419686316
Kier3,6.75
MAXdO,13.555265810027715
MINdO,11.862302226076125
MPC10,165
MWC01,31.0
MWC02,5.003946305945459
MWC03,5.849324779946859
MWC04,6.734591659972948
MWC05,7.612336837167746
MWC06,8.508959386489133
MWC07,9.40137386937216
MWC08,10.30377260060275
MWC09,11.203692838488003
MWC10,12.109115610403732
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,3.7903000000000024
SRW02,4.143134726391533
SRW03,0.0
SRW04,5.459585514144159
SRW05,0.0
SRW06,6.9650803456014065
SRW07,2.70805020110221
SRW08,8.561592778712923
SRW09,5.459585514144159
SRW10,10.211082540319786
SaaCH,15.356779998066974
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,3.4611083215425755
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.6793560773074654
SdssS,0
SsCH3,6.878986904513738
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,3.7591107985128547
SsssP,0
WPath,2900002077
Xc-3d,2.0907352031746838
Xc-4d,0.0
Xc-5d,0.40432871486274263
Xc-6d,0.0
Xp-1d,13.901085903164901
Xp-2d,12.584574282470951
Xp-3d,9.888546296605545
Xp-4d,8.217551865554931
Xp-5d,7.16647130611166
Xp-6d,5.3438970326823325
Xp-7d,4.002144982482816
ZMIC0,98.11935481645196
ZMIC1,52.26616129094937
ZMIC2,31.162230004041078
ZMIC3,27.730057003195625
ZMIC4,27.59556963427756
ZMIC5,27.59556963427756
nAcid,0
nAtom,57
nBase,1
nRing,3
piPC1,3.6888794541139363
piPC2,4.204692619390966
piPC3,4.672828834461906
piPC4,5.177561165412237
piPC5,5.7116679689301915
piPC6,5.883322388488279
piPC7,6.215295362202328
piPC8,6.546740574748231
piPC9,6.860073874910989
AATS0Z,30.140350877192983
AATS0d,3.0701754385964914
AATS0i,161.78994635932852
AATS0m,121.08867705263157
AATS0p,1.6055362180863686
AATS0v,221.2205717122965
AATS1Z,26.155172413793103
AATS1d,3.706896551724138
AATS1i,145.66126621623255
AATS1m,98.8890631206897
AATS1p,1.83726035862069
AATS1v,259.5864701864504
AATS2Z,22.666666666666668
AATS2d,3.5454545454545454
AATS2i,156.4923518578214
AATS2m,84.77201259595958
AATS2p,1.5846268250695554
AATS2v,218.54400666083365
AATS3Z,23.016
AATS3d,3.424
AATS3i,153.62522312820758
AATS3m,85.04971583199999
AATS3p,1.6113456694279198
AATS3v,216.38959042089803
AATS4Z,19.892617449664428
AATS4d,3.0067114093959733
AATS4i,155.35840903412108
AATS4m,72.82469507382551
AATS4p,1.4627048168921006
AATS4v,192.91318130370271
AATS5Z,19.093167701863354
AATS5d,2.906832298136646
AATS5i,158.1308644196178
AATS5m,69.64238760248446
AATS5p,1.394222748248553
AATS5v,187.38291783762494
AATS6Z,18.211180124223603
AATS6d,2.8322981366459627
AATS6i,157.70417432489123
AATS6m,65.36410350310557
AATS6p,1.362372176305745
AATS6v,186.37247531607895
AATS7Z,16.73076923076923
AATS7d,2.5576923076923075
AATS7i,155.72086974673036
AATS7m,58.814046192307686
AATS7p,1.3779514930066472
AATS7v,182.41508990597669
AATS8Z,12.071428571428571
AATS8d,2.0416666666666665
AATS8i,160.5050876731761
AATS8m,39.33950466071427
AATS8p,1.1548657159589943
AATS8v,140.53520811650853
ATS0dv,392.8888888888889
ATS0pe,356.1946
ATS0se,441.91948999999994
ATS1dv,368.66666666666663
ATS1pe,375.65650000000005
ATS1se,451.3218959999998
ATS2dv,492.33333333333337
ATS2pe,633.3916999999999
ATS2se,774.678244
ATS3dv,571.0
ATS3pe,800.1111999999999
ATS3se,980.2654139999999
ATS4dv,616.0
ATS4pe,917.7611999999999
ATS4se,1138.7187439999998
ATS5dv,678.6666666666667
ATS5pe,1001.8944999999999
ATS5se,1242.515236
ATS6dv,595.3333333333333
ATS6pe,1013.1320000000001
ATS6se,1252.9649200000001
ATS7dv,462.0
ATS7pe,975.2841
ATS7se,1205.0577739999994
ATS8dv,365.0
ATS8pe,998.1618
ATS8se,1262.8460040000004
ATSC0Z,724.2456140350878
ATSC0c,1.1646547937980034
ATSC0d,36.03508771929825
ATSC0i,82.9599766875966
ATSC0m,3333.964127368421
ATSC0p,16.86403844757351
ATSC0v,2997.402299151758
ATSC1Z,-18.828870421668157
ATSC1c,-0.5092039029479225
ATSC1d,17.57833179439827
ATSC1i,-17.751180599913155
ATSC1m,-93.49197162049884
ATSC1p,-1.6996832140464997
ATSC1v,-181.59302114807156
ATSC2Z,78.48568790397047
ATSC2c,-0.20181464248624634
ATSC2d,6.83379501385042
ATSC2i,38.03225640932035
ATSC2m,380.02637999168957
ATSC2p,5.796558799236694
ATSC2v,907.410954700408
ATSC3Z,-37.74915358571861
ATSC3c,0.33349765561511985
ATSC3d,11.379193598030161
ATSC3i,19.780369356162268
ATSC3m,-197.36194235180062
ATSC3p,1.594867316178271
ATSC3v,-129.77341200921825
ATSC4Z,58.48076331178831
ATSC4c,-0.4030978200125274
ATSC4d,4.01354262850108
ATSC4i,-19.888573583809713
ATSC4m,278.66019375623273
ATSC4p,-1.7668285222239781
ATSC4v,63.75600070207576
ATSC5Z,47.83256386580487
ATSC5c,0.22300666151241652
ATSC5d,-4.5026161895967975
ATSC5i,10.402512275896234
ATSC5m,251.3333233628808
ATSC5p,0.3172154118747914
ATSC5v,580.4044796267507
ATSC6Z,-173.50076946752847
ATSC6c,0.06979225114711303
ATSC6d,-24.309633733456447
ATSC6i,-11.275222056391744
ATSC6m,-784.5177673739613
ATSC6p,-4.56953295653935
ATSC6v,-334.9544317889791
ATSC7Z,-294.5669436749769
ATSC7c,-0.19476781497353102
ATSC7d,-20.113573407202214
ATSC7i,-26.817822704118242
ATSC7m,-1415.708270271468
ATSC7p,-5.190154468224954
ATSC7v,-1889.5448149930776
ATSC8Z,-379.25023084025867
ATSC8c,0.10115988871096235
ATSC8d,-12.50692520775623
ATSC8i,-49.858690407997635
ATSC8m,-1730.9759914542935
ATSC8p,-11.954250039761522
ATSC8v,-1869.8134565862224
AXp-1d,0.4484221259085452
AXp-2d,0.29266451819699885
AXp-3d,0.17658118386795615
AXp-4d,0.10956735820739909
AXp-5d,0.07025952260893785
AXp-6d,0.044164438286630844
AXp-7d,0.028384006967963237
GATS1Z,0.757220730751818
GATS1c,1.4872717478356454
GATS1d,0.7368297350837726
GATS1i,1.4071882856204438
GATS1m,0.7612466227754747
GATS1p,1.0864497731620795
GATS1v,1.0506259429019225
GATS2Z,0.7380720631047649
GATS2c,1.4306644354303524
GATS2d,1.153757634770293
GATS2i,0.8980998242246493
GATS2m,0.7265673815555543
GATS2p,0.7907458919691482
GATS2v,0.7735079141656528
GATS3Z,0.9303363209146843
GATS3c,1.0897949213859366
GATS3d,1.0691801363193767
GATS3i,1.045402478224701
GATS3m,0.9137892980428403
GATS3p,1.0643265011616492
GATS3v,0.9933345680112162
GATS4Z,0.8692219726880981
GATS4c,1.0869429149326566
GATS4d,1.0377655646536794
GATS4i,1.1737066319921754
GATS4m,0.851981086953904
GATS4p,1.1368593997836318
GATS4v,0.9934665542148267
GATS5Z,0.8378133010913272
GATS5c,0.9976213136994593
GATS5d,1.1196816392193387
GATS5i,1.0242488736103719
GATS5m,0.823344584039922
GATS5p,1.0192870905423934
GATS5v,0.9026666092574938
GATS6Z,0.8812768171410638
GATS6c,1.1507910939040278
GATS6d,1.3368612675161933
GATS6i,1.100603082561339
GATS6m,0.8742840401397088
GATS6p,1.0598140455899583
GATS6v,0.9884227710736416
GATS7Z,0.8012227344381794
GATS7c,1.0067195453278495
GATS7d,1.135645270017227
GATS7i,1.1385154105997337
GATS7m,0.8152648815557865
GATS7p,0.9802170834103409
GATS7v,1.1772873723898192
GATS8Z,1.0544305023981397
GATS8c,0.7594688310361458
GATS8d,0.8047711781888998
GATS8i,1.172245901933216
GATS8m,1.0436029692915914
GATS8p,1.2670599146003987
GATS8v,1.2081483107708524
MATS1Z,-0.025549667635055034
MATS1c,-0.4296762680029654
MATS1d,0.47940100057079527
MATS1i,-0.21028363867165661
MATS1m,-0.027558797145139348
MATS1p,-0.09904972265323798
MATS1v,-0.05953892376770698
MATS2Z,0.06239420511984827
MATS2c,-0.09976888424709994
MATS2d,0.10918828007435609
MATS2i,0.2639508908407721
MATS2m,0.06562850076033934
MATS2p,0.1979011523461611
MATS2v,0.17430050402043903
MATS3Z,-0.02376764691633152
MATS3c,0.13057511270319846
MATS3d,0.1439961051606621
MATS3i,0.10872530088064211
MATS3m,-0.02699400541644638
MATS3p,0.04312487180565778
MATS3v,-0.019742653794904363
MATS4Z,0.030889846201067887
MATS4c,-0.13240421722787532
MATS4d,0.04260797396469814
MATS4i,-0.09171145897443245
MATS4m,0.0319744144085084
MATS4p,-0.040079417879263224
MATS4v,0.008137005656568804
MATS5Z,0.023382275101626417
MATS5c,0.06779061864776925
MATS5d,-0.04423727070947763
MATS5i,0.044393419139940965
MATS5m,0.026689358232522654
MATS5p,0.0066595007978177
MATS5v,0.06855429977705281
MATS6Z,-0.08481340731421301
MATS6c,0.0212157782641836
MATS6d,-0.23883711225483373
MATS6i,-0.048117766686526786
MATS6m,-0.08330879269435895
MATS6p,-0.09593105262407448
MATS6v,-0.039563041524560486
MATS7Z,-0.14861012249704655
MATS7c,-0.06110408298010095
MATS7d,-0.2039453973485132
MATS7i,-0.1181150263710486
MATS7m,-0.15515404547506623
MATS7p,-0.11245245912209022
MATS7v,-0.2303363167745687
MATS8Z,-0.17766650286877023
MATS8c,0.029469766733570858
MATS8d,-0.11775803310613434
MATS8i,-0.20390966902184463
MATS8m,-0.17615529238929126
MATS8p,-0.24050622726575335
MATS8v,-0.2116502660915512
MAXssO,5.5795063303099015
MAXssS,1.54208734882842
MINssO,5.249396560365938
MINssS,1.54208734882842
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,2
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.209562345956646
SssNH2,0
SsssAs,0
SsssCH,-1.2747505668934243
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1090
TMWC10,137.7271138883888
TSRW10,73.50811162041617
Xc-3dv,1.2090810398421041
Xc-4dv,0.0
Xc-5dv,0.20922986778628666
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.16666666666666666
Xch-7d,0.24026531510664179
Xp-0dv,19.164626349907905
Xp-1dv,10.313423743961502
Xp-2dv,8.285917447117114
Xp-3dv,6.074916214763999
Xp-4dv,4.556752117176847
Xp-5dv,3.5452297284724823
Xp-6dv,2.5008230389068515
Xp-7dv,1.7134390875444676
Xpc-4d,4.2524505462788
Xpc-5d,6.810333907749722
Xpc-6d,11.524774303326964
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,2
n7Ring,1
n8Ring,0
n9Ring,0
nARing,1
nBonds,58
nFRing,1
nHBAcc,6
nHBDon,0
nHRing,1
nSpiro,0
naRing,2
piPC10,7.086450476810611
AATS0dv,6.892787524366472
AATS0pe,6.249028070175438
AATS0se,7.7529735087719285
AATS1dv,6.356321839080459
AATS1pe,6.476836206896553
AATS1se,7.781411999999997
AATS2dv,4.973063973063973
AATS2pe,6.397895959595958
AATS2se,7.825032767676767
AATS3dv,4.568
AATS3pe,6.400889599999999
AATS3se,7.842123311999999
AATS4dv,4.134228187919463
AATS4pe,6.159471140939597
AATS4se,7.642407677852348
AATS5dv,4.215320910973086
AATS5pe,6.222947204968944
AATS5se,7.717485937888198
AATS6dv,3.697722567287784
AATS6pe,6.292745341614907
AATS6se,7.7823908074534165
AATS7dv,2.9615384615384617
AATS7pe,6.251821153846153
AATS7se,7.724729320512817
AATS8dv,2.1726190476190474
AATS8pe,5.941439285714286
AATS8se,7.516940500000002
AATSC0Z,12.706063404124347
AATSC0c,0.020432540242070234
AATSC0d,0.6321945213911974
AATSC0i,1.4554381875016946
AATSC0m,58.49059872576177
AATSC0p,0.2958603236416405
AATSC0v,52.58600524827646
AATSC1Z,-0.324635696925313
AATSC1c,-0.008779377637033146
AATSC1d,0.303074686110315
AATSC1i,-0.30605483792953714
AATSC1m,-1.6119305451810146
AATSC1p,-0.02930488300080172
AATSC1v,-3.1309141577253716
AATSC2Z,0.792784726302732
AATSC2c,-0.0020385317422853167
AATSC2d,0.06902823246313555
AATSC2i,0.384164206154751
AATSC2m,3.8386503029463594
AATSC2p,0.058551098982188826
AATSC2v,9.16576721919604
AATSC3Z,-0.30199322868574885
AATSC3c,0.0026679812449209588
AATSC3d,0.09103354878424129
AATSC3i,0.15824295484929815
AATSC3m,-1.578895538814405
AATSC3p,0.012758938529426167
AATSC3v,-1.038187296073746
AATSC4Z,0.39248834437441815
AATSC4c,-0.002705354496728372
AATSC4d,0.026936527708060938
AATSC4i,-0.133480359622884
AATSC4m,1.8702026426592802
AATSC4p,-0.01185790954512737
AATSC4v,0.4278926221615823
AATSC5Z,0.2970966699739433
AATSC5c,0.001385134543555382
AATSC5d,-0.027966560183831042
AATSC5i,0.06461187749003872
AATSC5m,1.561076542626589
AATSC5p,0.001970282061334108
AATSC5v,3.6049967678680166
AATSC6Z,-1.0776445308542142
AATSC6c,0.0004334922431497704
AATSC6d,-0.15099151387240028
AATSC6i,-0.07003243513286797
AATSC6m,-4.872781163813424
AATSC6p,-0.02838219227664192
AATSC6v,-2.0804623092483174
AATSC7Z,-1.8882496389421597
AATSC7c,-0.0012485116344457116
AATSC7d,-0.12893316286668086
AATSC7i,-0.17190911989819385
AATSC7m,-9.075053014560693
AATSC7p,-0.03327022095015996
AATSC7v,-12.112466762776139
AATSC8Z,-2.2574418502396347
AATSC8c,0.0006021421947081092
AATSC8d,-0.07444598337950137
AATSC8i,-0.296777919095224
AATSC8m,-10.30342852056127
AATSC8p,-0.07115625023667572
AATSC8v,-11.129842003489419
ATS0are,349.9923
ATS1are,366.226
ATS2are,623.238
ATS3are,785.8857
ATS4are,901.1290000000001
ATS5are,986.818
ATS6are,998.5688000000001
ATS7are,960.8900000000001
ATS8are,984.741
ATSC0dv,226.68226120857702
ATSC0pe,7.0092245614035065
ATSC0se,4.885450982456138
ATSC1dv,80.15177319517122
ATSC1pe,0.07453114804555509
ATSC1se,-0.1995078067097574
ATSC2dv,5.1873396942649235
ATSC2pe,0.2238783933518041
ATSC2se,0.10043429362880787
ATSC3dv,-22.476693683526527
ATSC3pe,-1.0599310557094417
ATSC3se,-0.17089047029855486
ATSC4dv,69.16781231832023
ATSC4pe,0.2166550938750378
ATSC4se,-0.3952660067713142
ATSC5dv,56.96959748298623
ATSC5pe,1.5113744844567572
ATSC5se,0.7018527337642345
ATSC6dv,-107.75944735132181
ATSC6pe,-2.1016518313327124
ATSC6se,-1.569168669744538
ATSC7dv,-160.6157792141171
ATSC7pe,-3.6287251154201225
ATSC7se,-1.6197479870729456
ATSC8dv,11.31661023904791
ATSC8pe,0.5399170821791279
ATSC8se,0.6498008236380444
AXp-0dv,0.6388208783302635
AXp-1dv,0.33269108851488716
AXp-2dv,0.19269575458411894
AXp-3dv,0.10848064669221426
AXp-4dv,0.0607566948956913
AXp-5dv,0.03475715420071061
AXp-6dv,0.020667958999230178
AXp-7dv,0.012152050266272819
