DLiP-ID,J000HW
Chi3n,4.590062673367658
Chi3v,7.866325345383211
Chi4n,3.145881957647201
Chi4v,6.541062816235776
MolMR,115.62400000000001
MolWt,452.07000000000005
fr_SH,0
Kappa1,21.175654721721106
Kappa2,9.305067927435578
Kappa3,4.223093730977854
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1117.7652081769954
MolLogP,-1.0958999999999977
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.2499976543150554e-06
SMR_VSA1,16.97413280897133
SMR_VSA2,0.0
SMR_VSA3,9.467009378641833
SMR_VSA4,0.0
SMR_VSA5,20.013250011515776
SMR_VSA6,19.345281995336553
SMR_VSA7,72.02878881043044
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,182.41761575296857
NHOHCount,0
PEOE_VSA1,17.306942892030456
PEOE_VSA2,9.361636831863176
PEOE_VSA3,0.0
PEOE_VSA4,4.567099647791355
PEOE_VSA5,23.098670827325854
PEOE_VSA6,41.668621220242784
PEOE_VSA7,6.923737199690624
PEOE_VSA8,31.453489892946124
PEOE_VSA9,16.485154174176408
RingCount,4
SMR_VSA10,45.54054810897109
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,451.061353004
NumHDonors,0
PEOE_VSA10,9.19516785836981
PEOE_VSA11,12.741599977525652
PEOE_VSA12,0.0
PEOE_VSA13,10.566890591904773
PEOE_VSA14,0.0
SlogP_VSA1,31.728567562393152
SlogP_VSA2,28.812291373978386
SlogP_VSA3,13.08951281182515
SlogP_VSA4,0.0
SlogP_VSA5,17.494812388240383
SlogP_VSA6,46.70327886845886
SlogP_VSA7,0.0
SlogP_VSA8,11.105091403710494
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,17.966300056231983
EState_VSA3,6.544756405912575
EState_VSA4,38.074229270671125
EState_VSA5,5.563451491696996
EState_VSA6,34.43545670526059
EState_VSA7,17.55720391594359
EState_VSA8,58.43307608407833
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,34.43545670526059
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,6.036261855178251
VSA_EState9,43.356730361076295
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,2
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.3
VSA_EState10,5.1070077837454555
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.5399999999999996
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,429.89400000000023
MaxEStateIndex,12.946955038991923
MinEStateIndex,0.0
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.25
FpDensityMorgan2,2.0357142857142856
FpDensityMorgan3,2.7142857142857144
MaxPartialCharge,0.2712183846579686
MinPartialCharge,-1.0
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.946955038991923
MinAbsEStateIndex,0.0
NumAliphaticRings,1
NumRotatableBonds,4
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,1.0
MinAbsPartialCharge,0.2712183846579686
NumRadicalElectrons,0
NumValenceElectrons,148
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,451.06135300400064
MZ,0.7866666666666666
Mi,1.1112310613393959
Mm,0.7527200066605613
Mp,0.755107137724551
Mv,0.672016315896601
SZ,39.33333333333333
Si,55.56155306696979
Sm,37.636000333028065
Sp,37.755356886227545
Sv,33.600815794830055
nB,0
nC,20
nF,0
nH,22
nI,0
nN,3
nO,1
nP,0
nS,3
nX,1
ABC,21.1893423479595
AMW,9.021227060080014
IC0,1.7627395395328298
IC1,3.667601311512056
IC2,4.808367439558379
IC3,5.198562939644917
IC4,5.293660689688187
IC5,5.293660689688187
Mpe,0.9636078431372549
Mse,1.001646030589949
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,115.62400000000001
SdO,12.946955038991923
SdS,0
Spe,48.180392156862744
SsF,0
SsI,0
Sse,50.08230152949746
StN,0
fMF,0.46
nBr,0
nCl,1
BIC0,0.2984208884524355
BIC1,0.6209021907801604
BIC2,0.8140268321768415
BIC3,0.8800845140944022
BIC4,0.8961839742933044
BIC5,0.8961839742933044
CIC0,3.8811166502418946
CIC1,1.9762548782626683
CIC2,0.8354887502163457
CIC3,0.44529325012980703
CIC4,0.35019550008653777
CIC5,0.35019550008653777
GGI1,4.5
GGI2,3.1111111111111125
GGI3,2.270833333333333
GGI4,1.3611111111111114
GGI5,0.8758333333333334
GGI6,0.5578231292517006
GGI7,0.38977465986394555
GGI8,0.23962270093222474
GGI9,0.16876543209876543
JGI1,0.15
JGI2,0.0740740740740741
JGI3,0.05677083333333334
JGI4,0.034900284900284906
JGI5,0.021361788617886176
JGI6,0.0150763007905865
JGI7,0.012573376124643406
JGI8,0.009216257728162489
JGI9,0.006750617283950618
MIC0,23.904709168160743
MIC1,43.50061534948824
MIC2,49.13982815028503
MIC3,50.57950575809835
MIC4,50.67536429014197
MIC5,50.67536429014197
MPC2,42
MPC3,58
MPC4,77
MPC5,85
MPC6,95
MPC7,111
MPC8,119
MPC9,125
Mare,0.97008
NaaN,0
NaaO,0
NaaS,2
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,1
NtCH,0
NtsC,0
RNCG,0.36466719692727645
RPCG,0.09890444808836521
SIC0,0.3123289255184211
SIC1,0.6498396111078885
SIC2,0.8519649115563849
SIC3,0.9211012408614223
SIC4,0.9379510235003852
SIC5,0.9379510235003852
SaaN,0
SaaO,0
SaaS,3.3206677794574615
Sare,48.504000000000005
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,1.7863400042879936
StCH,0
StsC,0
TIC0,88.13697697664149
TIC1,183.3800655756028
TIC2,240.41837197791892
TIC3,259.9281469822459
TIC4,264.68303448440935
TIC5,264.68303448440935
Vabc,372.33376519722725
WPol,40
apol,63.051445999999984
bpol,35.44855400000001
nRot,4
ABCGG,18.109101657941242
ATS0Z,2010.0
ATS0d,166.0
ATS0i,7913.3957899831785
ATS0m,8092.425276
ATS0p,99.81508790667799
ATS0v,12394.81637780949
ATS1Z,1638.0
ATS1d,210.0
ATS1i,7470.0262230468
ATS1m,6302.796272
ATS1p,110.47291482
ATS1v,14661.691623320457
ATS2Z,2518.0
ATS2d,335.0
ATS2i,13794.62141450528
ATS2m,9529.656980000002
ATS2p,167.16489889849
ATS2v,21537.487815697397
ATS3Z,2645.0
ATS3d,345.0
ATS3i,16361.456274683986
ATS3m,9821.955251
ATS3p,185.01331856273498
ATS3v,22822.94660046845
ATS4Z,2832.0
ATS4d,352.0
ATS4i,17261.282139816794
ATS4m,10461.213096000001
ATS4p,192.15644751958402
ATS4v,23051.95640684284
ATS5Z,2626.0
ATS5d,342.0
ATS5i,17095.095860765083
ATS5m,9650.074447
ATS5p,187.36063818098
ATS5v,22829.866794047313
ATS6Z,2414.0
ATS6d,330.0
ATS6i,16524.770366433422
ATS6m,8634.197720999999
ATS6p,181.099788405943
ATS6v,22320.099674730634
ATS7Z,2229.0
ATS7d,299.0
ATS7i,15857.136892711438
ATS7m,7934.498200999999
ATS7p,173.879621569094
ATS7v,20701.114828265177
ATS8Z,1892.0
ATS8d,275.0
ATS8i,18732.75555092316
ATS8m,6722.408894
ATS8p,157.85352128886598
ATS8v,18179.154381480985
C1SP1,0
C1SP2,6
C1SP3,5
C2SP1,0
C2SP2,7
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.3
GGI10,0.11162126313641466
JGI10,0.006976328946025916
JGT10,0.38769986179894744
Kier1,22.68
Kier2,10.346938775510203
Kier3,5.023781212841855
MAXdO,12.946955038991923
MINdO,12.946955038991923
MPC10,126
MWC01,30.0
MWC02,4.976733742420574
MWC03,5.84354441703136
MWC04,6.729824070489475
MWC05,7.613324979540639
MWC06,8.507344855361422
MWC07,9.398395460617898
MWC08,10.296238848224217
MWC09,11.19179690969702
MWC10,12.092125368935024
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,2
NdCH2,0
NddsN,0
NdsCH,1
NdssC,1
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,-1.0958999999999977
SRW02,4.110873864173311
SRW03,0.0
SRW04,5.43372200355424
SRW05,3.4339872044851463
SRW06,6.940222469119639
SRW07,5.777652323222656
SRW08,8.529319371214077
SRW09,7.83241092718792
SRW10,10.163965423497029
SaaCH,14.677812290306429
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.4315918419837073
SaasN,4.138644101158982
SdCH2,0
SddsN,0
SdsCH,2.1595748299319726
SdssC,1.120547850568143
SdssS,0
SsCH3,4.110228444645381
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,2.196829727261275
SsssP,0
WPath,2700001905
Xc-3d,1.540524785821186
Xc-4d,0.0
Xc-5d,0.46029015576148086
Xc-6d,0.0
Xp-1d,13.169035095596021
Xp-2d,11.589401674279603
Xp-3d,10.263102373888604
Xp-4d,8.81096107300631
Xp-5d,6.140283530318716
Xp-6d,4.246733016455985
Xp-7d,3.278313890600646
ZMIC0,94.54352637077281
ZMIC1,47.97088859721988
ZMIC2,32.30593185095548
ZMIC3,28.397926684030132
ZMIC4,28.005957191386972
ZMIC5,28.005957191386972
nAcid,1
nAtom,50
nBase,1
nRing,4
piPC1,3.7376696182833684
piPC2,4.406719247264253
piPC3,5.072043922224899
piPC4,5.713732805509369
piPC5,6.169218396123381
piPC6,6.552329554443837
piPC7,7.029419661346493
piPC8,7.4190807777897785
piPC9,7.7810210707990075
AATS0Z,40.2
AATS0d,3.32
AATS0i,158.26791579966357
AATS0m,161.84850552
AATS0p,1.9963017581335598
AATS0v,247.8963275561898
AATS1Z,31.5
AATS1d,4.038461538461538
AATS1i,143.65435044320768
AATS1m,121.20762061538461
AATS1p,2.124479131153846
AATS1v,281.95560814077805
AATS2Z,27.977777777777778
AATS2d,3.7222222222222223
AATS2i,153.2735712722809
AATS2m,105.88507755555557
AATS2p,1.8573877655387778
AATS2v,239.30542017441553
AATS3Z,24.7196261682243
AATS3d,3.2242990654205608
AATS3i,152.9108063054578
AATS3m,91.79397430841121
AATS3p,1.7290964351657474
AATS3v,213.29856635951822
AATS4Z,25.061946902654867
AATS4d,3.1150442477876106
AATS4i,152.75470920191853
AATS4m,92.5771070442478
AATS4p,1.70049953557154
AATS4v,203.99961421984816
AATS5Z,23.65765765765766
AATS5d,3.081081081081081
AATS5i,154.00987261950524
AATS5m,86.93760763063064
AATS5p,1.6879336773061262
AATS5v,205.67447562204788
AATS6Z,22.77358490566038
AATS6d,3.1132075471698113
AATS6i,155.89406006069265
AATS6m,81.45469548113206
AATS6p,1.7084885698673868
AATS6v,210.56697806349655
AATS7Z,21.228571428571428
AATS7d,2.8476190476190477
AATS7i,151.02035135915656
AATS7m,75.56664953333333
AATS7p,1.6559963958961335
AATS7v,197.15347455490644
AATS8Z,16.17094017094017
AATS8d,2.3504273504273505
AATS8i,160.10902180276204
AATS8m,57.456486273504275
AATS8p,1.349175395631333
AATS8v,155.37738787590584
ATS0dv,290.12345679012344
ATS0pe,306.04319999999996
ATS0se,380.880324
ATS1dv,298.0
ATS1pe,332.469
ATS1se,399.84505999999993
ATS2dv,400.6666666666667
ATS2pe,566.4412
ATS2se,693.8428839999999
ATS3dv,363.1111111111111
ATS3pe,652.0058
ATS3se,809.2483769999999
ATS4dv,357.1111111111111
ATS4pe,687.68
ATS4se,857.042609
ATS5dv,353.33333333333337
ATS5pe,679.3875
ATS5se,847.14776
ATS6dv,292.33333333333337
ATS6pe,668.1613000000001
ATS6se,827.154584
ATS7dv,257.44444444444446
ATS7pe,634.2049
ATS7se,788.759823
ATS8dv,218.66666666666669
ATS8pe,676.4585
ATS8se,860.5338079999999
ATSC0Z,896.0800000000002
ATSC0c,1.7246901149386935
ATSC0d,31.520000000000003
ATSC0i,84.89370422838722
ATSC0m,4005.5135536800008
ATSC0p,20.30539105285968
ATSC0v,2831.679188297733
ATSC1Z,35.27680000000004
ATSC1c,-0.26393327749406775
ATSC1d,15.299200000000003
ATSC1i,-15.943774103904385
ATSC1m,162.23812513279995
ATSC1p,0.23636162935273267
ATSC1v,-45.27562684660303
ATSC2Z,57.93600000000005
ATSC2c,0.0366247220351708
ATSC2d,6.344000000000005
ATSC2i,13.653718284628383
ATSC2m,283.976415656
ATSC2p,2.429892619776495
ATSC2v,542.3443785239102
ATSC3Z,86.94880000000005
ATSC3c,-0.08563002066057467
ATSC3d,-6.8127999999999975
ATSC3i,-0.23080642155199382
ATSC3m,352.8883805648002
ATSC3p,0.127649761754284
ATSC3v,-43.68553048608366
ATSC4Z,58.33920000000002
ATSC4c,0.635814894797948
ATSC4d,-1.7151999999999978
ATSC4i,-17.826979023406167
ATSC4m,214.24304728320004
ATSC4p,-3.7911819478469955
ATSC4v,-610.7600745770812
ATSC5Z,-149.73760000000004
ATSC5c,-0.2233195363152638
ATSC5d,-3.974399999999996
ATSC5i,-22.265363679999002
ATSC5m,-597.4275694496002
ATSC5p,-1.9868388570837303
ATSC5v,101.05645489025731
ATSC6Z,-525.0496
ATSC6c,-0.2727282704578567
ATSC6d,-17.942399999999996
ATSC6i,33.68437780642635
ATSC6m,-2345.9768358816004
ATSC6p,-3.735780876192724
ATSC6v,-669.6138645643653
ATSC7Z,-283.928
ATSC7c,0.3362844942611361
ATSC7d,-12.272
ATSC7i,-43.19034693907826
ATSC7m,-1372.4454454480003
ATSC7p,-11.543840555692327
ATSC7v,-2112.4417640963848
ATSC8Z,208.09279999999993
ATSC8c,-0.12379345318512808
ATSC8d,7.4831999999999965
ATSC8i,-8.966613246654898
ATSC8m,955.6548172688003
ATSC8p,4.85446960670587
ATSC8v,405.3677340747412
AXp-1d,0.43896783651986737
AXp-2d,0.2759381351018953
AXp-3d,0.17695004092911384
AXp-4d,0.11442806588319882
AXp-5d,0.07223862976845548
AXp-6d,0.04470245280479984
AXp-7d,0.029534359374780595
GATS1Z,0.611498887461971
GATS1c,0.6479384356554009
GATS1d,0.5680154236626317
GATS1i,1.2606886028537905
GATS1m,0.6030686355128823
GATS1p,0.8097113843275514
GATS1v,0.8817592321362507
GATS2Z,0.7947207094604647
GATS2c,0.5614510920121923
GATS2d,1.036379018612521
GATS2i,1.0484786433262123
GATS2m,0.7783187188422673
GATS2p,0.8814797199920906
GATS2v,0.7950919642210471
GATS3Z,0.8051632155673683
GATS3c,0.5153529919558035
GATS3d,1.1768229043123486
GATS3i,1.0425470290405088
GATS3m,0.7981126358864739
GATS3p,0.9767249167499105
GATS3v,0.9601872780996454
GATS4Z,0.9288786241430718
GATS4c,0.30842764162377
GATS4d,1.0524291361574054
GATS4i,1.133866783631769
GATS4m,0.9159853533219763
GATS4p,1.1573914924790096
GATS4v,1.0718262251934643
GATS5Z,1.0828143561828052
GATS5c,0.5839902712388925
GATS5d,1.0994020670416609
GATS5i,1.1737709515927606
GATS5m,1.0539470197070662
GATS5p,1.1585360992171903
GATS5v,0.9608826053580674
GATS6Z,1.2574422684632265
GATS6c,0.6780826849182877
GATS6d,1.3199166746480222
GATS6i,0.9490198419853441
GATS6m,1.2358080586842177
GATS6p,1.1616862540502948
GATS6v,1.0287532193765436
GATS7Z,1.00043150909145
GATS7c,0.3204125109839752
GATS7d,1.036379018612521
GATS7i,1.2636547322222638
GATS7m,1.0007063035443733
GATS7p,1.255981407033565
GATS7v,1.314853835362811
GATS8Z,0.6905433122958342
GATS8c,0.39793532472629706
GATS8d,0.7639973534643585
GATS8i,0.9704032075796841
GATS8m,0.6902936196080759
GATS8p,0.816494089385102
GATS8v,0.9435020540012149
MATS1Z,0.03785376305686995
MATS1c,-0.14714643250533782
MATS1d,0.4667122217883639
MATS1i,-0.18058526438829456
MATS1m,0.038945866778994184
MATS1p,0.011192633368296706
MATS1v,-0.015374007325117508
MATS2Z,0.035919411957265744
MATS2c,0.011797520969754255
MATS2d,0.11181613085166393
MATS2i,0.08935172656159492
MATS2m,0.03938687842399152
MATS2p,0.06648186882025886
MATS2v,0.10640415544192057
MATS3Z,0.04534224664520109
MATS3c,-0.02320070602798421
MATS3d,-0.1010009962521941
MATS3i,-0.0012704530800634539
MATS3m,0.04116853187575855
MATS3p,0.002937615002105852
MATS3v,-0.00720907911352565
MATS4Z,0.028807478472607936
MATS4c,0.16312149168714868
MATS4d,-0.02407798391806295
MATS4i,-0.09291671140236096
MATS4m,0.02366683004862022
MATS4p,-0.0826142245597991
MATS4v,-0.09543730155808637
MATS5Z,-0.07527159335033633
MATS5c,-0.05832606382809359
MATS5d,-0.05679791466593491
MATS5i,-0.11814118832789663
MATS5m,-0.06718527204154592
MATS5p,-0.044075608089300125
MATS5v,0.016075594231988895
MATS6Z,-0.27638704765241645
MATS6c,-0.07459044930973092
MATS6d,-0.2685087635283976
MATS6i,0.18716178779425297
MATS6m,-0.2762674079825041
MATS6p,-0.08678290342055608
MATS6v,-0.11154356672815822
MATS7Z,-0.15088363709022576
MATS7c,0.09284883821774331
MATS7d,-0.18540004834421075
MATS7i,-0.24226569052071478
MATS7m,-0.1631614626825814
MATS7p,-0.27071957969053195
MATS7v,-0.35523962379877494
MATS8Z,0.09924174963010775
MATS8c,-0.030674023503480294
MATS8d,0.10145776389431205
MATS8i,-0.045137457926622625
MATS8m,0.10195933407442996
MATS8p,0.10216792454697626
MATS8v,0.06117715421535971
MAXaaS,1.7070066452506927
MAXssS,1.7863400042879936
MINaaS,1.6136611342067688
MINssS,1.7863400042879936
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.5778519148538708
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,896
TMWC10,134.64932865231762
TSRW10,80.22215358645403
Xc-3dv,1.127641900390412
Xc-4dv,0.0
Xc-5dv,0.35283589622557043
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.3142696805273545
Xch-6d,0.6896607036299688
Xch-7d,0.7885575056139853
Xp-0dv,18.984799545681568
Xp-1dv,11.751491495783494
Xp-2dv,9.572772294204865
Xp-3dv,8.038145842167527
Xp-4dv,6.709672671724549
Xp-5dv,4.203253920654169
Xp-6dv,2.8711823135458303
Xp-7dv,2.0953387141619437
Xpc-4d,4.190931670321618
Xpc-5d,7.087637078758375
Xpc-6d,9.7180908250579
n3Ring,0
n4Ring,0
n5Ring,3
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,52
nFRing,0
nHBAcc,6
nHBDon,0
nHRing,3
nSpiro,0
naRing,3
piPC10,8.092062540365404
AATS0dv,5.802469135802469
AATS0pe,6.120863999999999
AATS0se,7.617606479999999
AATS1dv,5.730769230769231
AATS1pe,6.393634615384615
AATS1se,7.689328076923076
AATS2dv,4.451851851851852
AATS2pe,6.293791111111111
AATS2se,7.709365377777777
AATS3dv,3.3935617860851504
AATS3pe,6.09351214953271
AATS3se,7.5630689439252325
AATS4dv,3.1602753195673547
AATS4pe,6.0856637168141585
AATS4se,7.584447867256637
AATS5dv,3.1831831831831834
AATS5pe,6.120608108108109
AATS5se,7.631961801801801
AATS6dv,2.757861635220126
AATS6pe,6.303408490566039
AATS6se,7.803345132075472
AATS7dv,2.451851851851852
AATS7pe,6.040046666666666
AATS7se,7.511998314285714
AATS8dv,1.8689458689458691
AATS8pe,5.781696581196581
AATS8se,7.354989811965811
AATSC0Z,17.9216
AATSC0c,0.03449380229877387
AATSC0d,0.6304000000000001
AATSC0i,1.6978740845677445
AATSC0m,80.11027107360002
AATSC0p,0.40610782105719356
AATSC0v,56.63358376595466
AATSC1Z,0.6784000000000007
AATSC1c,-0.005075639951808995
AATSC1d,0.29421538461538466
AATSC1i,-0.3066110404596997
AATSC1m,3.1199639448615377
AATSC1p,0.004545415949091013
AATSC1v,-0.8706851316654429
AATSC2Z,0.6437333333333339
AATSC2c,0.00040694135594634224
AATSC2d,0.07048888888888895
AATSC2i,0.15170798094031537
AATSC2m,3.1552935072888886
AATSC2p,0.0269988068864055
AATSC2v,6.026048650265669
AATSC3Z,0.812605607476636
AATSC3c,-0.0008002805669212585
AATSC3d,-0.06367102803738316
AATSC3i,-0.002157069360299008
AATSC3m,3.2980222482691604
AATSC3p,0.0011929884276101308
AATSC3v,-0.40827598585124913
AATSC4Z,0.5162761061946904
AATSC4c,0.005626680484937592
AATSC4d,-0.015178761061946884
AATSC4i,-0.1577608763133289
AATSC4m,1.8959561706477879
AATSC4p,-0.033550282724309696
AATSC4v,-5.40495641218656
AATSC5Z,-1.3489873873873879
AATSC5c,-0.0020118877145519263
AATSC5d,-0.03580540540540537
AATSC5i,-0.20058886198197298
AATSC5m,-5.382230355401804
AATSC5p,-0.01789944916291649
AATSC5v,0.9104185125248406
AATSC6Z,-4.9532981132075475
AATSC6c,-0.0025729082118665725
AATSC6d,-0.16926792452830183
AATSC6i,0.3177771491172297
AATSC6m,-22.13185694227925
AATSC6p,-0.035243215813138905
AATSC6v,-6.317111929852502
AATSC7Z,-2.7040761904761905
AATSC7c,0.003202709469153677
AATSC7d,-0.11687619047619048
AATSC7i,-0.4113366375150311
AATSC7m,-13.07090900426667
AATSC7p,-0.1099413386256412
AATSC7v,-20.11849299139414
AATSC8Z,1.7785709401709395
AATSC8c,-0.0010580637024369922
AATSC8d,0.06395897435897432
AATSC8i,-0.07663772005687947
AATSC8m,8.167989891186327
AATSC8p,0.041491193219708296
AATSC8v,3.4646814878183005
ATS0are,297.8744
ATS1are,322.92499999999995
ATS2are,553.1114
ATS3are,636.3563999999999
ATS4are,671.1098000000001
ATS5are,663.638
ATS6are,654.256
ATS7are,618.5181000000001
ATS8are,664.1720000000001
ATSC0dv,159.26320987654327
ATSC0pe,4.151607999999998
ATSC0se,2.6123104799999988
ATSC1dv,52.299101234567914
ATSC1pe,0.24179968000000104
ATSC1se,-0.011674979200000709
ATSC2dv,18.76325925925927
ATSC2pe,0.051685600000001504
ATSC2se,0.11718157599999857
ATSC3dv,-13.665738271604935
ATSC3pe,-0.23238511999999956
ATSC3se,-0.029861227200000125
ATSC4dv,-9.894360493827156
ATSC4pe,1.0980219200000012
ATSC4se,1.0581207151999996
ATSC5dv,-18.367288888888886
ATSC5pe,0.14173823999999935
ATSC5se,-0.5632741456000004
ATSC6dv,-135.0547950617284
ATSC6pe,-3.6047449599999952
ATSC6se,-1.7913024976000014
ATSC7dv,-46.91348148148148
ATSC7pe,-0.9665567999999978
ATSC7se,-0.09041320799999922
ATSC8dv,29.30038518518518
ATSC8pe,0.3903892799999972
ATSC8se,0.04968903680000239
AXp-0dv,0.6780285552029132
AXp-1dv,0.3917163831927831
AXp-2dv,0.2279231498620206
AXp-3dv,0.1385887214166815
AXp-4dv,0.08713860612629284
AXp-5dv,0.049450046125343164
AXp-6dv,0.030222971721535055
AXp-7dv,0.018876925352810305
BertzCT,1117.7652081769954
ECIndex,6000000000
GATS1dv,0.6409724720006944
