DLiP-ID,T004OA
HeavyAtomMolWt,415.16900000000015
MaxEStateIndex,12.985706700890232
MinEStateIndex,-3.96969764371798
NumHeteroatoms,10
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2592592592592593
FpDensityMorgan2,1.8518518518518519
FpDensityMorgan3,2.3703703703703702
MaxPartialCharge,0.3049385963306622
MinPartialCharge,-0.4811734889142163
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.985706700890232
MinAbsEStateIndex,0.07810597232720173
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4811734889142163
MinAbsPartialCharge,0.3049385963306622
NumRadicalElectrons,0
NumValenceElectrons,150
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,436.0626481640006
MZ,0.7755102040816325
Mi,1.1310181245397637
Mm,0.7430807474101123
Mp,0.6908156666259317
Mv,0.6411998986445792
SZ,37.99999999999999
Si,55.419888102448425
Sm,36.4109566230955
Sp,33.84996766467066
Sv,31.418795033584377
nB,0
nC,17
nF,0
nH,22
nI,0
nN,2
nO,5
nP,0
nS,1
nX,2
ABC,20.63801625941043
AMW,8.899237717632666
IC0,1.8758526117537162
IC1,3.7576354909400513
IC2,4.792982037860302
IC3,5.012469537904455
IC4,5.053285864435066
IC5,5.053285864435066
MID,53.00074562840053
Mpe,0.9918367346938776
Mse,1.027624596816148
NdO,4
NdS,0
NsF,0
NsI,0
NtN,0
SMR,102.39730000000003
SdO,49.679837344603676
SdS,0
Spe,48.6
SsF,0
SsI,0
Sse,50.353605243991254
StN,0
fMF,0.24489795918367346
nBr,0
nCl,2
AMID,1.9629905788296493
BIC0,0.321599174199813
BIC1,0.6442150429401055
BIC2,0.8217165120927876
BIC3,0.8593458004063241
BIC4,0.8663434167562797
BIC5,0.8663434167562797
CIC0,3.738857232361492
CIC1,1.857074353175157
CIC2,0.8217278062549065
CIC3,0.6022403062107538
CIC4,0.5614239796801419
CIC5,0.5614239796801419
GGI1,8.5
GGI2,4.000000000000002
GGI3,2.8680555555555554
GGI4,2.4461111111111116
GGI5,0.9341666666666667
GGI6,0.6439909297052154
GGI7,0.7031604308390023
GGI8,0.3131928697404887
GGI9,0.16437500000000005
JGI1,0.3035714285714286
JGI2,0.09756097560975614
JGI3,0.06828703703703703
JGI4,0.05317632850241546
JGI5,0.021231060606060607
JGI6,0.01839974084872044
JGI7,0.020681189142323593
JGI8,0.011599735916314398
JGI9,0.008651315789473686
MIC0,25.253132818015665
MIC1,43.19695169665783
MIC2,46.369275448327
MIC3,47.03962088918784
MIC4,48.48668211367764
MIC5,48.48668211367764
MPC2,41
MPC3,50
MPC4,64
MPC5,73
MPC6,69
MPC7,72
MPC8,74
MPC9,69
Mare,1.0011428571428573
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,2
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.19982999678224084
RPCG,0.12664014150289338
SIC0,0.334096091131014
SIC1,0.6692483842025138
SIC2,0.853647324782747
SIC3,0.8927388372807967
SIC4,0.9000083717115727
SIC5,0.9000083717115727
SaaN,0
SaaO,0
SaaS,0
Sare,49.056000000000004
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,11.823234757423576
SsLi,0
SsOH,9.010315467590658
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,91.91677797593209
TIC1,184.12413905606252
TIC2,234.8561198551548
TIC3,245.61100735731827
TIC4,247.61100735731824
TIC5,247.61100735731824
Vabc,368.6688116061423
WPol,42
apol,56.52944599999998
bpol,33.762554
nRot,7
ABCGG,18.72662441647129
ATS0Z,1886.0
ATS0d,160.0
ATS0i,8017.077615529878
ATS0m,7688.324168
ATS0p,80.743603906678
ATS0s,316.19895023624446
ATS0v,11056.93109207705
ATS1Z,1655.0
ATS1d,200.0
ATS1i,7303.29031135845
ATS1m,6397.366758
ATS1p,96.70444648600001
ATS1s,139.54423868312756
ATS1v,13535.195143748957
ATS2Z,2452.0
ATS2d,320.0
ATS2i,14108.573154545093
ATS2m,9376.884873
ATS2p,149.51312140849
ATS2s,342.75771604938274
ATS2v,20306.300928010405
ATS3Z,2815.0
ATS3d,373.0
ATS3i,20310.479223975843
ATS3m,10286.717124999997
ATS3p,183.86104256898
ATS3s,382.5946502057613
ATS3v,23676.319185864235
ATS4Z,3484.0
ATS4d,360.0
ATS4i,23256.08934791564
ATS4m,13192.71975
ATS4p,182.709966264866
ATS4s,489.0889155616522
ATS4v,24373.64550981843
ATS5Z,2978.0
ATS5d,335.0
ATS5i,21689.49970520447
ATS5m,11035.912389000001
ATS5p,162.83329379067803
ATS5s,617.75
ATS5v,23064.17996056132
ATS6Z,2315.0
ATS6d,328.0
ATS6i,20148.091021857566
ATS6m,8305.427040999999
ATS6p,162.792190234433
ATS6s,473.47890946502054
ATS6v,21578.611261111917
ATS7Z,2498.0
ATS7d,309.0
ATS7i,21314.224569602447
ATS7m,8995.654440999999
ATS7p,174.13611831747002
ATS7s,341.49794238683126
ATS7v,21604.25533995518
ATS8Z,2255.0
ATS8d,252.0
ATS8i,20134.91830808647
ATS8m,7915.729509
ATS8p,142.92008413547
ATS8s,374.8796296296297
ATS8v,17904.517534512303
C1SP1,0
C1SP2,2
C1SP3,3
C2SP1,0
C2SP2,6
C2SP3,5
C3SP2,0
C3SP3,1
C4SP3,0
FCSP3,0.5294117647058824
GGI10,0.15702479338842976
JGI10,0.00981404958677686
JGT10,0.6129728616103067
Kier1,23.28061224489796
Kier2,9.666864961332541
Kier3,5.9904
MAXdO,12.985706700890232
MID_C,34.33848405686288
MID_N,4.218271118955864
MID_O,8.671938679255781
MID_X,3.5191529202042036
MID_h,18.66226157153766
MINdO,11.006754791623639
MPC10,63
MWC01,28.0
MWC02,4.9344739331306915
MWC03,5.771441123130016
MWC04,6.673297967767654
MWC05,7.541683099882111
MWC06,8.443546651247939
MWC07,9.326967183907902
MWC08,10.22958472526072
MWC09,11.121792164122242
MWC10,12.025719150830918
NaaCH,3
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.7620000000000005
SRW02,4.04305126783455
SRW03,0.0
SRW04,5.3981627015177525
SRW05,2.3978952727983707
SRW06,6.92461239604856
SRW07,4.59511985013459
SRW08,8.540323608805092
SRW09,6.6293632534374485
SRW10,10.209021822019244
SaaCH,4.004210207206656
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,0.28782637951875123
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.5253528780339303
SdssS,0
SsCH3,3.5932805848719447
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.6880273333613283
SssPH,0
SssSe,0
SsssB,0
SsssN,1.127458585285966
SsssP,0
VE1_A,4.141412780972789
VE1_D,5.118989862615371
VE2_A,0.15338565855454775
VE2_D,0.18959221713390265
VE3_A,2.414288754077179
VE3_D,2.6262089001390474
VR1_A,335.859834958904
VR1_D,158.9045146680487
VR2_A,12.439253146626074
VR2_D,5.885352395112915
VR3_A,6.809945688078537
VR3_D,6.061555258157199
WPath,1850
Xc-3d,3.030255883555083
Xc-4d,0.16666666666666666
Xc-5d,0.8759423616138585
Xc-6d,0.15137471507731048
Xp-0d,20.35300667219901
Xp-1d,12.517781639083363
Xp-2d,12.483624031277376
Xp-3d,8.878178631985122
Xp-4d,7.349169432200317
Xp-5d,5.619697212277051
Xp-6d,3.0781899250110056
Xp-7d,1.9172047509417836
ZMIC0,89.77152686705028
ZMIC1,43.4845661417023
ZMIC2,34.53640759763942
ZMIC3,32.82788120089442
ZMIC4,30.319715186610395
ZMIC5,30.319715186610395
nAcid,1
nAtom,49
nBase,0
nRing,2
piPC1,3.58351893845611
piPC2,4.151039905898646
piPC3,4.497028027368389
piPC4,4.933574247959794
piPC5,5.352746364474509
piPC6,5.339339341070958
piPC7,5.529677072633587
piPC8,5.350672596881965
piPC9,5.4241236849732894
AATS0Z,38.48979591836735
AATS0d,3.2653061224489797
AATS0i,163.61382888836485
AATS0m,156.90457485714285
AATS0p,1.647828651156694
AATS0s,6.453039800739683
AATS0v,225.65165494034795
AATS1Z,33.1
AATS1d,4.0
AATS1i,146.065806227169
AATS1m,127.94733516000001
AATS1p,1.9340889297200001
AATS1s,2.790884773662551
AATS1v,270.7039028749791
AATS2Z,26.945054945054945
AATS2d,3.5164835164835164
AATS2i,155.03926543456146
AATS2m,103.04269091208792
AATS2p,1.6430013341592309
AATS2s,3.7665683082349752
AATS2v,223.1461640440704
AATS3Z,22.165354330708663
AATS3d,2.937007874015748
AATS3i,159.9250332596523
AATS3m,80.99777263779525
AATS3p,1.4477247446376378
AATS3s,3.0125563008327663
AATS3v,186.42771012491522
AATS4Z,24.70921985815603
AATS4d,2.5531914893617023
AATS4i,164.93680388592654
AATS4m,93.56538829787235
AATS4p,1.29581536358061
AATS4s,3.468715713203207
AATS4v,172.86273411218744
AATS5Z,22.560606060606062
AATS5d,2.537878787878788
AATS5i,164.31439170609448
AATS5m,83.60539688636365
AATS5p,1.233585559020288
AATS5s,4.679924242424242
AATS5v,174.72863606485848
AATS6Z,18.52
AATS6d,2.624
AATS6i,161.18472817486054
AATS6m,66.443416328
AATS6p,1.302337521875464
AATS6s,3.787831275720164
AATS6v,172.62889008889533
AATS7Z,19.068702290076335
AATS7d,2.3587786259541983
AATS7i,162.7040043481103
AATS7m,68.669117870229
AATS7p,1.3292833459348856
AATS7s,2.6068545220368797
AATS7v,164.91797969431434
AATS8Z,18.333333333333332
AATS8d,2.048780487804878
AATS8i,163.69852282997132
AATS8m,64.35552446341464
AATS8p,1.1619519035404064
AATS8s,3.0478018669075584
AATS8v,145.5651832074171
AMID_C,1.2717957058097364
AMID_N,0.156232263665032
AMID_O,0.3211829140465104
AMID_X,0.13033899704460014
AMID_h,0.6911948730199133
ATS0dv,363.6543209876543
ATS0pe,321.3013
ATS0se,396.0519309999999
ATS1dv,268.22222222222223
ATS1pe,329.60609999999997
ATS1se,396.65398
ATS2dv,482.66666666666663
ATS2pe,592.8639999999999
ATS2se,721.112676
ATS3dv,447.1111111111111
ATS3pe,810.6126999999999
ATS3se,1004.771854
ATS4dv,523.9753086419753
ATS4pe,911.5313000000001
ATS4se,1133.7935810000001
ATS5dv,494.44444444444446
ATS5pe,883.8963
ATS5se,1088.959642
ATS6dv,359.1111111111111
ATS6pe,803.7532
ATS6se,996.588448
ATS7dv,319.44444444444446
ATS7pe,810.8627
ATS7se,1017.972734
ATS8dv,246.8888888888889
ATS8pe,768.7205
ATS8se,970.6236719999999
ATSC0Z,825.1020408163265
ATSC0c,1.0245105345506436
ATSC0d,35.83673469387755
ATSC0i,69.49352667011557
ATSC0m,3785.0735919999997
ATSC0p,15.527720946128692
ATSC0s,144.03169081990364
ATSC0v,2524.8747051113346
ATSC1Z,85.30403998334027
ATSC1c,-0.7047785637171057
ATSC1d,8.329862557267806
ATSC1i,-10.66198442435252
ATSC1m,366.15812159183673
ATSC1p,-0.8473084648459327
ATSC1s,-19.343674040074117
ATSC1v,47.7783744962452
ATSC2Z,169.34110787172014
ATSC2c,0.3308264675846332
ATSC2d,-1.7784256559766765
ATSC2i,-3.464085811017532
ATSC2m,778.5271964285713
ATSC2p,2.6192526865574863
ATSC2s,62.33268759362128
ATSC2v,154.89503895699437
ATSC3Z,-223.73386089129528
ATSC3c,-0.07522597735607928
ATSC3d,-0.8217409412744708
ATSC3i,-11.276397457227564
ATSC3m,-991.8061256938777
ATSC3p,-2.6378718488042474
ATSC3s,-12.197277257113768
ATSC3v,-436.0366523380178
ATSC4Z,534.3390254060807
ATSC4c,-0.06828532313869301
ATSC4d,-6.999583506872136
ATSC4i,3.2713544646211847
ATSC4m,2448.0896198775517
ATSC4p,6.605822839314781
ATSC4s,-62.986956269681606
ATSC4v,1163.0058965308
ATSC5Z,28.908788004997927
ATSC5c,-0.01267149901399499
ATSC5d,0.9092044981257807
ATSC5i,10.013148049421758
ATSC5m,133.2600545510204
ATSC5p,-1.501064191241828
ATSC5s,-7.024660129768611
ATSC5v,-118.37885630687902
ATSC6Z,-152.8317367763432
ATSC6c,0.06442969994921165
ATSC6d,-3.134527280299875
ATSC6i,-4.0467747638241525
ATSC6m,-702.4442403061227
ATSC6p,2.694937875863965
ATSC6s,-27.71580383364117
ATSC6v,-541.9412240302706
ATSC7Z,-133.06872136609746
ATSC7c,-0.027026873003089775
ATSC7d,-14.890045814244063
ATSC7i,4.601784184930096
ATSC7m,-586.5332078979592
ATSC7p,0.04045961012006283
ATSC7s,-6.285964409325982
ATSC7v,-84.7883214641435
ATSC8Z,-256.1336942940441
ATSC8c,-0.10545199455690685
ATSC8d,-3.0187421907538514
ATSC8i,-31.721058771818864
ATSC8m,-1186.8400880612244
ATSC8p,-12.242252947261903
ATSC8s,-28.47065264825451
ATSC8v,-1038.3801195770507
AXp-0d,0.7538150619332967
AXp-1d,0.44706362996726295
AXp-2d,0.3044786349092043
AXp-3d,0.17756357263970243
AXp-4d,0.11483077237812996
AXp-5d,0.07698215359283632
AXp-6d,0.0446114481885653
AXp-7d,0.026627843763080326
GATS1Z,0.6701716547118476
GATS1c,1.6703391800754208
GATS1d,1.1251025056947608
GATS1i,1.4854121145180572
GATS1m,0.6621247244061511
GATS1p,1.1737649866247402
GATS1s,0.7088550741690012
GATS1v,0.984333376917827
GATS2Z,0.6258566563290778
GATS2c,0.6788213373788935
GATS2d,1.287892062379534
GATS2i,1.2165233863310445
GATS2m,0.624243714139822
GATS2p,0.8557277867721714
GATS2s,0.4435496481557106
GATS2v,0.9325749524609296
GATS3Z,1.1094404443570205
GATS3c,0.9807021367166692
GATS3d,1.1864832385701218
GATS3i,1.1767792233875767
GATS3m,1.0924384039727226
GATS3p,1.1765250544457533
GATS3s,0.8444670848332395
GATS3v,1.0617212331318153
GATS4Z,0.6943821998621205
GATS4c,1.1614282141126724
GATS4d,1.135171812145592
GATS4i,1.0129176731225018
GATS4m,0.6848638265525169
GATS4p,0.8556279494859281
GATS4s,1.3320475997116097
GATS4v,0.7844686886563835
GATS5Z,0.8179704539833157
GATS5c,1.2350572506694852
GATS5d,0.9436736384344585
GATS5i,0.9104159669910502
GATS5m,0.8220696865311378
GATS5p,0.8808246433238568
GATS5s,1.453414285617573
GATS5v,0.911718254795487
GATS6Z,0.770232005936186
GATS6c,1.0438691449994437
GATS6d,1.001876993166287
GATS6i,1.0103715735229537
GATS6m,0.7745812955194983
GATS6p,0.774626945250095
GATS6s,1.2331961523243125
GATS6v,1.0131557076817204
GATS7Z,1.1055398738371665
GATS7c,0.8120712855579377
GATS7d,1.0940200664243858
GATS7i,0.9581401224266539
GATS7m,1.1029071076924324
GATS7p,1.0212917621067708
GATS7s,0.7088884286283079
GATS7v,1.0329230571421293
GATS8Z,1.2968684205763652
GATS8c,0.9084147571395002
GATS8d,0.9256069781654537
GATS8i,1.0949770436499968
GATS8m,1.2901243844947523
GATS8p,1.4252635187068454
GATS8s,1.0749366357492436
GATS8v,1.1887274061789501
MATS1Z,0.10131832797427653
MATS1c,-0.6741589951007202
MATS1d,0.22779043280182232
MATS1i,-0.15035565521757815
MATS1m,0.09480263736969899
MATS1p,-0.053476121732857165
MATS1s,-0.1316154830326619
MATS1v,0.01854460615868685
MATS2Z,0.11051199604254269
MATS2c,0.17387554611876194
MATS2d,-0.026721570001752234
MATS2i,-0.02684101763920718
MATS2m,0.11075265559145221
MATS2p,0.0908289655717241
MATS2s,0.23303034677327839
MATS2v,0.03303333064725894
MATS3Z,-0.10462040933975511
MATS3c,-0.028329817028683656
MATS3d,-0.008847057557440873
MATS3i,-0.06260634961666568
MATS3m,-0.10109852458125661
MATS3p,-0.06554481388420691
MATS3s,-0.03267361564865464
MATS3v,-0.0666308761989746
MATS4Z,0.22505372213246605
MATS4c,-0.023162632030703192
MATS4d,-0.06787670236998981
MATS4i,0.016359130607822202
MATS4m,0.22476565595709913
MATS4p,0.14784143591610935
MATS4s,-0.1519740827113466
MATS4v,0.16007335686724924
MATS5Z,0.013006018633028282
MATS5c,-0.00459127931757725
MATS5d,0.009417926416787462
MATS5i,0.05348702397967801
MATS5m,0.013069163999157266
MATS5p,-0.03588506159014651
MATS5s,-0.01810461970363312
MATS5v,-0.01740429585174356
MATS6Z,-0.07260925055651744
MATS6c,0.024652203689802556
MATS6d,-0.03428701594533029
MATS6i,-0.022827100356402587
MATS6m,-0.07274842496642271
MATS6p,0.06803417262609007
MATS6s,-0.07543197640005743
MATS6v,-0.08413920872580427
MATS7Z,-0.060324413320166984
MATS7c,-0.009867432334051608
MATS7d,-0.15541480463927382
MATS7i,0.024768897714401866
MATS7m,-0.05796195992963643
MATS7p,0.0009746277222086785
MATS7s,-0.016324453198252955
MATS7v,-0.012560906724582233
MATS8Z,-0.12366591659980414
MATS8c,-0.041004294000131655
MATS8d,-0.03355741985665869
MATS8i,-0.18184203848743857
MATS8m,-0.12491334777278734
MATS8p,-0.31408312227348484
MATS8s,-0.07874633180096613
MATS8v,-0.16383530795993215
MAXsCl,5.911617378711788
MAXsOH,9.010315467590658
MINsCl,5.911617378711788
MINsOH,9.010315467590658
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,3
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,-3.96969764371798
SdssSe,0
SdsssP,0
SpAD_A,31.795268992285756
SpAD_D,283.4764091503613
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.8439922122430239
SssNH2,0
SsssAs,0
SsssCH,-1.5909101281314493
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,630
TMWC10,131.06850599928018
TSRW10,75.7375501725956
VE1_Dt,5.131766009462531
VE2_Dt,0.1900654077578715
VE3_Dt,2.628701624309277
VR1_Dt,155.99849081683152
VR2_Dt,5.7777218821048715
VR3_Dt,6.043098105961945
Xc-3dv,1.8885982232588985
Xc-4dv,0.04564354645876384
Xc-5dv,0.45265315417897134
Xc-6dv,0.03384841529875286
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.1950083285868333
Xch-7d,0.47214987047812396
Xp-0dv,17.31248080218627
Xp-1dv,10.717755076198573
Xp-2dv,9.599320263344689
Xp-3dv,6.79829332880353
Xp-4dv,5.406805135172041
Xp-5dv,3.596979700899258
Xp-6dv,2.164581651545683
Xp-7dv,1.3918496589720906
Xpc-4d,5.586911142809576
Xpc-5d,8.329843104099297
Xpc-6d,13.617311941296427
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,1
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,50
nFRing,0
nHBAcc,4
nHBDon,2
nHRing,1
nSpiro,0
naRing,1
piPC10,5.5202101359605935
AATS0dv,7.421516754850087
AATS0pe,6.557169387755103
AATS0se,8.082692469387753
AATS1dv,5.364444444444445
AATS1pe,6.592122
AATS1se,7.9330796
AATS2dv,5.304029304029304
AATS2pe,6.5149890109890105
AATS2se,7.924315120879121
AATS3dv,3.5205599300087487
AATS3pe,6.38277716535433
AATS3se,7.911589401574803
AATS4dv,3.716136940723229
AATS4pe,6.464760992907802
AATS4se,8.041089226950355
AATS5dv,3.7457912457912457
AATS5pe,6.696184090909091
AATS5se,8.249694257575758
AATS6dv,2.872888888888889
AATS6pe,6.4300256
AATS6se,7.972707584
AATS7dv,2.438507209499576
AATS7pe,6.189791603053435
AATS7se,7.770784229007633
AATS8dv,2.0072267389340563
AATS8pe,6.249760162601626
AATS8se,7.891249365853658
AATSC0Z,16.838817159516868
AATSC0c,0.020908378256135583
AATSC0d,0.7313619325281133
AATSC0i,1.4182352381656238
AATSC0m,77.24639983673468
AATSC0p,0.316892264206708
AATSC0s,2.9394222616306864
AATSC0v,51.52805520635377
AATSC1Z,1.7060807996668055
AATSC1c,-0.014095571274342113
AATSC1d,0.16659725114535612
AATSC1i,-0.21323968848705038
AATSC1m,7.323162431836734
AATSC1p,-0.016946169296918653
AATSC1s,-0.3868734808014823
AATSC1v,0.955567489924904
AATSC2Z,1.8608912952936278
AATSC2c,0.003635455687743222
AATSC2d,-0.019543139076666775
AATSC2i,-0.038066877044148704
AATSC2m,8.555243916797487
AATSC2p,0.028782996555576774
AATSC2s,0.6849745889408931
AATSC2v,1.7021432852416964
AATSC3Z,-1.761683944025947
AATSC3c,-0.0005923305303628289
AATSC3d,-0.006470401112397408
AATSC3i,-0.08879053115927216
AATSC3m,-7.809497052707698
AATSC3p,-0.020770644478773602
AATSC3s,-0.09604155320562022
AATSC3v,-3.433359467228487
AATSC4Z,3.7896384780573102
AATSC4c,-0.0004842930719056242
AATSC4d,-0.04964243621895132
