DLiP-ID,J100HM
TPSA,91.12
Chi0n,17.583724605808253
Chi0v,19.972646713682153
Chi1n,10.185385047231742
Chi1v,11.987480187812956
Chi2n,7.900751588515886
Chi2v,9.875457391246753
Chi3n,5.079485239868423
Chi3v,7.123591119301109
Chi4n,3.4485397803267213
Chi4v,5.388229884920103
MolMR,112.43570000000005
MolWt,470.07200000000034
fr_SH,0
Kappa1,23.237686864202335
Kappa2,10.740205091046823
Kappa3,5.833713584094537
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,952.4347189523232
MolLogP,-1.6086799999999961
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,2.559996349472192e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856704
SMR_VSA4,5.917906046161393
SMR_VSA5,60.911434662543925
SMR_VSA6,26.392953978013743
SMR_VSA7,11.760295063310071
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,190.75011298039433
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,9.499376414562832
PEOE_VSA5,10.197363616602075
PEOE_VSA6,31.024349818169142
PEOE_VSA7,53.9383087008665
PEOE_VSA8,11.44678160159525
PEOE_VSA9,27.18485677717953
RingCount,4
SMR_VSA10,29.301423622701424
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,469.15976157600005
NumHDonors,1
PEOE_VSA10,5.025959978669241
PEOE_VSA11,0.0
PEOE_VSA12,10.312872963641414
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,17.306942892030456
SlogP_VSA2,66.18224565658078
SlogP_VSA3,6.544756405912575
SlogP_VSA4,12.841643245852017
SlogP_VSA5,37.79803610947851
SlogP_VSA6,21.405200010772262
SlogP_VSA7,0.0
SlogP_VSA8,5.777653723919194
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,12.407033161179976
EState_VSA3,5.777653723919194
EState_VSA4,45.79303340189245
EState_VSA5,48.76590279487165
EState_VSA6,11.761884949391115
EState_VSA7,22.187305096913043
EState_VSA8,39.58875300685958
EState_VSA9,5.098681808301038
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,23.52376989878223
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,3.6587437500485906
VSA_EState9,50.08767057204441
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.6666666666666666
VSA_EState10,3.253585677907016
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,1
fr_thiophene,0
HallKierAlpha,-1.43
NumHAcceptors,10
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,441.8480000000002
MaxEStateIndex,4.72582078819182
MinEStateIndex,0.0
NumHeteroatoms,12
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1666666666666667
FpDensityMorgan2,1.9666666666666666
FpDensityMorgan3,2.7333333333333334
MaxPartialCharge,0.25396666318966593
MinPartialCharge,-1.0
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,4.72582078819182
MinAbsEStateIndex,0.0
NumAliphaticRings,1
NumRotatableBonds,8
NumSaturatedRings,1
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,1.0
MinAbsPartialCharge,0.25396666318966593
NumRadicalElectrons,0
NumValenceElectrons,164
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,3
NumSaturatedCarbocycles,1
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,469.15976157600085
MZ,0.7126436781609196
Mi,1.145214104358707
Mm,0.6747478604382764
Mp,0.6876956844930827
Mv,0.6184866680236112
SZ,41.333333333333336
Si,66.422418052805
Sm,39.135375905420034
Sp,39.8863497005988
Sv,35.872226745369446
nB,0
nC,18
nF,0
nH,28
nI,0
nN,9
nO,0
nP,0
nS,2
nX,1
ABC,22.83426605363341
AMW,8.088961406482774
IC0,1.7167066355317904
IC1,3.481755596056793
IC2,4.681449426894338
IC3,4.8963527621824445
IC4,4.991348882946701
IC5,4.991348882946701
Mpe,0.9680865449628129
Mse,1.005468769621016
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,112.43570000000005
SdO,0
SdS,0
Spe,56.149019607843144
SsF,0
SsI,0
Sse,58.31718863801893
StN,0
fMF,0.39655172413793105
nBr,0
nCl,1
BIC0,0.2840163301121734
BIC1,0.576030537933609
BIC2,0.7745109492283113
BIC3,0.8100651058640993
BIC4,0.8257815066957411
BIC5,0.8257815066957411
CIC0,4.141274359595782
CIC1,2.376225399070779
CIC2,1.1765315682332336
CIC3,0.9616282329451273
CIC4,0.8666321121808709
CIC5,0.8666321121808709
GGI1,6.0
GGI2,2.4444444444444455
GGI3,1.5763888888888888
GGI4,1.4005555555555558
GGI5,0.8127777777777777
GGI6,0.625532879818594
GGI7,0.4644628684807256
GGI8,0.24695294784580496
GGI9,0.2284490740740741
JGI1,0.1875
JGI2,0.05555555555555558
JGI3,0.03940972222222222
JGI4,0.03685672514619883
JGI5,0.020319444444444442
JGI6,0.014893639995680807
JGI7,0.012901746346686822
JGI8,0.008231764928193499
JGI9,0.008158895502645504
MIC0,21.5985578638415
MIC1,42.0517987322432
MIC2,44.63031161293302
MIC3,45.36955533328799
MIC4,45.46531142301836
MIC5,45.46531142301836
MPC2,44
MPC3,56
MPC4,75
MPC5,91
MPC6,102
MPC7,117
MPC8,139
MPC9,148
Mare,0.9788965517241379
NaaN,6
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,2
NtCH,0
NtsC,0
RNCG,0.347441844571526
RPCG,0.12063216138892204
SIC0,0.2930543197322894
SIC1,0.5943610262567895
SIC2,0.7991574965484142
SIC3,0.8358430603061071
SIC4,0.8520595896603796
SIC5,0.8520595896603796
SaaN,26.129231672497923
SaaO,0
SaaS,0
Sare,56.775999999999996
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,3.253585677907016
StCH,0
StsC,0
TIC0,99.56898486084384
TIC1,201.94182457129398
TIC2,271.52406675987163
TIC3,283.9884602065818
TIC4,289.49823521090866
TIC5,289.49823521090866
Vabc,381.6960248055104
WPol,40
apol,66.61020399999998
bpol,39.849796000000026
nRot,8
ABCGG,17.71326348262637
ATS0Z,1918.0
ATS0d,180.0
ATS0i,9743.972273806074
ATS0m,7703.358111
ATS0p,95.111761335772
ATS0v,12381.002066495512
ATS1Z,1691.0
ATS1d,225.0
ATS1i,9165.833610286607
ATS1m,6440.085600000002
ATS1p,109.57006867000004
ATS1v,15000.883388026781
ATS2Z,2582.0
ATS2d,365.0
ATS2i,17741.501206602396
ATS2m,9651.535773000003
ATS2p,167.26378125243315
ATS2v,22107.6320349022
ATS3Z,2687.0
ATS3d,382.0
ATS3i,22955.805025514135
ATS3m,9794.495101999997
ATS3p,197.297970514866
ATS3v,24047.0508340273
ATS4Z,2571.0
ATS4d,384.0
ATS4i,25036.15084227862
ATS4m,9307.120292999996
ATS4p,187.54183506184592
ATS4v,22287.141144356036
ATS5Z,2528.0
ATS5d,353.0
ATS5i,19918.45426397925
ATS5m,9254.179826999996
ATS5p,161.0675399854701
ATS5v,20234.60617918032
ATS6Z,2416.0
ATS6d,338.0
ATS6i,16709.15802737312
ATS6m,8893.150120999999
ATS6p,152.29769365939597
ATS6v,20531.383196440704
ATS7Z,2200.0
ATS7d,333.0
ATS7i,17439.747412450728
ATS7m,7733.034644999998
ATS7p,152.137939209698
ATS7v,19803.705415967466
ATS8Z,1909.0
ATS8d,300.0
ATS8i,15842.557306790633
ATS8m,6814.926648999999
ATS8p,141.45172627939607
ATS8v,18202.647499047944
C1SP1,0
C1SP2,1
C1SP3,4
C2SP1,0
C2SP2,2
C2SP3,5
C3SP2,0
C3SP3,1
C4SP3,0
FCSP3,0.6666666666666666
GGI10,0.17273951637588003
JGI10,0.007197479848995001
JGT10,0.3910249739906227
Kier1,24.638671875
Kier2,11.743801652892563
Kier3,6.75
MPC10,159
MWC01,32.0
MWC02,5.030437921392435
MWC03,5.8664680569332965
MWC04,6.739336627357174
MWC05,7.598399329323964
MWC06,8.479491324232226
MWC07,9.350710824823459
MWC08,10.23720600096072
MWC09,11.116187167242005
MWC10,12.006700550965217
NaaCH,1
NaaNH,0
NaaSe,0
NaaaC,1
NaasC,4
NaasN,2
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,3
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,-1.6086799999999961
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.484796933490655
SRW05,3.044522437723423
SRW06,6.966967138613983
SRW07,5.351858133476067
SRW08,8.534836626588833
SRW09,7.40184157874383
SRW10,10.15405169942633
SaaCH,2.0120481107196477
SaaNH,0
SaaSe,0
SaaaC,0.634633907575376
SaasC,3.3908695608510726
SaasN,3.6587437500485906
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,6.2179466956912215
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
WPath,2900002482
Xc-3d,1.9079211456771599
Xc-4d,0.0
Xc-5d,0.21941609682128765
Xc-6d,0.0
Xp-1d,14.080520035918413
Xp-2d,12.837368546382233
Xp-3d,10.10752736682713
Xp-4d,8.623747962601152
Xp-5d,6.775291701628158
Xp-6d,4.903238116669265
Xp-7d,3.5819114538852586
ZMIC0,104.13613624199786
ZMIC1,43.757684400287985
ZMIC2,34.35185415165519
ZMIC3,31.71301799394022
ZMIC4,31.080793064697467
ZMIC5,31.080793064697467
nAcid,3
nAtom,58
nBase,1
nRing,4
piPC1,3.7013019741124933
piPC2,4.283586561860629
piPC3,4.848116364598481
piPC4,5.4712197014254995
piPC5,5.911981578584588
piPC6,6.3115362867263185
piPC7,6.71902258972722
piPC8,7.163205673600279
piPC9,7.333576884664827
AATS0Z,33.06896551724138
AATS0d,3.103448275862069
AATS0i,167.99952196217367
AATS0m,132.81651915517241
AATS0p,1.6398579540650344
AATS0v,213.46555287061227
AATS1Z,28.183333333333334
AATS1d,3.75
AATS1i,152.76389350477677
AATS1m,107.33476000000003
AATS1p,1.8261678111666673
AATS1v,250.01472313377968
AATS2Z,23.472727272727273
AATS2d,3.3181818181818183
AATS2i,161.2863746054763
AATS2m,87.74123430000003
AATS2p,1.520579829567574
AATS2v,200.97847304456545
AATS3Z,18.922535211267604
AATS3d,2.6901408450704225
AATS3i,161.6605987712263
AATS3m,68.9753176197183
AATS3p,1.3894223275694788
AATS3v,169.34542840864296
AATS4Z,17.14
AATS4d,2.56
AATS4i,166.9076722818575
AATS4m,62.047468619999975
AATS4p,1.250278900412306
AATS4v,148.58094096237357
AATS5Z,21.60683760683761
AATS5d,3.017094017094017
AATS5i,170.24319883742947
AATS5m,79.09555407692305
AATS5p,1.3766456409014538
AATS5v,172.94535195880613
AATS6Z,24.16
AATS6d,3.38
AATS6i,167.0915802737312
AATS6m,88.93150121
AATS6p,1.5229769365939598
AATS6v,205.31383196440703
AATS7Z,21.153846153846153
AATS7d,3.201923076923077
AATS7i,167.6898789658724
AATS7m,74.35610235576921
AATS7p,1.46286480009325
AATS7v,190.42024438430255
AATS8Z,19.68041237113402
AATS8d,3.0927835051546393
AATS8i,163.32533305969724
AATS8m,70.25697576288658
AATS8p,1.4582652193752172
AATS8v,187.6561597839994
ATS0dv,343.67901234567904
ATS0pe,359.0378
ATS0se,445.22432699999985
ATS1dv,377.33333333333337
ATS1pe,393.74390000000005
ATS1se,470.7062319999998
ATS2dv,496.66666666666663
ATS2pe,693.9666999999997
ATS2se,850.3061939999998
ATS3dv,384.33333333333337
ATS3pe,846.9229999999995
ATS3se,1061.5527480000003
ATS4dv,398.0
ATS4pe,881.1069000000001
ATS4se,1117.461142
ATS5dv,460.44444444444446
ATS5pe,736.0857000000001
ATS5se,913.4508129999999
ATS6dv,485.0
ATS6pe,668.0030999999997
ATS6se,806.2352460000002
ATS7dv,369.66666666666663
ATS7pe,686.4323999999999
ATS7se,836.2340100000004
ATS8dv,212.66666666666666
ATS8pe,615.3534999999999
ATS8se,753.9785900000006
ATSC0Z,857.5862068965519
ATSC0c,1.7376139325773876
ATSC0d,34.06896551724138
ATSC0i,98.9931421713596
ATSC0m,3893.8459898793103
ATSC0p,18.613153112985515
ATSC0v,2984.6468693363354
ATSC1Z,42.876337693222396
ATSC1c,-0.45079211430549504
ATSC1d,12.721759809750298
ATSC1i,-7.982076890338587
ATSC1m,190.94583012485143
ATSC1p,-0.43220015542115264
ATSC1v,-165.36633645723794
ATSC2Z,167.6123662306777
ATSC2c,0.11985522304225307
ATSC2d,7.282996432818068
ATSC2i,1.4660550201286795
ATSC2m,753.1646258151009
ATSC2p,-0.4953058072663573
ATSC2v,247.63501474800398
ATSC3Z,250.4958382877527
ATSC3c,0.2474898764244094
ATSC3d,14.382877526753871
ATSC3i,-23.76631884270023
ATSC3m,1119.9729768127227
ATSC3p,1.2415232460847698
ATSC3v,138.08854040335942
ATSC4Z,362.001189060642
ATSC4c,0.27430166635437336
ATSC4d,17.476813317479195
ATSC4i,-17.18475057437572
ATSC4m,1707.4208446052326
ATSC4p,4.94963488391187
ATSC4v,1382.4930850044698
ATSC5Z,74.83472057074916
ATSC5c,-0.05107255405557391
ATSC5d,3.3781212841854917
ATSC5i,22.34154887903121
ATSC5m,375.3789809848394
ATSC5p,4.685166320615076
ATSC5v,1081.935491378372
ATSC6Z,-202.59690844233052
ATSC6c,0.03755208952599268
ATSC6d,-9.980975029726519
ATSC6i,-0.8338885257700088
ATSC6m,-911.3490119815696
ATSC6p,-1.395000718176683
ATSC6v,-452.4118755267688
ATSC7Z,-597.7407847800239
ATSC7c,0.03852800612328069
ATSC7d,-16.02021403091558
ATSC7i,7.8927650268829055
ATSC7m,-2702.6949757491075
ATSC7p,-8.813587020892447
ATSC7v,-1281.3559794000496
ATSC8Z,-208.58382877526742
ATSC8c,-0.11743982400150757
ATSC8d,-19.04637336504162
ATSC8i,0.8612086532621088
ATSC8m,-1005.2044209360877
ATSC8p,-2.5210375952509505
ATSC8v,-1034.3284859577082
AXp-1d,0.4400162511224504
AXp-2d,0.2917583760541417
AXp-3d,0.18049156012191303
AXp-4d,0.11498330616801536
AXp-5d,0.0744537549629468
AXp-6d,0.048070961928130054
AXp-7d,0.030614627810985114
GATS1Z,0.6225613188580619
GATS1c,0.7464330262244485
GATS1d,0.766826923076923
GATS1i,1.3965734654337503
GATS1m,0.6218181414707281
GATS1p,0.9604660365427043
GATS1v,1.0441232911629452
GATS2Z,0.7102757977848447
GATS2c,0.47882943181870286
GATS2d,1.0038461538461538
GATS2i,1.148027120112885
GATS2m,0.7036412091432733
GATS2p,1.0006718868469329
GATS2v,0.9321202600264555
GATS3Z,0.7393130192493925
GATS3c,0.37700106828468777
GATS3d,0.701042795232936
GATS3i,1.1270405288329934
GATS3m,0.7327999950328531
GATS3p,1.0133589114050152
GATS3v,1.0050670122593823
GATS4Z,0.8068926417370325
GATS4c,0.30182023554394394
GATS4d,0.7082692307692308
GATS4i,1.020007717683437
GATS4m,0.786229221994702
GATS4p,0.9876383965600642
GATS4v,0.8331760327870448
GATS5Z,1.0333415813512314
GATS5c,0.5017388384437385
GATS5d,1.0581854043392505
GATS5i,0.9958567161853114
GATS5m,1.0029144533145262
GATS5p,1.0090811666250727
GATS5v,0.7615548774749458
GATS6Z,0.9830265379975873
GATS6c,0.544727597195327
GATS6d,1.305
GATS6i,1.2545503150100128
GATS6m,0.970039262747542
GATS6p,0.9752776991965766
GATS6v,0.9603237216664301
GATS7Z,1.4414731604342579
GATS7c,0.46302292048560456
GATS7d,1.3111131656804733
GATS7i,1.2209297485152362
GATS7m,1.4111683964367399
GATS7p,1.3853856794078336
GATS7v,1.1428399613677585
GATS8Z,0.8681643515351994
GATS8c,0.5541532615528063
GATS8d,1.4919706582077716
GATS8i,1.1433769326983878
GATS8m,0.876608229122782
GATS8p,0.9580179170821101
GATS8v,1.1365594599581603
MATS1Z,0.04832998257606223
MATS1c,-0.2507839643348994
MATS1d,0.36096491228070177
MATS1i,-0.07794487063865527
MATS1m,0.04740325364702233
MATS1p,-0.022446142307952447
MATS1v,-0.05355880686734031
MATS2Z,0.10305369740834151
MATS2c,0.03636963835668096
MATS2d,0.11271623113728368
MATS2i,0.007808731108433966
MATS2m,0.10198738403394846
MATS2p,-0.014031004969767976
MATS2v,0.04374761749400386
MATS3Z,0.11930602513351116
MATS3c,0.058175992042290604
MATS3d,0.17243542225009983
MATS3i,-0.09806103185755499
MATS3m,0.11748121324816428
MATS3p,0.027244231060544435
MATS3v,0.01889749911544636
MATS4Z,0.16321833534378763
MATS4c,0.06103962969094919
MATS4d,0.19835357624831312
MATS4i,-0.06712354084679606
MATS4m,0.1695502925119935
MATS4p,0.10282292366917929
MATS4v,0.179104603080652
MATS5Z,0.043258104536753536
MATS5c,-0.014570565863395031
MATS5d,0.04915394996366654
MATS5i,0.11187944429254244
MATS5m,0.04778959088178139
MATS5p,0.12478063592535382
MATS5v,0.17970102099964202
MATS6Z,-0.13701970245275427
MATS6c,0.012534551845339635
MATS6d,-0.169919028340081
MATS6i,-0.004885745965204192
MATS6m,-0.13574815961472933
MATS6p,-0.04346928280399763
MATS6v,-0.08791622570206198
MATS7Z,-0.38871361850855213
MATS7c,0.01236567700271868
MATS7d,-0.2622430706944877
MATS7i,0.044465043187496306
MATS7m,-0.38709086130564785
MATS7p,-0.2640750685760668
MATS7v,-0.23942610446436144
MATS8Z,-0.14543170880330286
MATS8c,-0.04041274596004868
MATS8d,-0.33427939396468975
MATS8i,0.00520187048029049
MATS8m,-0.15435897251430902
MATS8p,-0.08098705965291825
MATS8v,-0.20721528629570346
MAXaaN,4.72582078819182
MAXssS,1.7490934598510355
MINaaN,3.85296355113531
MINssS,1.5044922180559805
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,8
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,1
NssssB,0
NssssC,0
NssssN,0
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,9.562329139128673
SssNH2,0
SsssAs,0
SsssCH,0.7845886558350134
SsssNH,1.3560228297454702
SssssB,0
SssssC,0
SssssN,0
TMPC10,993
TMWC10,138.4249378032305
TSRW10,81.11326181795876
Xc-3dv,1.3099667755247626
Xc-4dv,0.0
Xc-5dv,0.08408517252140155
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.21407617506269555
Xch-6d,0.5159226138816979
Xch-7d,0.7041827172267774
Xp-0dv,19.97676373562392
Xp-1dv,12.196875626062798
Xp-2dv,10.100872594772373
Xp-3dv,7.218237434489326
Xp-4dv,5.439205026835545
Xp-5dv,4.053724089717621
Xp-6dv,2.617782979123746
Xp-7dv,1.719929109476138
Xpc-4d,3.632764082939261
Xpc-5d,5.7836712517087
Xpc-6d,8.230872605272525
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,60
nFRing,1
nHBAcc,10
nHBDon,1
nHRing,3
nSpiro,0
naRing,3
piPC10,7.586072331666198
AATS0dv,5.9255002128565355
AATS0pe,6.190306896551724
AATS0se,7.676281499999997
AATS1dv,6.28888888888889
AATS1pe,6.562398333333334
AATS1se,7.845103866666663
AATS2dv,4.515151515151515
AATS2pe,6.308788181818179
AATS2se,7.730056309090907
AATS3dv,2.706572769953052
AATS3pe,5.964246478873236
AATS3se,7.475723577464791
AATS4dv,2.6533333333333333
AATS4pe,5.874046000000001
AATS4se,7.449740946666667
AATS5dv,3.935422602089269
AATS5pe,6.29133076923077
AATS5se,7.807271905982906
AATS6dv,4.85
AATS6pe,6.680030999999997
AATS6se,8.062352460000001
AATS7dv,3.5544871794871793
AATS7pe,6.600311538461538
AATS7se,8.040711634615388
AATS8dv,2.192439862542955
AATS8pe,6.343850515463917
AATS8se,7.772975154639182
AATSC0Z,14.785969084423307
AATSC0c,0.029958860906506683
AATSC0d,0.5873959571938169
AATSC0i,1.7067783132993033
AATSC0m,67.13527568757432
AATSC0p,0.3209164329825089
AATSC0v,51.459428781660954
AATSC1Z,0.7146056282203733
AATSC1c,-0.007513201905091584
AATSC1d,0.21202933016250497
AATSC1i,-0.13303461483897644
AATSC1m,3.182430502080857
AATSC1p,-0.007203335923685878
AATSC1v,-2.7561056076206323
AATSC2Z,1.523748783915252
AATSC2c,0.0010895929367477552
AATSC2d,0.06620905848016426
AATSC2i,0.013327772910260723
AATSC2m,6.846951143773644
AATSC2p,-0.004502780066057793
AATSC2v,2.2512274068000364
AATSC3Z,1.764055199209526
AATSC3c,0.0017428864536930238
AATSC3d,0.1012878699067174
AATSC3i,-0.16736844255422698
AATSC3m,7.887133639526216
AATSC3p,0.008743121451301196
AATSC3v,0.9724545098828128
AATSC4Z,2.41334126040428
AATSC4c,0.0018286777756958224
AATSC4d,0.11651208878319463
AATSC4i,-0.11456500382917147
AATSC4m,11.38280563070155
AATSC4p,0.0329975658927458
AATSC4v,9.216620566696465
AATSC5Z,0.6396129963311894
AATSC5c,-0.00043651755603054624
AATSC5d,0.028872831488764888
AATSC5i,0.19095340922248896
AATSC5m,3.2083673588447814
AATSC5p,0.04004415658645365
AATSC5v,9.247311892122838
AATSC6Z,-2.025969084423305
AATSC6c,0.00037552089525992675
AATSC6d,-0.09980975029726519
AATSC6i,-0.008338885257700088
AATSC6m,-9.113490119815696
AATSC6p,-0.013950007181766831
AATSC6v,-4.524118755267688
AATSC7Z,-5.747507545961768
AATSC7c,0.00037046159733923736
AATSC7d,-0.1540405195280344
AATSC7i,0.07589197141233563
AATSC7m,-25.987451689895263
AATSC7p,-0.08474602904704276
AATSC7v,-12.320730571154323
AATSC8Z,-2.150348750260489
AATSC8c,-0.0012107198350670883
AATSC8d,-0.19635436458805794
AATSC8i,0.008878439724351638
AATSC8m,-10.362932174598843
AATSC8p,-0.02599007830155619
AATSC8v,-10.663180267605238
ATS0are,352.76020000000005
ATS1are,385.8786
ATS2are,682.8592999999996
ATS3are,832.4529999999997
ATS4are,868.6880999999996
ATS5are,727.8018000000002
ATS6are,660.5854000000002
ATS7are,678.2741
ATS8are,606.7134999999996
ATSC0dv,203.33333333333334
ATSC0pe,5.580689655172411
ATSC0se,3.077786982758619
ATSC1dv,115.48148148148144
ATSC1pe,1.2757727705113049
ATSC1se,0.6514249143876323
ATSC2dv,120.3950617283951
ATSC2pe,2.0821230677764624
ATSC2se,1.444962601664683
ATSC3dv,80.82716049382718
ATSC3pe,1.2084529131985668
ATSC3se,0.8484700422116542
ATSC4dv,115.40740740740739
ATSC4pe,3.07555434007133
ATSC4se,1.2580373032104653
ATSC5dv,46.66666666666667
ATSC5pe,0.87768121284186
ATSC5se,-0.03721574108204692
ATSC6dv,-67.91358024691357
ATSC6pe,-1.2595476813317286
ATSC6se,-0.8909248151010731
ATSC7dv,-146.08641975308646
ATSC7pe,-3.481536623067756
ATSC7se,-1.8015584173602874
ATSC8dv,-199.72839506172846
ATSC8pe,-3.4403258026159214
ATSC8se,-1.450436798751486
AXp-0dv,0.6658921245207973
AXp-1dv,0.38115236331446245
AXp-2dv,0.22956528624482664
AXp-3dv,0.12889709704445224
AXp-4dv,0.0725227336911406
AXp-5dv,0.0445464185683255
AXp-6dv,0.025664539011017118
AXp-7dv,0.01470024879894135
BertzCT,952.4347189523232
ECIndex,6400000000
GATS1dv,0.41140710382513657
GATS1pe,0.6075503583786456
GATS1se,0.5849127019136483
GATS2dv,0.6672652757078985
