DLiP-ID,C003NU
ATS2v,21879.218258794088
ATS3Z,2126.0
ATS3d,395.0
ATS3i,13349.619828121895
ATS3m,7998.188559999997
ATS3p,159.13354457569798
ATS3s,278.5555555555556
ATS3v,23299.22292940269
ATS4Z,2088.0
ATS4d,388.0
ATS4i,14971.855749522943
ATS4m,7720.437240999999
ATS4p,162.15300578939602
ATS4s,276.7222222222222
ATS4v,23142.116410392897
ATS5Z,1878.0
ATS5d,356.0
ATS5i,16122.130488489089
ATS5m,6804.094402
ATS5p,152.085298311339
ATS5s,272.33333333333337
ATS5v,21017.396993463823
ATS6Z,1593.0
ATS6d,297.0
ATS6i,15244.846416607685
ATS6m,5706.761010999999
ATS6p,127.27984800358396
ATS6s,251.61111111111114
ATS6v,17579.10595861006
ATS7Z,1201.0
ATS7d,234.0
ATS7i,12949.227919855633
ATS7m,4197.085282
ATS7p,97.42699595273498
ATS7s,208.50000000000009
ATS7v,13362.181787800146
ATS8Z,869.0
ATS8d,167.0
ATS8i,9526.729695247685
ATS8m,3073.8036319999987
ATS8p,66.82291998473498
ATS8s,150.88888888888894
ATS8v,9259.791755224323
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,11
C2SP3,0
C3SP2,5
C3SP3,0
C4SP3,0
FCSP3,0.15
GGI10,0.04938271604938271
JGI10,0.006172839506172839
JGT10,0.43727864649359877
Kier1,21.825259515570934
Kier2,8.408284023668639
Kier3,4.32
MAXdO,8.631944444444445
MINdO,8.631944444444445
MPC10,416
MWC01,34.0
MWC02,5.153291594497779
MWC03,6.0330862217988015
MWC04,6.968850378341948
MWC05,7.87587915949631
MWC06,8.815963560853438
MWC07,9.737610048158107
MWC08,10.679711295513165
MWC09,11.610224574632504
MWC10,12.5536225829419
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,6
NaasC,4
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,2.4326999999999996
SRW02,4.23410650459726
SRW03,0.0
SRW04,5.6240175061873385
SRW05,3.044522437723423
SRW06,7.201170883281678
SRW07,5.2832037287379885
SRW08,8.879193928110318
SRW09,7.285506548522785
SRW10,10.61861635720246
SaaCH,14.584282197446882
SaaNH,0
SaaSe,0
SaaaC,6.810278670110021
SaasC,3.223366168730527
SaasN,2.14301776266062
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,2.056546201814059
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
WPath,12500001352
Xc-3d,3.6938938556130654
Xc-4d,0.5
Xc-5d,0.5553720259450958
Xc-6d,0.0
Xp-0d,21.04324111651101
Xp-1d,14.29282633568371
Xp-2d,14.637840466661853
Xp-3d,11.001483848431327
Xp-4d,10.296547414019466
Xp-5d,8.67834194669518
Xp-6d,6.910029397472616
Xp-7d,5.660626797686854
ZMIC0,101.47951050355968
ZMIC1,60.415650811241775
ZMIC2,43.96903372078329
ZMIC3,33.177644806027565
ZMIC4,29.503327336753483
ZMIC5,29.060331230739312
nAcid,2
nAtom,45
nBase,1
nRing,6
piPC1,3.8607297110405954
piPC2,4.629862798578463
piPC3,5.27556037942542
piPC4,6.038467400703318
piPC5,6.770610222073473
piPC6,7.349170533406789
piPC7,7.9745435976856225
piPC8,8.58326471658994
piPC9,9.149911934527617
AATS0Z,34.48888888888889
AATS0d,4.155555555555556
AATS0i,158.04071241319633
AATS0m,137.16237860000004
AATS0p,1.7158405682829994
AATS0s,7.314679545800946
AATS0v,255.7291517145274
AATS1Z,36.69387755102041
AATS1d,4.775510204081633
AATS1i,143.26626230854583
AATS1m,143.27311073469394
AATS1p,1.9314777209387766
AATS1s,3.164777021919879
AATS1v,297.090623059907
AATS2Z,28.927710843373493
AATS2d,4.433734939759036
AATS2i,153.17645499334665
AATS2m,111.21406322891566
AATS2p,1.6777099438824699
AATS2s,6.5367023650156195
AATS2v,263.6050392625794
AATS3Z,23.36263736263736
AATS3d,4.34065934065934
AATS3i,146.69911899035048
AATS3m,87.89218197802194
AATS3p,1.7487202700626152
AATS3s,3.0610500610500617
AATS3v,256.035416806623
AATS4Z,20.88
AATS4d,3.88
AATS4i,149.71855749522945
AATS4m,77.20437240999999
AATS4p,1.6215300578939602
AATS4s,2.767222222222222
AATS4v,231.42116410392896
AATS5Z,17.885714285714286
AATS5d,3.3904761904761904
AATS5i,153.54409989037228
AATS5m,64.80089906666666
AATS5p,1.4484314124889428
AATS5s,2.593650793650794
AATS5v,200.16568565203642
AATS6Z,16.422680412371133
AATS6d,3.0618556701030926
AATS6i,157.16336511966685
AATS6m,58.832587742268025
AATS6p,1.3121633814802471
AATS6s,2.593928980526919
AATS6v,181.22789648051608
AATS7Z,14.82716049382716
AATS7d,2.888888888888889
AATS7i,159.8670113562424
AATS7m,51.81586767901234
AATS7p,1.2028024191695676
AATS7s,2.5740740740740753
AATS7v,164.96520725679193
AATS8Z,14.728813559322035
AATS8d,2.830508474576271
AATS8i,161.4699948347065
AATS8m,52.098366644067774
AATS8p,1.1325918641480506
AATS8s,2.5574387947269313
AATS8v,156.94562296990378
ATS0dv,538.4444444444445
ATS0pe,313.21679999999986
ATS0se,377.3464929999999
ATS1dv,446.0
ATS1pe,338.5883
ATS1se,402.19057599999974
ATS2dv,901.0
ATS2pe,592.7853000000002
ATS2se,704.904816
ATS3dv,637.0
ATS3pe,590.231
ATS3se,709.9171759999996
ATS4dv,578.0
ATS4pe,638.3870999999998
ATS4se,773.5147639999998
ATS5dv,491.0
ATS5pe,653.4177
ATS5se,801.472648
ATS6dv,403.0
ATS6pe,602.3991000000001
ATS6se,745.0321319999999
ATS7dv,309.0
ATS7pe,504.65650000000016
ATS7se,628.1422240000003
ATS8dv,252.0
ATS8pe,365.5820000000001
ATS8se,457.140608
ATSC0Z,456.79999999999995
ATSC0c,2.1425188058288582
ATSC0d,33.91111111111112
ATSC0i,67.54714798196774
ATSC0m,2074.8958992
ATSC0p,12.849140634267776
ATSC0s,130.04891784788904
ATSC0v,2034.1140336192964
ATSC1Z,119.3511111111112
ATSC1c,-0.9346038873311444
ATSC1d,7.8301234567901155
ATSC1i,-16.279442067837447
ATSC1m,507.8958129600008
ATSC1p,-3.349438666136243
ATSC1s,-38.920807253298115
ATSC1v,-23.43475808811902
ATSC2Z,-4.164444444444474
ATSC2c,0.6412508366776398
ATSC2d,10.341728395061732
ATSC2i,47.09589007093024
ATSC2m,0.09717672000016364
ATSC2p,6.135032971718766
ATSC2s,149.75224821758198
ATSC2v,797.995023450665
ATSC3Z,-109.1288888888889
ATSC3c,0.06780630671469381
ATSC3d,-9.220246913580253
ATSC3i,-9.901203475418964
ATSC3m,-516.5722309600001
ATSC3p,-1.2365371739143904
ATSC3s,-4.536746642618824
ATSC3v,-452.45852096155716
ATSC4Z,-120.48888888888888
ATSC4c,0.05397746206678996
ATSC4d,-15.113580246913584
ATSC4i,-17.659332551221027
ATSC4m,-587.0307055999999
ATSC4p,-3.490659200529391
ATSC4s,13.118438923605845
ATSC4v,-910.0940388890147
ATSC5Z,-26.26666666666666
ATSC5c,0.12598460320934438
ATSC5d,-11.659259259259258
ATSC5i,-19.852124942690164
ATSC5m,-161.30128340000005
ATSC5p,-4.621368097955923
ATSC5s,24.19199118528683
ATSC5v,-916.9465510442997
ATSC6Z,41.63111111111117
ATSC6c,-0.040167186827581414
ATSC6d,-3.808395061728393
ATSC6i,-7.437928586308415
ATSC6m,171.61133167999975
ATSC6p,-2.0069570315037666
ATSC6s,21.71133774492374
ATSC6v,-267.21465258036716
ATSC7Z,5.1600000000000295
ATSC7c,-0.14146141504687332
ATSC7d,0.49333333333333673
ATSC7i,-1.4841920598252907
ATSC7m,13.729457239999785
ATSC7p,-0.40014901256600277
ATSC7s,13.330449245541867
ATSC7v,-85.51635423756099
ATSC8Z,94.79555555555558
ATSC8c,-0.020490960165969744
ATSC8d,6.205432098765434
ATSC8i,-0.9726774475406024
ATSC8m,440.59346475999973
ATSC8p,0.695372805778022
ATSC8s,13.684123820894532
ATSC8v,350.4186771615393
AXp-0d,0.7014413705503669
AXp-1d,0.42037724516716796
AXp-2d,0.2814969320511895
AXp-3d,0.1571640549775904
AXp-4d,0.09900526359634101
AXp-5d,0.0611150841316562
AXp-6d,0.03860351618699786
AXp-7d,0.024190712810627582
GATS1Z,0.6781872118374496
GATS1c,1.2476101305124399
GATS1d,0.8605932543397435
GATS1i,1.300278796541074
GATS1m,0.6687777899861818
GATS1p,1.3528547661565613
GATS1s,0.8525284193043903
GATS1v,0.87474850865228
GATS2Z,0.650465258582491
GATS2c,0.8707814671010987
GATS2d,0.8207140488559741
GATS2i,0.6344738217759454
GATS2m,0.6580219617178023
GATS2p,0.5357203441912839
GATS2s,0.19161218821556075
GATS2v,0.6126510639610535
GATS3Z,0.6403841342545371
GATS3c,0.624696820258939
GATS3d,1.1192804574193824
GATS3i,1.0557065352630692
GATS3m,0.6698202315201809
GATS3p,0.822970960513642
GATS3s,0.3461832498553759
GATS3v,1.0475879702516149
GATS4Z,0.7007443082311735
GATS4c,0.5408742033048232
GATS4d,1.083420707732634
GATS4i,1.1112727773228042
GATS4m,0.7358042889615057
GATS4p,0.8987233937504371
GATS4s,0.15084067588790848
GATS4v,1.1815093785977195
GATS5Z,0.7072804603452589
GATS5c,0.4898920337712549
GATS5d,1.0194720089870808
GATS5i,1.0989270498355928
GATS5m,0.7453902287022726
GATS5p,0.9477104155321564
GATS5s,0.13851116803829602
GATS5v,1.2525100507330291
GATS6Z,0.7293679022153213
GATS6c,0.6337097938103616
GATS6d,0.8828417397413896
GATS6i,0.986895968471862
GATS6m,0.7636306709163256
GATS6p,0.8805183223196769
GATS6s,0.1761430765739908
GATS6v,1.1598686163453702
GATS7Z,0.8312252708049557
GATS7c,0.7860056646515324
GATS7d,0.784913353720693
GATS7i,0.911661363529699
GATS7m,0.8642704291696597
GATS7p,0.8358918618978822
GATS7s,0.23048729098983128
GATS7v,1.1415739492769574
GATS8Z,0.7346611653655497
GATS8c,0.8088891733047806
GATS8d,0.6377590687962325
GATS8i,0.879273906476242
GATS8m,0.7624647007876996
GATS8p,0.7919620942808173
GATS8s,0.22874197220026035
GATS8v,1.024247276596627
MATS1Z,0.23994781800636208
MATS1c,-0.4006077753492214
MATS1d,0.21205231765051996
MATS1i,-0.2213344081599793
MATS1m,0.22479919616652955
MATS1p,-0.23939461704934348
MATS1s,-0.27484733505998205
MATS1v,-0.010580388442256755
MATS2Z,-0.004942713058890589
MATS2c,0.16226980847270128
MATS2d,0.16534289188207618
MATS2i,0.3780162015179809
MATS2m,2.5392200887947387e-05
MATS2p,0.258867327410159
MATS2s,0.6243110615057634
MATS2v,0.21269599301208852
MATS3Z,-0.11813667943265144
MATS3c,0.01565008024261855
MATS3d,-0.1344533579133842
MATS3i,-0.07248565878930456
MATS3m,-0.12311355312677238
MATS3p,-0.04758874107348487
MATS3s,-0.01725078669688276
MATS3v,-0.10999541862125273
MATS4Z,-0.1186952714535902
MATS4c,0.011337057048915222
MATS4d,-0.2005570117955439
MATS4i,-0.11764670878733323
MATS4m,-0.12731425110139327
MATS4p,-0.12224915929778364
MATS4s,0.04539289994344581
MATS4v,-0.20133695099254514
MATS5Z,-0.024643482611958967
MATS5c,0.02520089962736422
MATS5d,-0.14735068339262308
MATS5i,-0.12595725801981317
MATS5m,-0.03331691073455609
MATS5p,-0.15414154020645612
MATS5s,0.07972381772828475
MATS5v,-0.19319324620433212
MATS6Z,0.04227977684294155
MATS6c,-0.008697362132656938
MATS6d,-0.05210036345948571
MATS6i,-0.051084102434037416
MATS6m,0.0383698789025149
MATS6p,-0.07246107478232944
MATS6s,0.07744985698098765
MATS6v,-0.06094326985928921
MATS7Z,0.006275539988324613
MATS7c,-0.03668097326017981
MATS7d,0.008082131935342999
MATS7i,-0.012207046026095793
MATS7m,0.003676076591305225
MATS7p,-0.017301157587787656
MATS7s,0.056946303429255024
MATS7v,-0.023356156489909772
MATS8Z,0.15827866662708903
MATS8c,-0.007294544341525952
MATS8d,0.13956949596818982
MATS8i,-0.010983034097578321
MATS8m,0.16195793874869027
MATS8p,0.04127661952257497
MATS8s,0.08025475155752793
MATS8v,0.13139306752890573
MAXsOH,6.9375
MAXssO,5.691541733212007
MINsOH,6.9375
MINssO,5.510037007928872
NddssS,1
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,2
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,100000000
SddssS,-4.916666666666666
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0.5550726526326275
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1924
TMWC10,143.4282394162339
TSRW10,82.17033789436324
Xc-3dv,1.1441233856744493
Xc-4dv,0.03450327796711771
Xc-5dv,0.1785401223033301
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.23570226039551584
Xch-6d,0.5300689695732953
Xch-7d,0.9540439015013261
Xp-0dv,16.45507812938443
Xp-1dv,10.285247739313217
Xp-2dv,7.738985276786125
Xp-3dv,5.135978876026065
Xp-4dv,4.0236904793498685
Xp-5dv,2.919256560751955
Xp-6dv,1.9188920112148111
Xp-7dv,1.2975288952841604
Xpc-4d,4.854584003116684
Xpc-5d,8.945786285437272
Xpc-6d,15.063255559846008
n3Ring,0
n4Ring,0
n5Ring,2
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,49
nFRing,1
nHBAcc,7
nHBDon,1
nHRing,3
nSpiro,0
naRing,4
piPC10,9.59198881512002
AATS0dv,11.965432098765433
AATS0pe,6.96037333333333
AATS0se,8.38547762222222
AATS1dv,9.10204081632653
AATS1pe,6.909965306122449
AATS1se,8.207970938775505
AATS2dv,10.855421686746988
AATS2pe,7.141991566265063
AATS2se,8.492829108433735
AATS3dv,7.0
AATS3pe,6.486054945054945
AATS3se,7.801287648351644
AATS4dv,5.78
AATS4pe,6.383870999999998
AATS4se,7.735147639999997
AATS5dv,4.6761904761904765
AATS5pe,6.223025714285714
AATS5se,7.633072838095239
AATS6dv,4.154639175257732
AATS6pe,6.210300000000001
AATS6se,7.6807436288659785
AATS7dv,3.814814814814815
AATS7pe,6.230327160493829
AATS7se,7.754842271604942
AATS8dv,4.271186440677966
AATS8pe,6.196305084745765
AATS8se,7.748145898305085
AATSC0Z,10.15111111111111
AATSC0c,0.04761152901841907
AATSC0d,0.7535802469135804
AATSC0i,1.5010477329326164
AATSC0m,46.108797759999995
AATSC0p,0.28553645853928394
AATSC0s,2.889975952175312
AATSC0v,45.202534080428805
AATSC1Z,2.4357369614512487
AATSC1c,-0.019073548721043762
AATSC1d,0.15979843789367582
AATSC1i,-0.3322335115885193
AATSC1m,10.365220672653077
AATSC1p,-0.06835589114563762
AATSC1s,-0.7943021888428187
AATSC1v,-0.4782603691452861
AATSC2Z,-0.05017402945113824
AATSC2c,0.007725913694911323
AATSC2d,0.1245991372899004
AATSC2i,0.5674203623003643
AATSC2m,0.0011708038554236583
AATSC2p,0.0739160599002261
AATSC2s,1.8042439544286986
AATSC2v,9.614397872899579
AATSC3Z,-1.1992185592185594
AATSC3c,0.00074512424961202
AATSC3d,-0.10132139465472806
AATSC3i,-0.10880443379581278
AATSC3m,-5.676617922637363
AATSC3p,-0.013588320592465829
AATSC3s,-0.04985435871009697
AATSC3v,-4.97207165891821
AATSC4Z,-1.204888888888889
AATSC4c,0.0005397746206678996
AATSC4d,-0.15113580246913583
AATSC4i,-0.17659332551221027
AATSC4m,-5.870307055999999
AATSC4p,-0.03490659200529391
AATSC4s,0.13118438923605846
AATSC4v,-9.100940388890146
AATSC5Z,-0.2501587301587301
AATSC5c,0.001199853363898518
AATSC5d,-0.1110405643738977
AATSC5i,-0.1890678565970492
AATSC5m,-1.5362026990476194
AATSC5p,-0.044013029504342126
AATSC5s,0.23039991605035076
AATSC5v,-8.732824295659997
AATSC6Z,0.42918671248568213
AATSC6c,-0.000414094709562695
AATSC6d,-0.039261804760086526
AATSC6i,-0.07667967614750942
AATSC6m,1.76918898639175
AATSC6p,-0.02069027867529656
AATSC6s,0.22382822417447154
AATSC6v,-2.75479023278729
AATSC7Z,0.06370370370370407
AATSC7c,-0.001746437222800905
AATSC7d,0.00609053497942391
AATSC7i,-0.018323358763275194
AATSC7m,0.1694994720987628
AATSC7p,-0.004940111266246948
AATSC7s,0.16457344747582553
AATSC7v,-1.055757459722975
AATSC8Z,1.6067043314500946
AATSC8c,-0.0003473044095927075
