DLiP-ID,C003KG
nCl,1
BIC0,0.2750563302980074
BIC1,0.6228956363315861
BIC2,0.8021372321389462
BIC3,0.8834266407686965
BIC4,0.901891392220665
BIC5,0.901891392220665
CIC0,3.7575773930055747
CIC1,1.8254730615361727
CIC2,0.8298596917077008
CIC3,0.37833044877342203
CIC4,0.27576634620931983
CIC5,0.27576634620931983
GGI1,3.5
GGI2,2.88888888888889
GGI3,1.875
GGI4,2.017777777777778
GGI5,0.7500000000000001
GGI6,0.4253061224489796
GGI7,0.16145833333333331
GGI8,0.02040816326530612
GGI9,0.0
JGI1,0.15217391304347822
JGI2,0.08253968253968258
JGI3,0.046875
JGI4,0.05765079365079366
JGI5,0.026785714285714284
JGI6,0.023628117913832198
JGI7,0.01793981481481481
JGI8,0.01020408163265306
JGI9,0.0
MIC0,17.009824622394646
MIC1,32.2519270857513
MIC2,39.00091308885975
MIC3,40.789080206763145
MIC4,40.89246482214776
MIC5,40.89246482214776
MPC2,35
MPC3,52
MPC4,75
MPC5,108
MPC6,126
MPC7,152
MPC8,177
MPC9,203
Mare,0.9743589743589749
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,2
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2746162105035904
RPCG,0.1597425762710385
SIC0,0.28906500633088206
SIC1,0.6546198404689947
SIC2,0.842990247980344
SIC3,0.9284197430758898
SIC4,0.947824908154543
SIC5,0.947824908154543
SaaN,0
SaaO,0
SaaS,0
Sare,38.00000000000002
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,20.059119583018393
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,59.58516820841029
TIC1,134.93723713571697
TIC2,173.76615855902736
TIC3,191.37579903346423
TIC4,195.37579903346423
TIC5,195.37579903346423
Vabc,267.88835975424695
WPol,40
apol,45.27627399999998
bpol,20.277726
nRot,0
ABCGG,12.543030689393536
ATS0Z,1096.0
ATS0d,134.0
ATS0i,6234.323852198382
ATS0m,4435.613760000003
ATS0p,62.66314028728201
ATS0v,8939.361415058842
ATS1Z,993.0
ATS1d,175.0
ATS1i,5923.50639162589
ATS1m,3735.3902909999993
ATS1p,77.616189362
ATS1v,11202.031999901194
ATS2Z,1518.0
ATS2d,299.0
ATS2i,10624.884102562894
ATS2m,5694.146407000001
ATS2p,122.75113466909399
ATS2v,17494.40070956245
ATS3Z,1855.0
ATS3d,361.0
ATS3i,14751.167711264692
ATS3m,6808.149591999998
ATS3p,155.77292696964102
ATS3v,21580.136535378002
ATS4Z,1765.0
ATS4d,351.0
ATS4i,17816.242231630833
ATS4m,6240.745602999999
ATS4p,161.616689926433
ATS4v,21429.016240775192
ATS5Z,1493.0
ATS5d,307.0
ATS5i,18663.690254691766
ATS5m,5165.632096
ATS5p,142.11832010946998
ATS5v,18313.998720486972
ATS6Z,1083.0
ATS6d,208.0
ATS6i,14401.31521334748
ATS6m,3625.165682
ATS6p,103.90526798213098
ATS6v,13175.277743855608
ATS7Z,653.0
ATS7d,130.0
ATS7i,11410.149223758328
ATS7m,2074.3446729999996
ATS7p,66.217374056678
ATS7v,7986.891977607328
ATS8Z,268.0
ATS8d,63.0
ATS8i,7273.117753198333
ATS8m,714.2352899999998
ATS8p,30.838335910432995
ATS8v,3483.270508569077
C1SP1,0
C1SP2,0
C1SP3,1
C2SP1,0
C2SP2,7
C2SP3,3
C3SP2,5
C3SP3,0
C4SP3,0
FCSP3,0.29411764705882354
GGI10,0.0
JGI10,0.0
JGT10,0.41779711788096885
Kier1,15.879017013232515
Kier2,5.893877551020408
Kier3,2.396449704142012
MPC10,186
MWC01,23.0
MWC02,4.762173934797756
MWC03,5.673323267171493
MWC04,6.6052979209482015
MWC05,7.536363938404511
MWC06,8.474494436883122
MWC07,9.411238314343073
MWC08,10.351277525289294
MWC09,11.28996939608009
MWC10,12.230682327852657
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,7
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,3.271700000000003
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.231108616854587
SRW05,0.0
SRW06,6.840546529288687
SRW07,0.0
SRW08,8.560061091643414
SRW09,0.0
SRW10,10.338090662387614
SaaCH,9.814718206727136
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,5.686098592214665
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,2.162350560594608
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,2.387577475434618
SsssP,0
WPath,2000000680
Xc-3d,1.4915756930523714
Xc-4d,0.0
Xc-5d,0.5436517128619158
Xc-6d,0.0
Xp-1d,9.664703797946451
Xp-2d,9.13756005353239
Xp-3d,8.480303936886507
Xp-4d,7.368037954400989
Xp-5d,6.738098882546864
Xp-6d,5.036909152889517
Xp-7d,3.89574518288516
ZMIC0,69.29805188408704
ZMIC1,41.150637536433635
ZMIC2,26.85460629383699
ZMIC3,22.973490461878598
ZMIC4,22.63652613173888
ZMIC5,22.63652613173888
nAcid,0
nAtom,39
nBase,1
nRing,4
piPC1,3.4011973816621555
piPC2,4.060443010546419
piPC3,4.705015520957808
piPC4,5.333925794015404
piPC5,5.951293382418705
piPC6,6.272877006546167
piPC7,6.68979359109326
piPC8,7.101856144843616
piPC9,7.472873756456227
AATS0Z,28.102564102564102
AATS0d,3.4358974358974357
AATS0i,159.85445774867645
AATS0m,113.73368615384622
AATS0p,1.606747186853385
AATS0v,229.21439525791902
AATS1Z,24.21951219512195
AATS1d,4.2682926829268295
AATS1i,144.47576564941195
AATS1m,91.10708026829266
AATS1p,1.8930777893170732
AATS1v,273.22029268051693
AATS2Z,21.380281690140844
AATS2d,4.211267605633803
AATS2i,149.64625496567456
AATS2m,80.1992451690141
AATS2p,1.7288892206914646
AATS2v,246.40000999383733
AATS3Z,18.928571428571427
AATS3d,3.683673469387755
AATS3i,150.52211950270095
AATS3m,69.47091420408161
AATS3p,1.5895196629555206
AATS3v,220.20547485079595
AATS4Z,15.21551724137931
AATS4d,3.0258620689655173
AATS4i,153.5882951002658
AATS4m,53.79953106034482
AATS4p,1.3932473269520087
AATS4v,184.73289862737235
AATS5Z,12.760683760683762
AATS5d,2.623931623931624
AATS5i,159.51872012557064
AATS5m,44.150701675213675
AATS5p,1.2146864966621365
AATS5v,156.52990359390574
AATS6Z,12.033333333333333
AATS6d,2.311111111111111
AATS6i,160.01461348163866
AATS6m,40.27961868888889
AATS6p,1.154502977579233
AATS6v,146.39197493172898
AATS7Z,9.46376811594203
AATS7d,1.8840579710144927
AATS7i,165.3644815037439
AATS7m,30.062966275362314
AATS7p,0.959672087777942
AATS7v,115.75205764648301
AATS8Z,6.380952380952381
AATS8d,1.5
AATS8i,173.169470314246
AATS8m,17.00560214285714
AATS8p,0.7342460931055476
AATS8v,82.93501210878755
ATS0dv,254.44444444444446
ATS0pe,240.5569
ATS0se,298.1018169999999
ATS1dv,279.0
ATS1pe,264.08299999999997
ATS1se,316.82324399999993
ATS2dv,419.0
ATS2pe,444.222
ATS2se,538.3891959999999
ATS3dv,478.0
ATS3pe,605.2470999999999
ATS3se,739.817848
ATS4dv,396.0
ATS4pe,695.3544999999998
ATS4se,862.9555799999999
ATS5dv,306.0
ATS5pe,686.6915
ATS5se,864.1772800000001
ATS6dv,200.0
ATS6pe,534.8331000000001
ATS6se,672.5321200000001
ATS7dv,92.0
ATS7pe,402.08359999999993
ATS7se,513.173596
ATS8dv,15.0
ATS8pe,245.596
ATS8se,317.97669600000006
ATSC0Z,439.58974358974353
ATSC0c,0.9197444261725202
ATSC0d,28.97435897435897
ATSC0i,54.39872487814563
ATSC0m,2069.3077652307693
ATSC0p,10.100550868741594
ATSC0v,2067.882442188943
ATSC1Z,-56.414858645627845
ATSC1c,-0.46402699796789204
ATSC1d,16.283366206443134
ATSC1i,3.5886085083634707
ATSC1m,-259.4908791656801
ATSC1p,0.2841510779251568
ATSC1v,96.28359547267726
ATSC2Z,9.41354372123605
ATSC2c,-0.16065701353273984
ATSC2d,6.097961867192641
ATSC2i,21.866919046692594
ATSC2m,52.250790502958985
ATSC2p,2.0407934320305494
ATSC2v,485.79803084209465
ATSC3Z,-40.17422748191978
ATSC3c,0.33747395536460095
ATSC3d,-3.6022353714661377
ATSC3i,0.18910033223779088
ATSC3m,-198.17837411834284
ATSC3p,-1.4169868003316526
ATSC3v,-263.8515250505477
ATSC4Z,-81.57462195923736
ATSC4c,-0.21344359120256973
ATSC4d,-11.077580539119001
ATSC4i,-33.44187291307596
ATSC4m,-400.12061491715986
ATSC4p,-4.974251404822083
ATSC4v,-946.0355668810403
ATSC5Z,36.58974358974355
ATSC5c,0.002703352590887456
ATSC5d,-12.999999999999996
ATSC5i,-11.533979166017646
ATSC5m,167.06714753846097
ATSC5p,-1.2211914309230816
ATSC5v,-116.5555337555648
ATSC6Z,-72.97633136094677
ATSC6c,0.04111962681460313
ATSC6d,-12.402366863905327
ATSC6i,-21.203748656603143
ATSC6m,-359.21659607100617
ATSC6p,-4.057114630279904
ATSC6v,-892.3059592884763
ATSC7Z,9.213017751479242
ATSC7c,0.08208975356764743
ATSC7d,-4.1854043392504945
ATSC7i,-9.715273213158989
ATSC7m,36.046069284023005
ATSC7p,-1.4333304202921542
ATSC7v,-310.30657040854186
ATSC8Z,-9.71203155818545
ATSC8c,-0.14521418276797535
ATSC8d,3.796844181459564
ATSC8i,6.129067912882436
ATSC8m,-37.24439240236743
ATSC8p,1.7127628070899963
ATSC8v,134.7381211408553
AXp-1d,0.42020451295419353
AXp-2d,0.2610731443866397
AXp-3d,0.1630827680170482
AXp-4d,0.09824050605867984
AXp-5d,0.06238980446802652
AXp-6d,0.039975469467377116
AXp-7d,0.025629902518981316
GATS1Z,0.7801065294834004
GATS1c,1.350198783621047
GATS1d,0.5757824303906757
GATS1i,1.0705951356975787
GATS1m,0.7827971603496833
GATS1p,0.9132105681645538
GATS1v,0.8900994640411937
GATS2Z,0.5083164643483863
GATS2c,0.8015385785064617
GATS2d,1.1175495450579584
GATS2i,0.9388448874499613
GATS2m,0.5166383082193964
GATS2p,0.7754467377196497
GATS2v,0.8046842477973022
GATS3Z,0.5804113059129392
GATS3c,0.6025261788484242
GATS3d,1.1977514899765218
GATS3i,1.08343946469087
GATS3m,0.5920399543223566
GATS3p,0.9557726949958053
GATS3v,0.9973438830160892
GATS4Z,0.6423701063607256
GATS4c,0.820952372053949
GATS4d,1.0797299359169974
GATS4i,1.2171596512950187
GATS4m,0.6549358024769043
GATS4p,1.0747926694613255
GATS4v,1.1205865106481703
GATS5Z,0.6025237206408462
GATS5c,0.8096657749950017
GATS5d,1.0256637168141596
GATS5i,1.0520415048289218
GATS5m,0.6127999256722841
GATS5p,0.9399870440844195
GATS5v,0.9912933957073926
GATS6Z,0.7150859387151969
GATS6c,1.0342710393375747
GATS6d,0.9471976401179942
GATS6i,1.1354576629419941
GATS6m,0.7261904846281748
GATS6p,1.06475882986891
GATS6v,1.1405416958262824
GATS7Z,0.6877954513177383
GATS7c,1.1984750355744451
GATS7d,0.7507887649095807
GATS7i,1.0067850361884678
GATS7m,0.6965299624854105
GATS7p,0.9701807649379223
GATS7v,1.0466976776487962
GATS8Z,0.8088710752616495
GATS8c,1.9853349760964107
GATS8d,0.5152338811630848
GATS8i,0.7362446155537415
GATS8m,0.8074634262233447
GATS8p,0.7135003853430415
GATS8v,0.8725946314881063
MATS1Z,-0.1220749917485175
MATS1c,-0.47990672418556357
MATS1d,0.5345780271962014
MATS1i,0.06275063326265834
MATS1m,-0.11928278221656155
MATS1p,0.026759931537017306
MATS1v,0.044290155402143594
MATS2Z,0.01176283083475189
MATS2c,-0.09594863115216028
MATS2d,0.11560513523619605
MATS2i,0.22080308433371315
MATS2m,0.013869922554553684
MATS2p,0.11098396747970679
MATS2v,0.12904350858134747
MATS3Z,-0.036369599169579166
MATS3c,0.14601975936602424
MATS3d,-0.04947625067726202
MATS3i,0.0013833819454096442
MATS3m,-0.038112698995780306
MATS3p,-0.05582892632927467
MATS3v,-0.05077761451901812
MATS4Z,-0.06238987803111979
MATS4c,-0.07802298697878743
MATS4d,-0.12853982300884959
MATS4i,-0.20668477675107053
MATS4m,-0.06500884616970631
MATS4p,-0.16557291272685254
MATS4v,-0.15381129772151914
MATS5Z,0.02774537253072015
MATS5c,0.0009797477480192878
MATS5d,-0.14955752212389378
MATS5i,-0.07067554856511815
MATS5m,0.0269119220036738
MATS5p,-0.040301149471702935
MATS5v,-0.018788226928442755
MATS6Z,-0.0719377041530565
MATS6c,0.019373322029409504
MATS6d,-0.18548672566371685
MATS6i,-0.16890636876342244
MATS6m,-0.07522347694217607
MATS6p,-0.17405813101693343
MATS6v,-0.18698641073733888
MATS7Z,0.011845949400474691
MATS7c,0.050447227560169304
MATS7d,-0.08164678722585614
MATS7i,-0.10094430326540259
MATS7m,0.009845739522085626
MATS7p,-0.0802078313908467
MATS7v,-0.08481655758209174
MATS8Z,-0.020515298980068094
MATS8c,-0.1466078372476036
MATS8d,0.12168141592920348
MATS8i,0.10462152119236502
MATS8m,-0.01671287337748156
MATS8p,0.15745899676674915
MATS8v,0.060503424700659315
MAXsOH,10.260321948223734
MINsOH,9.798797634794658
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,1
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,100000000
SddssS,0
SdssSe,0
SdsssP,0
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,3.0092162698412697
SssNH2,0
SsssAs,0
SsssCH,0.38091931216931196
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,1158
TMWC10,120.3348210617702
TSRW10,55.81995450188436
Xc-3dv,0.8052744131562061
Xc-4dv,0.0
Xc-5dv,0.2096345072042266
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.0
Xch-6d,0.22451341401773972
Xch-7d,0.6180652193804874
Xp-0dv,12.651807616588863
Xp-1dv,7.027584591388392
Xp-2dv,5.796320610555605
Xp-3dv,4.7210801572903005
Xp-4dv,3.6743535733098356
Xp-5dv,2.9594116446674246
Xp-6dv,1.9301050511894975
Xp-7dv,1.2928878926431622
Xpc-4d,4.189489443543952
Xpc-5d,7.169485437261314
Xpc-6d,12.91137832744255
n3Ring,0
n4Ring,0
n5Ring,0
n6Ring,4
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,41
nFRing,1
nHBAcc,3
nHBDon,2
nHRing,1
nSpiro,0
naRing,2
piPC10,7.640190778583111
AATS0dv,6.524216524216524
AATS0pe,6.168125641025641
AATS0se,7.6436363333333315
AATS1dv,6.804878048780488
AATS1pe,6.4410487804878045
AATS1se,7.727396195121949
AATS2dv,5.901408450704225
AATS2pe,6.256647887323943
AATS2se,7.582946422535209
AATS3dv,4.877551020408164
AATS3pe,6.17599081632653
AATS3se,7.549161714285715
AATS4dv,3.413793103448276
AATS4pe,5.9944353448275844
AATS4se,7.43927224137931
AATS5dv,2.6153846153846154
AATS5pe,5.8691581196581195
AATS5se,7.386130598290599
AATS6dv,2.2222222222222223
AATS6pe,5.942590000000001
AATS6se,7.472579111111112
AATS7dv,1.3333333333333333
AATS7pe,5.827298550724636
AATS7se,7.437298492753623
AATS8dv,0.35714285714285715
AATS8pe,5.84752380952381
AATS8se,7.570873714285716
AATSC0Z,11.2715318869165
AATSC0c,0.023583190414680006
AATSC0d,0.7429322813938197
AATSC0i,1.3948390994396316
AATSC0m,53.05917346745562
AATSC0p,0.25898848381388706
AATSC0v,53.02262672279341
AATSC1Z,-1.375972162088484
AATSC1c,-0.011317731657753464
AATSC1d,0.3971552733278813
AATSC1i,0.08752703678935295
AATSC1m,-6.32904583330927
AATSC1p,0.006930514095735532
AATSC1v,2.348380377382372
AATSC2Z,0.13258512283431056
AATSC2c,-0.0022627748384892936
AATSC2d,0.08588678686186818
AATSC2i,0.3079847753055295
AATSC2m,0.7359266268022392
AATSC2p,0.028743569465219006
AATSC2v,6.842225786508375
AATSC3Z,-0.4099410967542835
AATSC3c,0.0034436117894347034
AATSC3d,-0.03675750379047079
AATSC3i,0.0019295952269162335
AATSC3m,-2.022228307330029
AATSC3p,-0.014459048982976046
AATSC3v,-2.692362500515793
AATSC4Z,-0.7032294996485979
AATSC4c,-0.0018400309586428425
AATSC4d,-0.09549638395792243
AATSC4i,-0.2882920078713445
AATSC4m,-3.449315645837585
AATSC4p,-0.04288147762777658
AATSC4v,-8.155479024836554
AATSC5Z,0.3127328511943893
AATSC5c,2.310557769989279e-05
AATSC5d,-0.11111111111111108
AATSC5i,-0.09858101851297134
AATSC5m,1.427924337935564
AATSC5p,-0.010437533597633176
AATSC5v,-0.9962011432099556
AATSC6Z,-0.8108481262327419
AATSC6c,0.0004568847423844792
AATSC6d,-0.13780407626561475
AATSC6i,-0.23559720729559047
AATSC6m,-3.9912955119000686
AATSC6p,-0.04507905144755449
AATSC6v,-9.914510658760848
AATSC7Z,0.13352199639824988
AATSC7c,0.0011897065734441656
AATSC7d,-0.06065803390218108
AATSC7i,-0.1408010610602752
AATSC7m,0.5224068012177248
AATSC7p,-0.02077290464191528
AATSC7v,-4.497196672587563
AATSC8Z,-0.23123884662346308
AATSC8c,-0.003457480542094651
AATSC8d,0.09040105193951342
AATSC8i,0.14593018840196276
AATSC8m,-0.886771247675415
AATSC8p,0.0407800668354761
AATSC8v,3.2080505033536975
ATS0are,235.30380000000002
ATS1are,257.151
ATS2are,434.58900000000006
ATS3are,593.051
ATS4are,682.53
ATS5are,676.537
ATS6are,527.888
ATS7are,398.4789999999999
ATS8are,245.13400000000001
ATSC0dv,133.54415954415953
ATSC0pe,4.101492307692304
ATSC0se,2.806708666666666
ATSC1dv,45.74702315727956
ATSC1pe,-0.5790893491124273
ATSC1se,-0.40723377777777714
ATSC2dv,22.861202425304995
ATSC2pe,-0.33818343195266437
ATSC2se,-0.27615344444444423
ATSC3dv,5.339177441741564
ATSC3pe,0.5194834319526622
ATSC3se,0.6247902222222218
ATSC4dv,-20.860691065819264
ATSC4pe,-0.3269745562130164
ATSC4se,-0.12851777777777892
ATSC5dv,-26.769230769230766
ATSC5pe,0.2001153846153863
ATSC5se,-0.013905000000001728
ATSC6dv,-49.20447074293228
ATSC6pe,-0.20742071005916962
ATSC6se,0.03579333333333268
ATSC7dv,-26.86872671488058
ATSC7pe,0.2823366863905342
ATSC7se,0.17762766666666585
ATSC8dv,-30.868069252684645
ATSC8pe,-1.1840532544378688
ATSC8se,-0.7873773333333332
AXp-0dv,0.6024670293613744
AXp-1dv,0.30554715614732136
AXp-2dv,0.1656091603015887
AXp-3dv,0.09079000302481346
AXp-4dv,0.04899138097746447
AXp-5dv,0.027401959672846525
AXp-6dv,0.015318294057059504
AXp-7dv,0.008505841398968173
BertzCT,714.176562926493
ECIndex,4600000000
GATS1dv,0.612283891324641
GATS1pe,0.9195772517521427
GATS1se,0.931574464070212
GATS2dv,0.9618593929064855
GATS2pe,0.7217699268300043
GATS2se,0.6334317442032993
GATS3dv,0.9973770324787339
GATS3pe,0.6821439499028306
GATS3se,0.5764705678188818
